weekday,month,hour,vehicles,weekday_de,month_name
Friday,8,0,265.75,Freitag,August
Friday,8,1,160.25,Freitag,August
Friday,8,2,108.5,Freitag,August
Friday,8,3,114.25,Freitag,August
Friday,8,4,321.0,Freitag,August
Friday,8,5,647.5,Freitag,August
Friday,8,6,1404.25,Freitag,August
Friday,8,7,1863.5,Freitag,August
Friday,8,8,1783.0,Freitag,August
Friday,8,9,1713.0,Freitag,August
Friday,8,10,2062.4,Freitag,August
Friday,8,11,2375.8,Freitag,August
Friday,8,12,2363.8,Freitag,August
Friday,8,13,2267.0,Freitag,August
Friday,8,14,2564.4,Freitag,August
Friday,8,15,2848.8,Freitag,August
Friday,8,16,3016.6,Freitag,August
Friday,8,17,2861.0,Freitag,August
Friday,8,18,2365.6,Freitag,August
Friday,8,19,1856.0,Freitag,August
Friday,8,20,1505.0,Freitag,August
Friday,8,21,1389.6,Freitag,August
Friday,8,22,1440.4,Freitag,August
Friday,8,23,1308.4,Freitag,August
Friday,9,0,456.0,Freitag,September
Friday,9,1,291.75,Freitag,September
Friday,9,2,200.75,Freitag,September
Friday,9,3,220.25,Freitag,September
Friday,9,4,414.75,Freitag,September
Friday,9,5,777.25,Freitag,September
Friday,9,6,1622.75,Freitag,September
Friday,9,7,2107.75,Freitag,September
Friday,9,8,1939.25,Freitag,September
Friday,9,9,1941.0,Freitag,September
Friday,9,10,2227.25,Freitag,September
Friday,9,11,2360.25,Freitag,September
Friday,9,12,2391.0,Freitag,September
Friday,9,13,2391.75,Freitag,September
Friday,9,14,2761.0,Freitag,September
Friday,9,15,3205.75,Freitag,September
Friday,9,16,3436.25,Freitag,September
Friday,9,17,3319.5,Freitag,September
Friday,9,18,2904.0,Freitag,September
Friday,9,19,2125.0,Freitag,September
Friday,9,20,1657.25,Freitag,September
Friday,9,21,1369.25,Freitag,September
Friday,9,22,1531.25,Freitag,September
Friday,9,23,1497.5,Freitag,September
Friday,10,0,425.0,Freitag,October
Friday,10,1,276.25,Freitag,October
Friday,10,2,204.75,Freitag,October
Friday,10,3,231.0,Freitag,October
Friday,10,4,413.75,Freitag,October
Friday,10,5,737.25,Freitag,October
Friday,10,6,1543.25,Freitag,October
Friday,10,7,2034.5,Freitag,October
Friday,10,8,1901.0,Freitag,October
Friday,10,9,1937.5,Freitag,October
Friday,10,10,2323.0,Freitag,October
Friday,10,11,2597.25,Freitag,October
Friday,10,12,2531.25,Freitag,October
Friday,10,13,2547.5,Freitag,October
Friday,10,14,2914.25,Freitag,October
Friday,10,15,3227.0,Freitag,October
Friday,10,16,3563.75,Freitag,October
Friday,10,17,3394.75,Freitag,October
Friday,10,18,2833.75,Freitag,October
Friday,10,19,2189.25,Freitag,October
Friday,10,20,1627.75,Freitag,October
Friday,10,21,1381.75,Freitag,October
Friday,10,22,1546.0,Freitag,October
Friday,10,23,1443.5,Freitag,October
Friday,11,0,360.4,Freitag,November
Friday,11,1,248.6,Freitag,November
Friday,11,2,177.0,Freitag,November
Friday,11,3,191.6,Freitag,November
Friday,11,4,311.4,Freitag,November
Friday,11,5,655.8,Freitag,November
Friday,11,6,1536.4,Freitag,November
