weekday,month,hour,vehicles,weekday_de,month_name
Friday,1,0,63.0,Freitag,January
Friday,1,1,33.5,Freitag,January
Friday,1,2,22.0,Freitag,January
Friday,1,3,38.75,Freitag,January
Friday,1,4,81.75,Freitag,January
Friday,1,5,235.5,Freitag,January
Friday,1,6,713.25,Freitag,January
Friday,1,7,805.25,Freitag,January
Friday,1,8,691.5,Freitag,January
Friday,1,9,552.5,Freitag,January
Friday,1,10,532.25,Freitag,January
Friday,1,11,522.25,Freitag,January
Friday,1,12,507.5,Freitag,January
Friday,1,13,549.75,Freitag,January
Friday,1,14,591.0,Freitag,January
Friday,1,15,578.25,Freitag,January
Friday,1,16,685.0,Freitag,January
Friday,1,17,681.25,Freitag,January
Friday,1,18,596.5,Freitag,January
Friday,1,19,441.0,Freitag,January
Friday,1,20,295.25,Freitag,January
Friday,1,21,221.5,Freitag,January
Friday,1,22,206.25,Freitag,January
Friday,1,23,164.0,Freitag,January
Friday,2,0,57.0,Freitag,February
Friday,2,1,35.5,Freitag,February
Friday,2,2,27.5,Freitag,February
Friday,2,3,37.0,Freitag,February
Friday,2,4,77.75,Freitag,February
Friday,2,5,244.0,Freitag,February
Friday,2,6,777.5,Freitag,February
Friday,2,7,898.25,Freitag,February
Friday,2,8,721.5,Freitag,February
Friday,2,9,601.75,Freitag,February
Friday,2,10,537.0,Freitag,February
Friday,2,11,552.75,Freitag,February
Friday,2,12,515.75,Freitag,February
Friday,2,13,585.25,Freitag,February
Friday,2,14,597.75,Freitag,February
Friday,2,15,586.0,Freitag,February
Friday,2,16,725.25,Freitag,February
Friday,2,17,682.25,Freitag,February
Friday,2,18,620.25,Freitag,February
Friday,2,19,443.5,Freitag,February
Friday,2,20,308.75,Freitag,February
Friday,2,21,244.5,Freitag,February
Friday,2,22,212.0,Freitag,February
Friday,2,23,164.5,Freitag,February
Friday,3,0,63.5,Freitag,March
Friday,3,1,34.5,Freitag,March
Friday,3,2,28.75,Freitag,March
Friday,3,3,35.75,Freitag,March
Friday,3,4,75.75,Freitag,March
Friday,3,5,256.75,Freitag,March
Friday,3,6,816.25,Freitag,March
Friday,3,7,948.25,Freitag,March
Friday,3,8,758.25,Freitag,March
Friday,3,9,592.5,Freitag,March
Friday,3,10,546.25,Freitag,March
Friday,3,11,556.5,Freitag,March
Friday,3,12,505.25,Freitag,March
Friday,3,13,613.0,Freitag,March
Friday,3,14,609.75,Freitag,March
Friday,3,15,628.5,Freitag,March
Friday,3,16,743.5,Freitag,March
Friday,3,17,722.0,Freitag,March
Friday,3,18,624.75,Freitag,March
Friday,3,19,459.25,Freitag,March
Friday,3,20,333.5,Freitag,March
Friday,3,21,243.25,Freitag,March
Friday,3,22,232.5,Freitag,March
Friday,3,23,192.25,Freitag,March
Friday,4,0,67.75,Freitag,April
Friday,4,1,35.5,Freitag,April
Friday,4,2,29.75,Freitag,April
Friday,4,3,36.0,Freitag,April
Friday,4,4,80.25,Freitag,April
Friday,4,5,260.5,Freitag,April
Friday,4,6,783.25,Freitag,April
Friday,4,7,905.5,Freitag,April
Friday,4,8,764.5,Freitag,April
Friday,4,9,600.0,Freitag,April
Friday,4,10,548.25,Freitag,April
Friday,4,11,574.25,Freitag,April
Friday,4,12,502.25,Freitag,April
Friday,4,13,594.75,Freitag,April
Friday,4,14,603.5,Freitag,April
Friday,4,15,616.5,Freitag,April
Friday,4,16,700.5,Freitag,April
Friday,4,17,681.25,Freitag,April
Friday,4,18,594.75,Freitag,April
Friday,4,19,426.25,Freitag,April
Friday,4,20,317.0,Freitag,April
Friday,4,21,273.5,Freitag,April
Friday,4,22,238.5,Freitag,April
Friday,4,23,181.0,Freitag,April
Friday,5,0,67.2,Freitag,May
Friday,5,1,34.8,Freitag,May
Friday,5,2,29.4,Freitag,May
Friday,5,3,38.8,Freitag,May
Friday,5,4,75.2,Freitag,May
Friday,5,5,251.0,Freitag,May
Friday,5,6,710.6,Freitag,May
Friday,5,7,814.2,Freitag,May
Friday,5,8,710.0,Freitag,May
Friday,5,9,612.6,Freitag,May
Friday,5,10,550.0,Freitag,May
Friday,5,11,557.4,Freitag,May
Friday,5,12,530.8,Freitag,May
Friday,5,13,582.4,Freitag,May
Friday,5,14,618.2,Freitag,May
Friday,5,15,605.2,Freitag,May
Friday,5,16,698.2,Freitag,May
Friday,5,17,665.8,Freitag,May
Friday,5,18,567.8,Freitag,May
Friday,5,19,426.4,Freitag,May
Friday,5,20,319.0,Freitag,May
Friday,5,21,262.2,Freitag,May
Friday,5,22,223.6,Freitag,May
Friday,5,23,177.0,Freitag,May
Friday,6,0,76.75,Freitag,June
Friday,6,1,44.0,Freitag,June
Friday,6,2,30.5,Freitag,June
Friday,6,3,36.0,Freitag,June
