weekday,month,hour,vehicles,weekday_de,month_name
Friday,1,0,257.75,Freitag,January
Friday,1,1,175.25,Freitag,January
Friday,1,2,130.0,Freitag,January
Friday,1,3,151.25,Freitag,January
Friday,1,4,214.25,Freitag,January
Friday,1,5,512.75,Freitag,January
Friday,1,6,1077.75,Freitag,January
Friday,1,7,1267.75,Freitag,January
Friday,1,8,1212.5,Freitag,January
Friday,1,9,1207.75,Freitag,January
Friday,1,10,1341.75,Freitag,January
Friday,1,11,1392.75,Freitag,January
Friday,1,12,1387.25,Freitag,January
Friday,1,13,1546.25,Freitag,January
Friday,1,14,1600.5,Freitag,January
Friday,1,15,1605.25,Freitag,January
Friday,1,16,1632.75,Freitag,January
Friday,1,17,1675.5,Freitag,January
Friday,1,18,1505.0,Freitag,January
Friday,1,19,1280.0,Freitag,January
Friday,1,20,999.25,Freitag,January
Friday,1,21,808.0,Freitag,January
Friday,1,22,827.5,Freitag,January
Friday,1,23,677.25,Freitag,January
Friday,2,0,249.75,Freitag,February
Friday,2,1,177.75,Freitag,February
Friday,2,2,149.75,Freitag,February
Friday,2,3,149.5,Freitag,February
Friday,2,4,222.75,Freitag,February
Friday,2,5,553.75,Freitag,February
Friday,2,6,1203.5,Freitag,February
Friday,2,7,1395.0,Freitag,February
Friday,2,8,1239.75,Freitag,February
Friday,2,9,1259.0,Freitag,February
Friday,2,10,1311.5,Freitag,February
Friday,2,11,1420.75,Freitag,February
Friday,2,12,1436.0,Freitag,February
Friday,2,13,1564.0,Freitag,February
Friday,2,14,1618.0,Freitag,February
Friday,2,15,1606.5,Freitag,February
Friday,2,16,1574.25,Freitag,February
Friday,2,17,1610.0,Freitag,February
Friday,2,18,1561.5,Freitag,February
Friday,2,19,1335.25,Freitag,February
Friday,2,20,973.75,Freitag,February
Friday,2,21,837.75,Freitag,February
Friday,2,22,817.75,Freitag,February
Friday,2,23,689.25,Freitag,February
Friday,3,0,271.75,Freitag,March
Friday,3,1,192.25,Freitag,March
Friday,3,2,144.5,Freitag,March
Friday,3,3,158.25,Freitag,March
Friday,3,4,232.5,Freitag,March
Friday,3,5,572.25,Freitag,March
Friday,3,6,1326.0,Freitag,March
Friday,3,7,1489.25,Freitag,March
Friday,3,8,1370.25,Freitag,March
Friday,3,9,1326.3333333333333,Freitag,March
Friday,3,10,1394.6666666666667,Freitag,March
Friday,3,11,1439.5,Freitag,March
Friday,3,12,1472.5,Freitag,March
Friday,3,13,1600.0,Freitag,March
Friday,3,14,1620.25,Freitag,March
Friday,3,15,1719.25,Freitag,March
Friday,3,16,1595.0,Freitag,March
