weekday,month,hour,vehicles,weekday_de,month_name
Friday,1,0,205.25,Freitag,January
Friday,1,1,140.5,Freitag,January
Friday,1,2,108.5,Freitag,January
Friday,1,3,145.25,Freitag,January
Friday,1,4,254.0,Freitag,January
Friday,1,5,654.25,Freitag,January
Friday,1,6,1350.5,Freitag,January
Friday,1,7,1459.25,Freitag,January
Friday,1,8,1406.0,Freitag,January
Friday,1,9,1203.25,Freitag,January
Friday,1,10,1199.5,Freitag,January
Friday,1,11,1235.25,Freitag,January
Friday,1,12,1182.0,Freitag,January
Friday,1,13,1266.0,Freitag,January
Friday,1,14,1311.0,Freitag,January
Friday,1,15,1381.5,Freitag,January
Friday,1,16,1424.25,Freitag,January
Friday,1,17,1442.5,Freitag,January
Friday,1,18,1339.25,Freitag,January
Friday,1,19,1087.75,Freitag,January
Friday,1,20,840.75,Freitag,January
Friday,1,21,664.0,Freitag,January
Friday,1,22,663.5,Freitag,January
Friday,1,23,523.75,Freitag,January
Friday,2,0,214.25,Freitag,February
Friday,2,1,141.5,Freitag,February
Friday,2,2,109.75,Freitag,February
Friday,2,3,128.5,Freitag,February
Friday,2,4,272.5,Freitag,February
Friday,2,5,662.0,Freitag,February
Friday,2,6,1465.25,Freitag,February
Friday,2,7,1592.5,Freitag,February
Friday,2,8,1507.5,Freitag,February
Friday,2,9,1276.25,Freitag,February
Friday,2,10,1231.25,Freitag,February
Friday,2,11,1253.25,Freitag,February
Friday,2,12,1234.5,Freitag,February
Friday,2,13,1291.75,Freitag,February
Friday,2,14,1334.0,Freitag,February
Friday,2,15,1357.5,Freitag,February
Friday,2,16,1500.5,Freitag,February
Friday,2,17,1416.0,Freitag,February
Friday,2,18,1426.0,Freitag,February
Friday,2,19,1153.75,Freitag,February
Friday,2,20,874.5,Freitag,February
Friday,2,21,677.0,Freitag,February
Friday,2,22,685.25,Freitag,February
Friday,2,23,599.75,Freitag,February
Friday,3,0,212.5,Freitag,March
Friday,3,1,142.25,Freitag,March
Friday,3,2,106.75,Freitag,March
Friday,3,3,141.75,Freitag,March
Friday,3,4,271.25,Freitag,March
Friday,3,5,771.25,Freitag,March
Friday,3,6,1571.25,Freitag,March
Friday,3,7,1646.0,Freitag,March
Friday,3,8,1562.0,Freitag,March
Friday,3,9,1345.6666666666667,Freitag,March
Friday,3,10,1276.3333333333333,Freitag,March
Friday,3,11,1330.0,Freitag,March
Friday,3,12,1293.75,Freitag,March
Friday,3,13,1374.0,Freitag,March
Friday,3,14,1412.5,Freitag,March
Friday,3,15,1384.0,Freitag,March
Friday,3,16,1505.5,Freitag,March
Friday,3,17,1491.0,Freitag,March
Friday,3,18,1423.75,Freitag,March
Friday,3,19,1229.0,Freitag,March
Friday,3,20,913.5,Freitag,March
Friday,3,21,808.25,Freitag,March
Friday,3,22,763.25,Freitag,March
Friday,3,23,685.75,Freitag,March
Friday,4,0,218.0,Freitag,April
Friday,4,1,148.0,Freitag,April
Friday,4,2,116.75,Freitag,April
Friday,4,3,145.75,Freitag,April
Friday,4,4,282.0,Freitag,April
Friday,4,5,776.75,Freitag,April
Friday,4,6,1565.75,Freitag,April
Friday,4,7,1686.75,Freitag,April
Friday,4,8,1580.75,Freitag,April
Friday,4,9,1384.0,Freitag,April
Friday,4,10,1337.0,Freitag,April
Friday,4,11,1329.25,Freitag,April
Friday,4,12,1329.0,Freitag,April
Friday,4,13,1362.5,Freitag,April
Friday,4,14,1388.75,Freitag,April
Friday,4,15,1446.75,Freitag,April
Friday,4,16,1540.0,Freitag,April
Friday,4,17,1507.5,Freitag,April
Friday,4,18,1403.0,Freitag,April
Friday,4,19,1147.0,Freitag,April
Friday,4,20,934.25,Freitag,April
Friday,4,21,787.0,Freitag,April
Friday,4,22,710.0,Freitag,April
Friday,4,23,574.5,Freitag,April
Friday,5,0,244.8,Freitag,May
Friday,5,1,150.0,Freitag,May
Friday,5,2,109.2,Freitag,May
Friday,5,3,152.0,Freitag,May
Friday,5,4,274.8,Freitag,May
Friday,5,5,726.4,Freitag,May
Friday,5,6,1457.6,Freitag,May
Friday,5,7,1524.2,Freitag,May
Friday,5,8,1461.2,Freitag,May
Friday,5,9,1332.8,Freitag,May
Friday,5,10,1360.0,Freitag,May
