weekday,month,hour,vehicles,weekday_de,month_name
Friday,1,0,51.0,Freitag,January
Friday,1,1,46.0,Freitag,January
Friday,1,2,32.0,Freitag,January
Friday,1,3,24.75,Freitag,January
Friday,1,4,37.75,Freitag,January
Friday,1,5,97.25,Freitag,January
Friday,1,6,216.75,Freitag,January
Friday,1,7,378.75,Freitag,January
Friday,1,8,393.0,Freitag,January
Friday,1,9,304.5,Freitag,January
Friday,1,10,301.0,Freitag,January
Friday,1,11,303.0,Freitag,January
Friday,1,12,289.5,Freitag,January
Friday,1,13,295.0,Freitag,January
Friday,1,14,305.25,Freitag,January
Friday,1,15,292.5,Freitag,January
Friday,1,16,293.0,Freitag,January
Friday,1,17,329.25,Freitag,January
Friday,1,18,332.5,Freitag,January
Friday,1,19,277.0,Freitag,January
Friday,1,20,188.75,Freitag,January
Friday,1,21,170.0,Freitag,January
Friday,1,22,172.0,Freitag,January
Friday,1,23,135.0,Freitag,January
Friday,2,0,54.0,Freitag,February
Friday,2,1,51.0,Freitag,February
Friday,2,2,34.0,Freitag,February
Friday,2,3,35.0,Freitag,February
Friday,2,4,39.25,Freitag,February
Friday,2,5,108.25,Freitag,February
Friday,2,6,278.25,Freitag,February
Friday,2,7,423.0,Freitag,February
Friday,2,8,425.75,Freitag,February
Friday,2,9,360.5,Freitag,February
Friday,2,10,328.75,Freitag,February
Friday,2,11,339.0,Freitag,February
Friday,2,12,327.75,Freitag,February
Friday,2,13,326.25,Freitag,February
Friday,2,14,326.25,Freitag,February
Friday,2,15,312.75,Freitag,February
Friday,2,16,338.0,Freitag,February
Friday,2,17,370.0,Freitag,February
Friday,2,18,358.25,Freitag,February
Friday,2,19,306.25,Freitag,February
Friday,2,20,249.25,Freitag,February
Friday,2,21,195.0,Freitag,February
Friday,2,22,191.0,Freitag,February
Friday,2,23,162.0,Freitag,February
Friday,3,0,60.5,Freitag,March
Friday,3,1,53.5,Freitag,March
Friday,3,2,35.0,Freitag,March
Friday,3,3,30.75,Freitag,March
Friday,3,4,37.5,Freitag,March
Friday,3,5,91.0,Freitag,March
Friday,3,6,253.75,Freitag,March
Friday,3,7,410.5,Freitag,March
Friday,3,8,447.25,Freitag,March
Friday,3,9,324.6666666666667,Freitag,March
Friday,3,10,293.6666666666667,Freitag,March
Friday,3,11,330.25,Freitag,March
Friday,3,12,297.25,Freitag,March
Friday,3,13,306.0,Freitag,March
Friday,3,14,301.5,Freitag,March
Friday,3,15,276.25,Freitag,March
Friday,3,16,304.25,Freitag,March
Friday,3,17,331.5,Freitag,March
Friday,3,18,323.5,Freitag,March
Friday,3,19,280.25,Freitag,March
Friday,3,20,329.25,Freitag,March
Friday,3,21,200.5,Freitag,March
Friday,3,22,194.5,Freitag,March
Friday,3,23,174.0,Freitag,March
Friday,4,0,62.0,Freitag,April
Friday,4,1,53.25,Freitag,April
Friday,4,2,35.25,Freitag,April
Friday,4,3,28.25,Freitag,April
Friday,4,4,40.5,Freitag,April
Friday,4,5,97.25,Freitag,April
Friday,4,6,246.5,Freitag,April
Friday,4,7,419.0,Freitag,April
Friday,4,8,406.75,Freitag,April
Friday,4,9,330.25,Freitag,April
Friday,4,10,294.75,Freitag,April
Friday,4,11,308.5,Freitag,April
Friday,4,12,284.75,Freitag,April
Friday,4,13,314.0,Freitag,April
Friday,4,14,295.0,Freitag,April
Friday,4,15,273.5,Freitag,April
Friday,4,16,300.75,Freitag,April
Friday,4,17,317.75,Freitag,April
Friday,4,18,310.5,Freitag,April
Friday,4,19,266.75,Freitag,April
Friday,4,20,210.25,Freitag,April
Friday,4,21,181.75,Freitag,April
Friday,4,22,191.5,Freitag,April
Friday,4,23,156.0,Freitag,April
Friday,5,0,67.0,Freitag,May
Friday,5,1,50.0,Freitag,May
Friday,5,2,32.2,Freitag,May
Friday,5,3,33.2,Freitag,May
Friday,5,4,36.6,Freitag,May
Friday,5,5,99.6,Freitag,May
Friday,5,6,245.8,Freitag,May
Friday,5,7,384.8,Freitag,May
Friday,5,8,409.8,Freitag,May
Friday,5,9,336.2,Freitag,May
Friday,5,10,319.2,Freitag,May
Friday,5,11,346.0,Freitag,May
Friday,5,12,295.4,Freitag,May
Friday,5,13,337.6,Freitag,May
Friday,5,14,316.8,Freitag,May
Friday,5,15,299.2,Freitag,May
Friday,5,16,306.0,Freitag,May
Friday,5,17,308.8,Freitag,May
Friday,5,18,298.4,Freitag,May
Friday,5,19,275.8,Freitag,May
Friday,5,20,219.4,Freitag,May
Friday,5,21,191.8,Freitag,May
Friday,5,22,202.2,Freitag,May
Friday,5,23,173.0,Freitag,May
Friday,6,0,62.25,Freitag,June
Friday,6,1,67.5,Freitag,June
Friday,6,2,47.25,Freitag,June
Friday,6,3,36.5,Freitag,June
Friday,6,4,42.5,Freitag,June
Friday,6,5,113.25,Freitag,June
Friday,6,6,289.25,Freitag,June
Friday,6,7,474.0,Freitag,June
Friday,6,8,483.75,Freitag,June
Friday,6,9,357.25,Freitag,June
Friday,6,10,354.25,Freitag,June
Friday,6,11,373.5,Freitag,June
Friday,6,12,326.25,Freitag,June
Friday,6,13,357.5,Freitag,June
Friday,6,14,332.25,Freitag,June
Friday,6,15,322.0,Freitag,June
Friday,6,16,332.75,Freitag,June
Friday,6,17,376.25,Freitag,June
Friday,6,18,360.5,Freitag,June
Friday,6,19,346.25,Freitag,June
Friday,6,20,277.5,Freitag,June
Friday,6,21,204.0,Freitag,June
Friday,6,22,205.5,Freitag,June
Friday,6,23,174.25,Freitag,June
Friday,7,0,63.333333333333336,Freitag,July
Friday,7,1,65.0,Freitag,July
Friday,7,2,49.666666666666664,Freitag,July
Friday,7,3,46.666666666666664,Freitag,July
Friday,7,4,58.0,Freitag,July
Friday,7,5,144.66666666666666,Freitag,July
Friday,7,6,329.0,Freitag,July
Friday,7,7,453.3333333333333,Freitag,July
Friday,7,8,459.6666666666667,Freitag,July
Friday,7,9,379.3333333333333,Freitag,July
Friday,7,10,336.6666666666667,Freitag,July
Friday,7,11,365.3333333333333,Freitag,July
Friday,7,12,318.3333333333333,Freitag,July
Friday,7,13,364.3333333333333,Freitag,July
Friday,7,14,343.0,Freitag,July
Friday,7,15,323.3333333333333,Freitag,July
Friday,7,16,359.6666666666667,Freitag,July
Friday,7,17,386.6666666666667,Freitag,July
Friday,7,18,338.3333333333333,Freitag,July
Friday,7,19,295.3333333333333,Freitag,July
Friday,7,20,241.66666666666666,Freitag,July
Friday,7,21,207.33333333333334,Freitag,July
Friday,7,22,164.33333333333334,Freitag,July
Friday,7,23,154.66666666666666,Freitag,July
Friday,8,0,66.4,Freitag,August
Friday,8,1,67.4,Freitag,August
Friday,8,2,47.4,Freitag,August
Friday,8,3,40.4,Freitag,August
Friday,8,4,36.6,Freitag,August
Friday,8,5,88.8,Freitag,August
Friday,8,6,253.6,Freitag,August
Friday,8,7,403.6,Freitag,August
Friday,8,8,376.0,Freitag,August
Friday,8,9,337.4,Freitag,August
Friday,8,10,306.2,Freitag,August
Friday,8,11,316.6,Freitag,August
Friday,8,12,293.2,Freitag,August
Friday,8,13,317.6,Freitag,August
Friday,8,14,291.0,Freitag,August
Friday,8,15,291.8,Freitag,August
Friday,8,16,306.8,Freitag,August
Friday,8,17,336.4,Freitag,August
Friday,8,18,296.0,Freitag,August
Friday,8,19,277.0,Freitag,August
Friday,8,20,223.6,Freitag,August
Friday,8,21,228.6,Freitag,August
Friday,8,22,196.4,Freitag,August
Friday,8,23,149.2,Freitag,August
Friday,9,0,48.25,Freitag,September
Friday,9,1,44.75,Freitag,September
Friday,9,2,34.25,Freitag,September
Friday,9,3,32.75,Freitag,September
Friday,9,4,38.25,Freitag,September
Friday,9,5,92.25,Freitag,September
Friday,9,6,250.5,Freitag,September
Friday,9,7,427.75,Freitag,September
Friday,9,8,437.0,Freitag,September
Friday,9,9,331.25,Freitag,September
Friday,9,10,313.5,Freitag,September
Friday,9,11,309.5,Freitag,September
Friday,9,12,291.25,Freitag,September
Friday,9,13,297.5,Freitag,September
Friday,9,14,303.25,Freitag,September
Friday,9,15,276.75,Freitag,September
Friday,9,16,283.75,Freitag,September
Friday,9,17,318.5,Freitag,September
Friday,9,18,332.25,Freitag,September
Friday,9,19,301.75,Freitag,September
Friday,9,20,232.25,Freitag,September
Friday,9,21,208.75,Freitag,September
Friday,9,22,196.0,Freitag,September
Friday,9,23,154.0,Freitag,September
Friday,10,0,54.0,Freitag,October
Friday,10,1,55.25,Freitag,October
Friday,10,2,35.0,Freitag,October
Friday,10,3,28.25,Freitag,October
Friday,10,4,33.0,Freitag,October
Friday,10,5,79.0,Freitag,October
