weekday,month,hour,vehicles,weekday_de,month_name
Friday,1,0,90.25,Freitag,January
Friday,1,1,60.5,Freitag,January
Friday,1,2,31.75,Freitag,January
Friday,1,3,40.75,Freitag,January
Friday,1,4,41.5,Freitag,January
Friday,1,5,100.0,Freitag,January
Friday,1,6,186.25,Freitag,January
Friday,1,7,239.75,Freitag,January
Friday,1,8,284.75,Freitag,January
Friday,1,9,291.5,Freitag,January
Friday,1,10,339.75,Freitag,January
Friday,1,11,379.25,Freitag,January
Friday,1,12,387.5,Freitag,January
Friday,1,13,433.75,Freitag,January
Friday,1,14,434.0,Freitag,January
Friday,1,15,466.25,Freitag,January
Friday,1,16,450.0,Freitag,January
Friday,1,17,463.75,Freitag,January
Friday,1,18,447.0,Freitag,January
Friday,1,19,336.75,Freitag,January
Friday,1,20,286.0,Freitag,January
Friday,1,21,258.75,Freitag,January
Friday,1,22,322.25,Freitag,January
Friday,1,23,279.0,Freitag,January
Friday,2,0,91.0,Freitag,February
Friday,2,1,54.25,Freitag,February
Friday,2,2,33.75,Freitag,February
Friday,2,3,39.75,Freitag,February
Friday,2,4,54.5,Freitag,February
Friday,2,5,99.0,Freitag,February
Friday,2,6,204.5,Freitag,February
Friday,2,7,291.25,Freitag,February
Friday,2,8,300.75,Freitag,February
Friday,2,9,334.0,Freitag,February
Friday,2,10,357.25,Freitag,February
Friday,2,11,384.0,Freitag,February
Friday,2,12,418.0,Freitag,February
Friday,2,13,452.0,Freitag,February
Friday,2,14,474.5,Freitag,February
Friday,2,15,493.25,Freitag,February
Friday,2,16,493.75,Freitag,February
Friday,2,17,491.5,Freitag,February
Friday,2,18,454.0,Freitag,February
Friday,2,19,383.5,Freitag,February
Friday,2,20,288.5,Freitag,February
Friday,2,21,274.25,Freitag,February
Friday,2,22,290.0,Freitag,February
Friday,2,23,247.5,Freitag,February
Friday,3,0,90.75,Freitag,March
Friday,3,1,66.0,Freitag,March
Friday,3,2,34.75,Freitag,March
Friday,3,3,38.75,Freitag,March
Friday,3,4,52.25,Freitag,March
Friday,3,5,109.75,Freitag,March
Friday,3,6,233.25,Freitag,March
Friday,3,7,300.75,Freitag,March
Friday,3,8,313.5,Freitag,March
Friday,3,9,338.75,Freitag,March
Friday,3,10,359.75,Freitag,March
