weekday,month,hour,vehicles,weekday_de,month_name
Friday,1,0,127.0,Freitag,January
Friday,1,1,113.5,Freitag,January
Friday,1,2,89.25,Freitag,January
Friday,1,3,92.5,Freitag,January
Friday,1,4,103.5,Freitag,January
Friday,1,5,205.25,Freitag,January
Friday,1,6,417.0,Freitag,January
Friday,1,7,555.0,Freitag,January
Friday,1,8,564.5,Freitag,January
Friday,1,9,513.75,Freitag,January
Friday,1,10,485.25,Freitag,January
Friday,1,11,525.0,Freitag,January
Friday,1,12,500.0,Freitag,January
Friday,1,13,509.5,Freitag,January
Friday,1,14,546.75,Freitag,January
Friday,1,15,530.25,Freitag,January
Friday,1,16,560.0,Freitag,January
Friday,1,17,552.5,Freitag,January
Friday,1,18,525.25,Freitag,January
Friday,1,19,487.75,Freitag,January
Friday,1,20,434.75,Freitag,January
Friday,1,21,378.75,Freitag,January
Friday,1,22,373.25,Freitag,January
Friday,1,23,313.5,Freitag,January
Friday,2,0,118.5,Freitag,February
Friday,2,1,106.0,Freitag,February
Friday,2,2,102.0,Freitag,February
Friday,2,3,90.75,Freitag,February
Friday,2,4,103.25,Freitag,February
Friday,2,5,199.75,Freitag,February
Friday,2,6,454.5,Freitag,February
Friday,2,7,577.0,Freitag,February
Friday,2,8,560.0,Freitag,February
Friday,2,9,506.25,Freitag,February
Friday,2,10,503.0,Freitag,February
Friday,2,11,507.0,Freitag,February
Friday,2,12,477.75,Freitag,February
Friday,2,13,506.25,Freitag,February
Friday,2,14,500.25,Freitag,February
Friday,2,15,486.0,Freitag,February
Friday,2,16,532.0,Freitag,February
Friday,2,17,537.25,Freitag,February
Friday,2,18,511.5,Freitag,February
Friday,2,19,482.75,Freitag,February
Friday,2,20,415.25,Freitag,February
Friday,2,21,379.25,Freitag,February
Friday,2,22,354.25,Freitag,February
Friday,2,23,299.5,Freitag,February
Friday,3,0,132.5,Freitag,March
Friday,3,1,133.5,Freitag,March
Friday,3,2,115.75,Freitag,March
Friday,3,3,100.5,Freitag,March
Friday,3,4,104.5,Freitag,March
Friday,3,5,203.25,Freitag,March
Friday,3,6,439.5,Freitag,March
Friday,3,7,606.25,Freitag,March
Friday,3,8,580.5,Freitag,March
Friday,3,9,514.75,Freitag,March
Friday,3,10,490.75,Freitag,March
Friday,3,11,506.5,Freitag,March
Friday,3,12,524.5,Freitag,March
Friday,3,13,507.5,Freitag,March
Friday,3,14,532.5,Freitag,March
Friday,3,15,505.0,Freitag,March
Friday,3,16,528.0,Freitag,March
Friday,3,17,528.5,Freitag,March
Friday,3,18,510.25,Freitag,March
Friday,3,19,505.75,Freitag,March
Friday,3,20,480.25,Freitag,March
Friday,3,21,397.25,Freitag,March
Friday,3,22,390.75,Freitag,March
Friday,3,23,363.25,Freitag,March
Friday,4,0,134.0,Freitag,April
Friday,4,1,140.5,Freitag,April
Friday,4,2,107.75,Freitag,April
Friday,4,3,93.5,Freitag,April
Friday,4,4,109.5,Freitag,April
Friday,4,5,189.25,Freitag,April
Friday,4,6,473.75,Freitag,April
Friday,4,7,573.0,Freitag,April
Friday,4,8,570.25,Freitag,April
Friday,4,9,508.75,Freitag,April
Friday,4,10,514.75,Freitag,April
Friday,4,11,522.0,Freitag,April
Friday,4,12,502.0,Freitag,April
Friday,4,13,538.5,Freitag,April
Friday,4,14,510.75,Freitag,April
Friday,4,15,518.75,Freitag,April
Friday,4,16,535.5,Freitag,April
Friday,4,17,548.0,Freitag,April
Friday,4,18,534.5,Freitag,April
Friday,4,19,467.0,Freitag,April
Friday,4,20,394.75,Freitag,April
Friday,4,21,391.75,Freitag,April
Friday,4,22,364.75,Freitag,April
Friday,4,23,315.0,Freitag,April
Friday,5,0,139.6,Freitag,May
Friday,5,1,138.6,Freitag,May
Friday,5,2,105.0,Freitag,May
Friday,5,3,97.6,Freitag,May
Friday,5,4,104.2,Freitag,May
Friday,5,5,218.8,Freitag,May
Friday,5,6,430.4,Freitag,May
Friday,5,7,567.0,Freitag,May
Friday,5,8,565.4,Freitag,May
Friday,5,9,540.2,Freitag,May
Friday,5,10,539.4,Freitag,May
Friday,5,11,542.0,Freitag,May
Friday,5,12,522.6,Freitag,May
Friday,5,13,566.2,Freitag,May
Friday,5,14,547.8,Freitag,May
Friday,5,15,548.4,Freitag,May
Friday,5,16,561.4,Freitag,May
Friday,5,17,552.6,Freitag,May
Friday,5,18,511.4,Freitag,May
Friday,5,19,482.8,Freitag,May
Friday,5,20,417.2,Freitag,May
Friday,5,21,380.4,Freitag,May
Friday,5,22,370.8,Freitag,May
Friday,5,23,332.0,Freitag,May
Friday,6,0,166.5,Freitag,June
Friday,6,1,168.0,Freitag,June
Friday,6,2,118.5,Freitag,June
Friday,6,3,94.0,Freitag,June
Friday,6,4,116.5,Freitag,June
Friday,6,5,236.75,Freitag,June
Friday,6,6,514.0,Freitag,June
Friday,6,7,630.5,Freitag,June
Friday,6,8,636.5,Freitag,June
Friday,6,9,582.25,Freitag,June
Friday,6,10,586.5,Freitag,June
Friday,6,11,594.25,Freitag,June
Friday,6,12,560.75,Freitag,June
Friday,6,13,585.5,Freitag,June
Friday,6,14,551.25,Freitag,June
Friday,6,15,575.5,Freitag,June
Friday,6,16,595.75,Freitag,June
Friday,6,17,609.25,Freitag,June
Friday,6,18,560.75,Freitag,June
Friday,6,19,487.5,Freitag,June
Friday,6,20,413.5,Freitag,June
Friday,6,21,377.0,Freitag,June
Friday,6,22,405.0,Freitag,June
Friday,6,23,357.25,Freitag,June
Friday,7,0,152.66666666666666,Freitag,July
Friday,7,1,144.0,Freitag,July
Friday,7,2,126.66666666666667,Freitag,July
Friday,7,3,101.66666666666667,Freitag,July
Friday,7,4,121.0,Freitag,July
Friday,7,5,229.0,Freitag,July
Friday,7,6,492.6666666666667,Freitag,July
Friday,7,7,592.6666666666666,Freitag,July
Friday,7,8,567.6666666666666,Freitag,July
Friday,7,9,548.3333333333334,Freitag,July
Friday,7,10,532.3333333333334,Freitag,July
Friday,7,11,571.0,Freitag,July
Friday,7,12,521.3333333333334,Freitag,July
Friday,7,13,537.3333333333334,Freitag,July
Friday,7,14,546.0,Freitag,July
Friday,7,15,540.0,Freitag,July
Friday,7,16,569.5,Freitag,July
Friday,7,17,566.5,Freitag,July
Friday,7,18,507.6666666666667,Freitag,July
Friday,7,19,435.0,Freitag,July
Friday,7,20,383.6666666666667,Freitag,July
Friday,7,21,355.3333333333333,Freitag,July
Friday,7,22,345.3333333333333,Freitag,July
Friday,7,23,309.6666666666667,Freitag,July
Friday,8,0,159.6,Freitag,August
Friday,8,1,164.8,Freitag,August
Friday,8,2,127.8,Freitag,August
Friday,8,3,109.8,Freitag,August
Friday,8,4,132.2,Freitag,August
Friday,8,5,205.4,Freitag,August
Friday,8,6,412.0,Freitag,August
Friday,8,7,516.0,Freitag,August
Friday,8,8,525.6,Freitag,August
Friday,8,9,501.0,Freitag,August
Friday,8,10,519.0,Freitag,August
Friday,8,11,540.4,Freitag,August
Friday,8,12,502.0,Freitag,August
Friday,8,13,523.0,Freitag,August
Friday,8,14,496.4,Freitag,August
Friday,8,15,513.6,Freitag,August
Friday,8,16,535.0,Freitag,August
Friday,8,17,519.2,Freitag,August
Friday,8,18,489.8,Freitag,August
Friday,8,19,448.0,Freitag,August
Friday,8,20,401.8,Freitag,August
Friday,8,21,410.6,Freitag,August
Friday,8,22,386.0,Freitag,August
Friday,8,23,350.4,Freitag,August
Friday,9,0,150.75,Freitag,September
Friday,9,1,142.75,Freitag,September
Friday,9,2,111.5,Freitag,September
Friday,9,3,108.25,Freitag,September
Friday,9,4,124.25,Freitag,September
Friday,9,5,215.75,Freitag,September
Friday,9,6,479.0,Freitag,September
Friday,9,7,601.0,Freitag,September
Friday,9,8,608.0,Freitag,September
Friday,9,9,539.75,Freitag,September
Friday,9,10,530.25,Freitag,September
Friday,9,11,539.5,Freitag,September
Friday,9,12,524.0,Freitag,September
Friday,9,13,530.75,Freitag,September
Friday,9,14,548.0,Freitag,September
Friday,9,15,543.25,Freitag,September
Friday,9,16,535.25,Freitag,September
Friday,9,17,556.75,Freitag,September
