weekday,month,hour,vehicles,weekday_de,month_name
Friday,1,0,135.25,Freitag,January
Friday,1,1,123.75,Freitag,January
Friday,1,2,101.25,Freitag,January
Friday,1,3,91.25,Freitag,January
Friday,1,4,77.25,Freitag,January
Friday,1,5,90.75,Freitag,January
Friday,1,6,166.0,Freitag,January
Friday,1,7,239.75,Freitag,January
Friday,1,8,257.0,Freitag,January
Friday,1,9,259.25,Freitag,January
Friday,1,10,331.25,Freitag,January
Friday,1,11,369.75,Freitag,January
Friday,1,12,372.0,Freitag,January
Friday,1,13,423.75,Freitag,January
Friday,1,14,454.0,Freitag,January
Friday,1,15,546.0,Freitag,January
Friday,1,16,604.5,Freitag,January
Friday,1,17,583.0,Freitag,January
Friday,1,18,469.75,Freitag,January
Friday,1,19,359.75,Freitag,January
Friday,1,20,326.5,Freitag,January
Friday,1,21,286.5,Freitag,January
Friday,1,22,342.0,Freitag,January
Friday,1,23,305.0,Freitag,January
Friday,2,0,137.25,Freitag,February
Friday,2,1,130.25,Freitag,February
Friday,2,2,107.75,Freitag,February
Friday,2,3,91.25,Freitag,February
Friday,2,4,76.0,Freitag,February
Friday,2,5,98.25,Freitag,February
Friday,2,6,183.75,Freitag,February
Friday,2,7,283.5,Freitag,February
Friday,2,8,280.75,Freitag,February
Friday,2,9,295.25,Freitag,February
Friday,2,10,356.5,Freitag,February
Friday,2,11,419.0,Freitag,February
Friday,2,12,389.25,Freitag,February
Friday,2,13,461.25,Freitag,February
Friday,2,14,533.25,Freitag,February
Friday,2,15,572.0,Freitag,February
Friday,2,16,652.25,Freitag,February
Friday,2,17,605.0,Freitag,February
Friday,2,18,494.75,Freitag,February
Friday,2,19,394.75,Freitag,February
Friday,2,20,348.25,Freitag,February
Friday,2,21,304.5,Freitag,February
Friday,2,22,348.25,Freitag,February
Friday,2,23,315.0,Freitag,February
Friday,3,0,149.75,Freitag,March
Friday,3,1,150.75,Freitag,March
Friday,3,2,114.0,Freitag,March
Friday,3,3,114.75,Freitag,March
Friday,3,4,79.25,Freitag,March
Friday,3,5,105.25,Freitag,March
Friday,3,6,182.75,Freitag,March
Friday,3,7,287.25,Freitag,March
Friday,3,8,302.5,Freitag,March
Friday,3,9,299.75,Freitag,March
Friday,3,10,338.75,Freitag,March
Friday,3,11,409.0,Freitag,March
Friday,3,12,384.5,Freitag,March
Friday,3,13,479.0,Freitag,March
Friday,3,14,519.75,Freitag,March
Friday,3,15,564.25,Freitag,March
