weekday,month,hour,vehicles,weekday_de,month_name
Friday,1,0,76.0,Freitag,January
Friday,1,1,52.5,Freitag,January
Friday,1,2,30.25,Freitag,January
Friday,1,3,40.5,Freitag,January
Friday,1,4,77.5,Freitag,January
Friday,1,5,269.75,Freitag,January
Friday,1,6,648.0,Freitag,January
Friday,1,7,825.25,Freitag,January
Friday,1,8,865.0,Freitag,January
Friday,1,9,800.75,Freitag,January
Friday,1,10,755.25,Freitag,January
Friday,1,11,788.5,Freitag,January
Friday,1,12,743.75,Freitag,January
Friday,1,13,775.25,Freitag,January
Friday,1,14,793.0,Freitag,January
Friday,1,15,785.75,Freitag,January
Friday,1,16,835.25,Freitag,January
Friday,1,17,862.0,Freitag,January
Friday,1,18,810.5,Freitag,January
Friday,1,19,704.5,Freitag,January
Friday,1,20,675.25,Freitag,January
Friday,1,21,577.0,Freitag,January
Friday,1,22,569.75,Freitag,January
Friday,1,23,455.0,Freitag,January
Friday,2,0,67.5,Freitag,February
Friday,2,1,49.25,Freitag,February
Friday,2,2,32.25,Freitag,February
Friday,2,3,34.25,Freitag,February
Friday,2,4,61.25,Freitag,February
Friday,2,5,246.75,Freitag,February
Friday,2,6,626.5,Freitag,February
Friday,2,7,792.75,Freitag,February
Friday,2,8,840.0,Freitag,February
Friday,2,9,758.75,Freitag,February
Friday,2,10,715.0,Freitag,February
Friday,2,11,750.75,Freitag,February
Friday,2,12,699.75,Freitag,February
Friday,2,13,747.25,Freitag,February
Friday,2,14,735.5,Freitag,February
Friday,2,15,653.0,Freitag,February
Friday,2,16,747.5,Freitag,February
Friday,2,17,822.0,Freitag,February
Friday,2,18,774.75,Freitag,February
Friday,2,19,688.5,Freitag,February
Friday,2,20,638.25,Freitag,February
Friday,2,21,571.5,Freitag,February
Friday,2,22,581.25,Freitag,February
Friday,2,23,455.75,Freitag,February
Friday,3,0,76.25,Freitag,March
Friday,3,1,61.0,Freitag,March
Friday,3,2,35.5,Freitag,March
Friday,3,3,33.5,Freitag,March
Friday,3,4,75.0,Freitag,March
Friday,3,5,304.25,Freitag,March
Friday,3,6,722.5,Freitag,March
Friday,3,7,924.25,Freitag,March
Friday,3,8,972.25,Freitag,March
Friday,3,9,865.75,Freitag,March
Friday,3,10,845.75,Freitag,March
Friday,3,11,845.75,Freitag,March
Friday,3,12,822.25,Freitag,March
Friday,3,13,838.0,Freitag,March
Friday,3,14,852.25,Freitag,March
Friday,3,15,818.0,Freitag,March
Friday,3,16,878.0,Freitag,March
Friday,3,17,913.0,Freitag,March
Friday,3,18,872.25,Freitag,March
Friday,3,19,644.25,Freitag,March
Friday,3,20,709.5,Freitag,March
Friday,3,21,687.75,Freitag,March
Friday,3,22,606.25,Freitag,March
Friday,3,23,523.0,Freitag,March
Friday,4,0,99.75,Freitag,April
Friday,4,1,64.25,Freitag,April
Friday,4,2,33.5,Freitag,April
Friday,4,3,37.5,Freitag,April
Friday,4,4,82.75,Freitag,April
Friday,4,5,336.0,Freitag,April
Friday,4,6,781.5,Freitag,April
Friday,4,7,969.75,Freitag,April
Friday,4,8,968.75,Freitag,April
Friday,4,9,904.75,Freitag,April
Friday,4,10,878.5,Freitag,April
Friday,4,11,877.25,Freitag,April
Friday,4,12,833.25,Freitag,April
Friday,4,13,872.5,Freitag,April
Friday,4,14,844.0,Freitag,April
Friday,4,15,870.25,Freitag,April
Friday,4,16,864.5,Freitag,April
Friday,4,17,900.5,Freitag,April
Friday,4,18,858.25,Freitag,April
Friday,4,19,780.75,Freitag,April
Friday,4,20,701.75,Freitag,April
Friday,4,21,683.75,Freitag,April
Friday,4,22,666.0,Freitag,April
Friday,4,23,576.5,Freitag,April
Friday,5,0,121.25,Freitag,May
Friday,5,1,69.0,Freitag,May
Friday,5,2,40.0,Freitag,May
Friday,5,3,43.5,Freitag,May
Friday,5,4,95.0,Freitag,May
Friday,5,5,332.25,Freitag,May
Friday,5,6,724.75,Freitag,May
Friday,5,7,794.5,Freitag,May
Friday,5,8,832.0,Freitag,May
Friday,5,9,839.5,Freitag,May
Friday,5,10,816.25,Freitag,May
Friday,5,11,810.25,Freitag,May
Friday,5,12,793.75,Freitag,May
Friday,5,13,778.25,Freitag,May
Friday,5,14,813.25,Freitag,May
Friday,5,15,797.5,Freitag,May
Friday,5,16,809.0,Freitag,May
Friday,5,17,799.0,Freitag,May
Friday,5,18,757.75,Freitag,May
Friday,5,19,758.6666666666666,Freitag,May
Friday,5,20,746.6666666666666,Freitag,May
Friday,5,21,715.3333333333334,Freitag,May
Friday,5,22,696.3333333333334,Freitag,May
Friday,5,23,612.3333333333334,Freitag,May
Friday,6,0,200.5,Freitag,June
Friday,6,1,118.0,Freitag,June
Friday,6,2,59.5,Freitag,June
Friday,6,3,70.5,Freitag,June
Friday,6,4,85.0,Freitag,June
Friday,6,5,393.0,Freitag,June
Friday,6,6,878.5,Freitag,June
Friday,6,7,899.0,Freitag,June
Friday,6,8,858.5,Freitag,June
Friday,6,9,800.5,Freitag,June
Friday,6,10,813.0,Freitag,June
Friday,6,11,826.0,Freitag,June
Friday,6,12,848.0,Freitag,June
Friday,6,13,829.0,Freitag,June
Friday,6,14,837.0,Freitag,June
Friday,6,15,827.0,Freitag,June
Friday,6,16,838.5,Freitag,June
Friday,6,17,855.5,Freitag,June
Friday,6,18,599.0,Freitag,June
Friday,6,19,560.5,Freitag,June
Friday,6,20,716.5,Freitag,June
Friday,6,21,731.5,Freitag,June
Friday,6,22,643.5,Freitag,June
Friday,6,23,663.5,Freitag,June
Friday,11,0,139.0,Freitag,November
Friday,11,1,97.33333333333333,Freitag,November
Friday,11,2,54.333333333333336,Freitag,November
Friday,11,3,64.66666666666667,Freitag,November
Friday,11,4,102.66666666666667,Freitag,November
Friday,11,5,299.6666666666667,Freitag,November
Friday,11,6,718.6666666666666,Freitag,November
Friday,11,7,855.3333333333334,Freitag,November
Friday,11,8,870.0,Freitag,November
Friday,11,9,851.0,Freitag,November
Friday,11,10,842.0,Freitag,November
Friday,11,11,811.0,Freitag,November
Friday,11,12,747.0,Freitag,November
Friday,11,13,810.3333333333334,Freitag,November
Friday,11,14,788.3333333333334,Freitag,November
Friday,11,15,777.3333333333334,Freitag,November
Friday,11,16,826.0,Freitag,November
