weekday,month,hour,vehicles,weekday_de,month_name
Friday,1,0,124.5,Freitag,January
Friday,1,1,82.75,Freitag,January
Friday,1,2,55.5,Freitag,January
Friday,1,3,42.5,Freitag,January
Friday,1,4,62.0,Freitag,January
Friday,1,5,126.75,Freitag,January
Friday,1,6,387.25,Freitag,January
Friday,1,7,479.25,Freitag,January
Friday,1,8,460.25,Freitag,January
Friday,1,9,410.25,Freitag,January
Friday,1,10,496.25,Freitag,January
Friday,1,11,546.5,Freitag,January
Friday,1,12,520.75,Freitag,January
Friday,1,13,547.5,Freitag,January
Friday,1,14,643.75,Freitag,January
Friday,1,15,692.75,Freitag,January
Friday,1,16,705.75,Freitag,January
Friday,1,17,733.0,Freitag,January
Friday,1,18,653.75,Freitag,January
Friday,1,19,520.25,Freitag,January
Friday,1,20,431.5,Freitag,January
Friday,1,21,402.25,Freitag,January
Friday,1,22,455.0,Freitag,January
Friday,1,23,449.25,Freitag,January
Friday,2,0,141.75,Freitag,February
Friday,2,1,86.75,Freitag,February
Friday,2,2,53.5,Freitag,February
Friday,2,3,38.5,Freitag,February
Friday,2,4,57.75,Freitag,February
Friday,2,5,126.5,Freitag,February
Friday,2,6,414.5,Freitag,February
Friday,2,7,536.75,Freitag,February
Friday,2,8,505.25,Freitag,February
Friday,2,9,447.5,Freitag,February
Friday,2,10,541.0,Freitag,February
Friday,2,11,604.0,Freitag,February
Friday,2,12,558.0,Freitag,February
Friday,2,13,604.5,Freitag,February
Friday,2,14,682.75,Freitag,February
Friday,2,15,706.0,Freitag,February
Friday,2,16,721.25,Freitag,February
Friday,2,17,758.5,Freitag,February
Friday,2,18,689.75,Freitag,February
Friday,2,19,560.5,Freitag,February
Friday,2,20,430.0,Freitag,February
Friday,2,21,404.25,Freitag,February
Friday,2,22,489.75,Freitag,February
Friday,2,23,497.0,Freitag,February
Friday,3,0,139.25,Freitag,March
Friday,3,1,103.0,Freitag,March
Friday,3,2,63.5,Freitag,March
Friday,3,3,50.75,Freitag,March
Friday,3,4,66.25,Freitag,March
Friday,3,5,133.0,Freitag,March
Friday,3,6,417.25,Freitag,March
Friday,3,7,552.75,Freitag,March
Friday,3,8,510.25,Freitag,March
Friday,3,9,490.75,Freitag,March
Friday,3,10,554.75,Freitag,March
Friday,3,11,603.0,Freitag,March
Friday,3,12,556.0,Freitag,March
Friday,3,13,612.5,Freitag,March
Friday,3,14,697.0,Freitag,March
Friday,3,15,742.5,Freitag,March
Friday,3,16,814.75,Freitag,March
Friday,3,17,794.25,Freitag,March
Friday,3,18,680.25,Freitag,March
Friday,3,19,445.0,Freitag,March
Friday,3,20,452.25,Freitag,March
Friday,3,21,393.5,Freitag,March
Friday,3,22,461.0,Freitag,March
Friday,3,23,445.0,Freitag,March
Friday,4,0,162.5,Freitag,April
Friday,4,1,97.5,Freitag,April
Friday,4,2,60.0,Freitag,April
Friday,4,3,49.0,Freitag,April
Friday,4,4,68.5,Freitag,April
Friday,4,5,134.75,Freitag,April
Friday,4,6,430.0,Freitag,April
Friday,4,7,560.75,Freitag,April
Friday,4,8,530.5,Freitag,April
Friday,4,9,469.0,Freitag,April
Friday,4,10,578.0,Freitag,April
Friday,4,11,639.25,Freitag,April
Friday,4,12,602.25,Freitag,April
Friday,4,13,591.5,Freitag,April
Friday,4,14,683.75,Freitag,April
Friday,4,15,747.75,Freitag,April
Friday,4,16,770.0,Freitag,April
Friday,4,17,784.75,Freitag,April
Friday,4,18,706.75,Freitag,April
Friday,4,19,565.5,Freitag,April
Friday,4,20,471.25,Freitag,April
Friday,4,21,488.25,Freitag,April
Friday,4,22,539.25,Freitag,April
Friday,4,23,486.25,Freitag,April
Friday,5,0,127.5,Freitag,May
Friday,5,1,78.75,Freitag,May
Friday,5,2,41.0,Freitag,May
Friday,5,3,42.5,Freitag,May
Friday,5,4,56.25,Freitag,May
Friday,5,5,98.5,Freitag,May
Friday,5,6,263.5,Freitag,May
Friday,5,7,355.0,Freitag,May
Friday,5,8,338.0,Freitag,May
Friday,5,9,334.25,Freitag,May
Friday,5,10,542.6666666666666,Freitag,May
Friday,5,11,602.3333333333334,Freitag,May
Friday,5,12,605.0,Freitag,May
Friday,5,13,564.3333333333334,Freitag,May
Friday,5,14,667.6666666666666,Freitag,May
Friday,5,15,715.3333333333334,Freitag,May
Friday,5,16,744.0,Freitag,May
Friday,5,17,772.3333333333334,Freitag,May
Friday,5,18,699.6666666666666,Freitag,May
Friday,5,19,548.6666666666666,Freitag,May
Friday,5,20,456.6666666666667,Freitag,May
Friday,5,21,452.0,Freitag,May
Friday,5,22,491.0,Freitag,May
Friday,5,23,480.6666666666667,Freitag,May
Friday,11,0,191.33333333333334,Freitag,November
Friday,11,1,132.0,Freitag,November
Friday,11,2,79.0,Freitag,November
Friday,11,3,65.0,Freitag,November
Friday,11,4,78.66666666666667,Freitag,November
Friday,11,5,147.66666666666666,Freitag,November
Friday,11,6,398.0,Freitag,November
Friday,11,7,508.0,Freitag,November
Friday,11,8,518.0,Freitag,November
Friday,11,9,459.3333333333333,Freitag,November
Friday,11,10,533.3333333333334,Freitag,November
Friday,11,11,601.3333333333334,Freitag,November
Friday,11,12,592.3333333333334,Freitag,November
Friday,11,13,588.6666666666666,Freitag,November
Friday,11,14,683.3333333333334,Freitag,November
Friday,11,15,713.0,Freitag,November
Friday,11,16,723.3333333333334,Freitag,November
Friday,11,17,723.3333333333334,Freitag,November
Friday,11,18,628.3333333333334,Freitag,November
Friday,11,19,557.0,Freitag,November
Friday,11,20,498.3333333333333,Freitag,November
Friday,11,21,473.0,Freitag,November
Friday,11,22,575.0,Freitag,November
Friday,11,23,607.0,Freitag,November
Friday,12,0,233.75,Freitag,December
Friday,12,1,176.25,Freitag,December
Friday,12,2,131.25,Freitag,December
Friday,12,3,83.75,Freitag,December
Friday,12,4,83.25,Freitag,December
Friday,12,5,139.25,Freitag,December
Friday,12,6,324.5,Freitag,December
Friday,12,7,444.25,Freitag,December
Friday,12,8,444.75,Freitag,December
Friday,12,9,443.25,Freitag,December
Friday,12,10,511.5,Freitag,December
Friday,12,11,602.25,Freitag,December
Friday,12,12,585.25,Freitag,December
Friday,12,13,598.75,Freitag,December
Friday,12,14,644.25,Freitag,December
Friday,12,15,688.75,Freitag,December
Friday,12,16,722.0,Freitag,December
Friday,12,17,709.25,Freitag,December
Friday,12,18,647.25,Freitag,December
Friday,12,19,556.5,Freitag,December
Friday,12,20,518.0,Freitag,December
Friday,12,21,469.75,Freitag,December
Friday,12,22,574.75,Freitag,December
Friday,12,23,558.0,Freitag,December
Monday,1,0,64.66666666666667,Montag,January
Monday,1,1,42.666666666666664,Montag,January
Monday,1,2,24.666666666666668,Montag,January
Monday,1,3,31.0,Montag,January
Monday,1,4,44.0,Montag,January
Monday,1,5,145.33333333333334,Montag,January
Monday,1,6,509.0,Montag,January
Monday,1,7,621.3333333333334,Montag,January
Monday,1,8,601.3333333333334,Montag,January
Monday,1,9,512.0,Montag,January
Monday,1,10,539.6666666666666,Montag,January
Monday,1,11,522.3333333333334,Montag,January
Monday,1,12,493.0,Montag,January
Monday,1,13,517.6666666666666,Montag,January
Monday,1,14,577.0,Montag,January
Monday,1,15,650.25,Montag,January
Monday,1,16,730.75,Montag,January
Monday,1,17,711.5,Montag,January
Monday,1,18,637.75,Montag,January
Monday,1,19,479.0,Montag,January
Monday,1,20,365.5,Montag,January
Monday,1,21,271.5,Montag,January
Monday,1,22,228.25,Montag,January
Monday,1,23,118.5,Montag,January
Monday,2,0,62.0,Montag,February
Monday,2,1,43.666666666666664,Montag,February
Monday,2,2,22.333333333333332,Montag,February
Monday,2,3,33.666666666666664,Montag,February
Monday,2,4,51.0,Montag,February
Monday,2,5,152.66666666666666,Montag,February
Monday,2,6,495.0,Montag,February
Monday,2,7,613.3333333333334,Montag,February
Monday,2,8,551.3333333333334,Montag,February
Monday,2,9,461.3333333333333,Montag,February
Monday,2,10,518.5,Montag,February
Monday,2,11,521.75,Montag,February
Monday,2,12,475.5,Montag,February
Monday,2,13,506.75,Montag,February
Monday,2,14,577.25,Montag,February
Monday,2,15,682.0,Montag,February
Monday,2,16,756.75,Montag,February
Monday,2,17,762.0,Montag,February
Monday,2,18,698.75,Montag,February
Monday,2,19,483.0,Montag,February
Monday,2,20,350.25,Montag,February
Monday,2,21,273.0,Montag,February
Monday,2,22,221.75,Montag,February
Monday,2,23,115.75,Montag,February
Monday,3,0,61.0,Montag,March
Monday,3,1,44.75,Montag,March
Monday,3,2,22.0,Montag,March
Monday,3,3,30.5,Montag,March
Monday,3,4,45.5,Montag,March
Monday,3,5,151.0,Montag,March
Monday,3,6,504.25,Montag,March
Monday,3,7,669.0,Montag,March
Monday,3,8,579.75,Montag,March
Monday,3,9,483.25,Montag,March
Monday,3,10,536.25,Montag,March
Monday,3,11,538.5,Montag,March
Monday,3,12,501.0,Montag,March
Monday,3,13,532.75,Montag,March
Monday,3,14,582.75,Montag,March
Monday,3,15,681.25,Montag,March
Monday,3,16,792.5,Montag,March
Monday,3,17,834.0,Montag,March
Monday,3,18,729.0,Montag,March
Monday,3,19,479.5,Montag,March
Monday,3,20,376.0,Montag,March
Monday,3,21,313.75,Montag,March
Monday,3,22,247.0,Montag,March
Monday,3,23,125.75,Montag,March
Monday,4,0,84.25,Montag,April
Monday,4,1,48.0,Montag,April
Monday,4,2,25.25,Montag,April
Monday,4,3,30.75,Montag,April
Monday,4,4,53.0,Montag,April
Monday,4,5,159.5,Montag,April
Monday,4,6,486.0,Montag,April
Monday,4,7,594.75,Montag,April
Monday,4,8,555.0,Montag,April
Monday,4,9,470.75,Montag,April
Monday,4,10,536.5,Montag,April
Monday,4,11,538.75,Montag,April
Monday,4,12,449.25,Montag,April
Monday,4,13,384.5,Montag,April
Monday,4,14,454.0,Montag,April
Monday,4,15,535.5,Montag,April
Monday,4,16,627.25,Montag,April
Monday,4,17,590.5,Montag,April
Monday,4,18,567.0,Montag,April
Monday,4,19,459.25,Montag,April
Monday,4,20,362.5,Montag,April
Monday,4,21,347.25,Montag,April
Monday,4,22,269.0,Montag,April
Monday,4,23,155.25,Montag,April
Monday,5,0,95.0,Montag,May
Monday,5,1,45.0,Montag,May
Monday,5,2,24.0,Montag,May
Monday,5,3,27.5,Montag,May
Monday,5,4,50.5,Montag,May
Monday,5,5,174.0,Montag,May
Monday,5,6,491.0,Montag,May
Monday,5,7,624.0,Montag,May
Monday,5,8,580.0,Montag,May
Monday,5,9,529.0,Montag,May
Monday,5,10,536.0,Montag,May
Monday,5,11,566.0,Montag,May
Monday,5,12,490.0,Montag,May
Monday,5,13,517.0,Montag,May
Monday,5,14,604.0,Montag,May
Monday,5,15,665.0,Montag,May
Monday,5,16,747.5,Montag,May
Monday,5,17,791.0,Montag,May
Monday,5,18,732.5,Montag,May
Monday,5,19,489.5,Montag,May
Monday,5,20,393.0,Montag,May
Monday,5,21,332.5,Montag,May
Monday,5,22,276.0,Montag,May
Monday,5,23,174.0,Montag,May
Monday,11,0,65.5,Montag,November
Monday,11,1,47.0,Montag,November
Monday,11,2,23.0,Montag,November
Monday,11,3,27.0,Montag,November
Monday,11,4,58.5,Montag,November
Monday,11,5,160.0,Montag,November
Monday,11,6,536.5,Montag,November
Monday,11,7,656.5,Montag,November
Monday,11,8,576.5,Montag,November
Monday,11,9,516.0,Montag,November
Monday,11,10,531.5,Montag,November
Monday,11,11,561.5,Montag,November
Monday,11,12,493.0,Montag,November
Monday,11,13,548.0,Montag,November
Monday,11,14,643.5,Montag,November
Monday,11,15,708.5,Montag,November
Monday,11,16,716.5,Montag,November
Monday,11,17,743.0,Montag,November
Monday,11,18,666.5,Montag,November
Monday,11,19,480.0,Montag,November
Monday,11,20,437.5,Montag,November
Monday,11,21,386.0,Montag,November
Monday,11,22,322.5,Montag,November
Monday,11,23,177.5,Montag,November
Monday,12,0,88.4,Montag,December
Monday,12,1,57.6,Montag,December
Monday,12,2,36.4,Montag,December
Monday,12,3,31.2,Montag,December
Monday,12,4,55.0,Montag,December
Monday,12,5,134.4,Montag,December
Monday,12,6,387.6,Montag,December
Monday,12,7,485.2,Montag,December
Monday,12,8,463.4,Montag,December
Monday,12,9,442.2,Montag,December
Monday,12,10,514.2,Montag,December
Monday,12,11,544.0,Montag,December
Monday,12,12,487.8,Montag,December
Monday,12,13,533.8,Montag,December
Monday,12,14,597.0,Montag,December
Monday,12,15,646.2,Montag,December
Monday,12,16,707.8,Montag,December
Monday,12,17,695.6,Montag,December
Monday,12,18,629.4,Montag,December
Monday,12,19,544.2,Montag,December
Monday,12,20,455.2,Montag,December
Monday,12,21,397.0,Montag,December
Monday,12,22,331.0,Montag,December
Monday,12,23,193.2,Montag,December
Thursday,1,0,77.5,Donnerstag,January
Thursday,1,1,50.25,Donnerstag,January
Thursday,1,2,34.0,Donnerstag,January
Thursday,1,3,35.0,Donnerstag,January
Thursday,1,4,52.75,Donnerstag,January
Thursday,1,5,131.25,Donnerstag,January
Thursday,1,6,420.5,Donnerstag,January
Thursday,1,7,570.25,Donnerstag,January
Thursday,1,8,535.0,Donnerstag,January
Thursday,1,9,462.0,Donnerstag,January
Thursday,1,10,496.0,Donnerstag,January
Thursday,1,11,513.5,Donnerstag,January
Thursday,1,12,496.5,Donnerstag,January
Thursday,1,13,517.75,Donnerstag,January
Thursday,1,14,594.25,Donnerstag,January
Thursday,1,15,672.75,Donnerstag,January
Thursday,1,16,731.25,Donnerstag,January
Thursday,1,17,682.75,Donnerstag,January
Thursday,1,18,644.5,Donnerstag,January
Thursday,1,19,527.0,Donnerstag,January
Thursday,1,20,419.75,Donnerstag,January
Thursday,1,21,330.25,Donnerstag,January
Thursday,1,22,331.25,Donnerstag,January
Thursday,1,23,203.75,Donnerstag,January
Thursday,2,0,89.6,Donnerstag,February
Thursday,2,1,59.2,Donnerstag,February
Thursday,2,2,35.8,Donnerstag,February
Thursday,2,3,25.0,Donnerstag,February
Thursday,2,4,53.8,Donnerstag,February
Thursday,2,5,136.2,Donnerstag,February
Thursday,2,6,456.8,Donnerstag,February
Thursday,2,7,610.4,Donnerstag,February
Thursday,2,8,593.6,Donnerstag,February
Thursday,2,9,513.6,Donnerstag,February
Thursday,2,10,531.0,Donnerstag,February
Thursday,2,11,543.8,Donnerstag,February
Thursday,2,12,506.2,Donnerstag,February
Thursday,2,13,548.6,Donnerstag,February
Thursday,2,14,633.8,Donnerstag,February
Thursday,2,15,712.8,Donnerstag,February
Thursday,2,16,758.2,Donnerstag,February
Thursday,2,17,731.8,Donnerstag,February
Thursday,2,18,715.4,Donnerstag,February
Thursday,2,19,565.4,Donnerstag,February
Thursday,2,20,437.6,Donnerstag,February
Thursday,2,21,340.8,Donnerstag,February
Thursday,2,22,329.8,Donnerstag,February
Thursday,2,23,210.2,Donnerstag,February
Thursday,3,0,88.75,Donnerstag,March
Thursday,3,1,49.75,Donnerstag,March
Thursday,3,2,32.75,Donnerstag,March
Thursday,3,3,35.5,Donnerstag,March
Thursday,3,4,52.5,Donnerstag,March
Thursday,3,5,141.5,Donnerstag,March
Thursday,3,6,477.5,Donnerstag,March
Thursday,3,7,615.25,Donnerstag,March
Thursday,3,8,591.5,Donnerstag,March
Thursday,3,9,508.5,Donnerstag,March
Thursday,3,10,567.25,Donnerstag,March
Thursday,3,11,589.0,Donnerstag,March
Thursday,3,12,586.0,Donnerstag,March
Thursday,3,13,575.75,Donnerstag,March
Thursday,3,14,668.75,Donnerstag,March
Thursday,3,15,754.25,Donnerstag,March
Thursday,3,16,811.25,Donnerstag,March
Thursday,3,17,814.5,Donnerstag,March
Thursday,3,18,755.25,Donnerstag,March
Thursday,3,19,572.25,Donnerstag,March
Thursday,3,20,435.75,Donnerstag,March
Thursday,3,21,400.0,Donnerstag,March
Thursday,3,22,397.75,Donnerstag,March
Thursday,3,23,275.25,Donnerstag,March
Thursday,4,0,97.0,Donnerstag,April
Thursday,4,1,59.25,Donnerstag,April
Thursday,4,2,33.0,Donnerstag,April
Thursday,4,3,30.0,Donnerstag,April
Thursday,4,4,64.5,Donnerstag,April
Thursday,4,5,150.75,Donnerstag,April
Thursday,4,6,461.25,Donnerstag,April
