weekday,month,hour,vehicles,weekday_de,month_name
Friday,1,0,73.75,Freitag,January
Friday,1,1,77.75,Freitag,January
Friday,1,2,49.0,Freitag,January
Friday,1,3,45.25,Freitag,January
Friday,1,4,38.5,Freitag,January
Friday,1,5,64.25,Freitag,January
Friday,1,6,138.0,Freitag,January
Friday,1,7,227.0,Freitag,January
Friday,1,8,311.0,Freitag,January
Friday,1,9,316.5,Freitag,January
Friday,1,10,319.5,Freitag,January
Friday,1,11,312.5,Freitag,January
Friday,1,12,271.75,Freitag,January
Friday,1,13,285.0,Freitag,January
Friday,1,14,329.25,Freitag,January
Friday,1,15,303.25,Freitag,January
Friday,1,16,311.75,Freitag,January
Friday,1,17,301.75,Freitag,January
Friday,1,18,274.0,Freitag,January
Friday,1,19,236.0,Freitag,January
Friday,1,20,204.0,Freitag,January
Friday,1,21,194.5,Freitag,January
Friday,1,22,168.5,Freitag,January
Friday,1,23,163.5,Freitag,January
Friday,2,0,81.25,Freitag,February
Friday,2,1,70.25,Freitag,February
Friday,2,2,52.5,Freitag,February
Friday,2,3,39.25,Freitag,February
Friday,2,4,40.0,Freitag,February
Friday,2,5,52.0,Freitag,February
Friday,2,6,147.25,Freitag,February
Friday,2,7,250.5,Freitag,February
Friday,2,8,305.5,Freitag,February
Friday,2,9,316.75,Freitag,February
Friday,2,10,311.75,Freitag,February
Friday,2,11,332.0,Freitag,February
Friday,2,12,296.0,Freitag,February
Friday,2,13,285.0,Freitag,February
Friday,2,14,311.0,Freitag,February
Friday,2,15,313.5,Freitag,February
Friday,2,16,313.25,Freitag,February
Friday,2,17,294.5,Freitag,February
Friday,2,18,279.5,Freitag,February
Friday,2,19,219.75,Freitag,February
Friday,2,20,211.5,Freitag,February
Friday,2,21,191.25,Freitag,February
Friday,2,22,195.25,Freitag,February
Friday,2,23,173.25,Freitag,February
Friday,3,0,79.25,Freitag,March
Friday,3,1,80.0,Freitag,March
Friday,3,2,59.75,Freitag,March
Friday,3,3,41.5,Freitag,March
Friday,3,4,40.25,Freitag,March
Friday,3,5,56.5,Freitag,March
Friday,3,6,159.25,Freitag,March
Friday,3,7,252.0,Freitag,March
Friday,3,8,313.25,Freitag,March
Friday,3,9,321.5,Freitag,March
Friday,3,10,359.75,Freitag,March
Friday,3,11,371.0,Freitag,March
Friday,3,12,299.25,Freitag,March
Friday,3,13,297.75,Freitag,March
Friday,3,14,321.5,Freitag,March
Friday,3,15,324.0,Freitag,March
Friday,3,16,325.75,Freitag,March
