weekday,month,hour,vehicles,weekday_de,month_name
Friday,1,0,81.75,Freitag,January
Friday,1,1,52.75,Freitag,January
Friday,1,2,44.75,Freitag,January
Friday,1,3,41.75,Freitag,January
Friday,1,4,52.0,Freitag,January
Friday,1,5,95.5,Freitag,January
Friday,1,6,208.0,Freitag,January
Friday,1,7,298.5,Freitag,January
Friday,1,8,277.5,Freitag,January
Friday,1,9,290.5,Freitag,January
Friday,1,10,308.25,Freitag,January
Friday,1,11,299.0,Freitag,January
Friday,1,12,298.5,Freitag,January
Friday,1,13,328.75,Freitag,January
Friday,1,14,354.0,Freitag,January
Friday,1,15,338.75,Freitag,January
Friday,1,16,356.0,Freitag,January
Friday,1,17,332.25,Freitag,January
Friday,1,18,304.0,Freitag,January
Friday,1,19,259.75,Freitag,January
Friday,1,20,237.75,Freitag,January
Friday,1,21,221.75,Freitag,January
Friday,1,22,265.5,Freitag,January
Friday,1,23,221.0,Freitag,January
Friday,2,0,70.25,Freitag,February
Friday,2,1,51.0,Freitag,February
Friday,2,2,37.25,Freitag,February
Friday,2,3,44.0,Freitag,February
Friday,2,4,56.0,Freitag,February
Friday,2,5,94.5,Freitag,February
Friday,2,6,231.5,Freitag,February
Friday,2,7,315.0,Freitag,February
Friday,2,8,303.5,Freitag,February
Friday,2,9,288.75,Freitag,February
Friday,2,10,308.5,Freitag,February
Friday,2,11,302.25,Freitag,February
Friday,2,12,299.5,Freitag,February
Friday,2,13,337.75,Freitag,February
Friday,2,14,337.0,Freitag,February
Friday,2,15,329.0,Freitag,February
Friday,2,16,344.5,Freitag,February
Friday,2,17,298.5,Freitag,February
Friday,2,18,299.75,Freitag,February
Friday,2,19,260.25,Freitag,February
Friday,2,20,252.75,Freitag,February
Friday,2,21,240.5,Freitag,February
Friday,2,22,269.25,Freitag,February
Friday,2,23,234.75,Freitag,February
Friday,3,0,84.75,Freitag,March
Friday,3,1,63.25,Freitag,March
Friday,3,2,46.0,Freitag,March
Friday,3,3,45.25,Freitag,March
Friday,3,4,67.0,Freitag,March
Friday,3,5,95.25,Freitag,March
Friday,3,6,247.5,Freitag,March
Friday,3,7,325.5,Freitag,March
Friday,3,8,329.25,Freitag,March
Friday,3,9,324.5,Freitag,March
Friday,3,10,356.75,Freitag,March
Friday,3,11,348.25,Freitag,March
Friday,3,12,321.0,Freitag,March
Friday,3,13,344.0,Freitag,March
Friday,3,14,360.25,Freitag,March
Friday,3,15,354.25,Freitag,March
Friday,3,16,367.25,Freitag,March
Friday,3,17,328.25,Freitag,March
Friday,3,18,329.0,Freitag,March
Friday,3,19,317.75,Freitag,March
Friday,3,20,274.5,Freitag,March
Friday,3,21,299.25,Freitag,March
Friday,3,22,316.0,Freitag,March
Friday,3,23,294.25,Freitag,March
Friday,4,0,88.5,Freitag,April
Friday,4,1,58.75,Freitag,April
Friday,4,2,47.25,Freitag,April
Friday,4,3,42.0,Freitag,April
Friday,4,4,56.0,Freitag,April
Friday,4,5,90.25,Freitag,April
Friday,4,6,243.25,Freitag,April
Friday,4,7,339.5,Freitag,April
Friday,4,8,319.25,Freitag,April
Friday,4,9,321.5,Freitag,April
Friday,4,10,325.5,Freitag,April
Friday,4,11,354.5,Freitag,April
Friday,4,12,326.5,Freitag,April
Friday,4,13,345.5,Freitag,April
Friday,4,14,359.75,Freitag,April
Friday,4,15,372.0,Freitag,April
Friday,4,16,372.0,Freitag,April
Friday,4,17,339.0,Freitag,April
Friday,4,18,344.5,Freitag,April
Friday,4,19,308.5,Freitag,April
Friday,4,20,272.5,Freitag,April
Friday,4,21,278.25,Freitag,April
Friday,4,22,298.75,Freitag,April
Friday,4,23,263.25,Freitag,April
Friday,5,0,93.0,Freitag,May
Friday,5,1,72.0,Freitag,May
Friday,5,2,45.0,Freitag,May
Friday,5,3,42.6,Freitag,May
Friday,5,4,52.0,Freitag,May
Friday,5,5,97.2,Freitag,May
Friday,5,6,224.0,Freitag,May
Friday,5,7,286.8,Freitag,May
Friday,5,8,268.8,Freitag,May
Friday,5,9,271.4,Freitag,May
Friday,5,10,295.0,Freitag,May
Friday,5,11,306.4,Freitag,May
Friday,5,12,297.4,Freitag,May
Friday,5,13,326.4,Freitag,May
Friday,5,14,332.6,Freitag,May
Friday,5,15,336.8,Freitag,May
Friday,5,16,317.2,Freitag,May
Friday,5,17,304.6,Freitag,May
Friday,5,18,309.0,Freitag,May
Friday,5,19,284.6,Freitag,May
Friday,5,20,253.6,Freitag,May
Friday,5,21,255.8,Freitag,May
Friday,5,22,259.4,Freitag,May
Friday,5,23,239.2,Freitag,May
Friday,6,0,95.75,Freitag,June
Friday,6,1,69.75,Freitag,June
Friday,6,2,52.5,Freitag,June
Friday,6,3,51.5,Freitag,June
Friday,6,4,57.5,Freitag,June
Friday,6,5,97.5,Freitag,June
Friday,6,6,240.5,Freitag,June
Friday,6,7,315.25,Freitag,June
Friday,6,8,287.5,Freitag,June
Friday,6,9,282.5,Freitag,June
Friday,6,10,304.25,Freitag,June
Friday,6,11,322.75,Freitag,June
Friday,6,12,302.75,Freitag,June
Friday,6,13,324.75,Freitag,June
Friday,6,14,329.5,Freitag,June
Friday,6,15,333.25,Freitag,June
Friday,6,16,358.5,Freitag,June
Friday,6,17,322.0,Freitag,June
Friday,6,18,233.5,Freitag,June
Friday,6,19,257.0,Freitag,June
Friday,6,20,220.5,Freitag,June
Friday,6,21,244.0,Freitag,June
Friday,6,22,242.25,Freitag,June
Friday,6,23,263.5,Freitag,June
Friday,7,0,73.66666666666667,Freitag,July
Friday,7,1,57.333333333333336,Freitag,July
Friday,7,2,50.333333333333336,Freitag,July
Friday,7,3,48.0,Freitag,July
Friday,7,4,54.333333333333336,Freitag,July
Friday,7,5,94.33333333333333,Freitag,July
Friday,7,6,242.0,Freitag,July
Friday,7,7,313.0,Freitag,July
Friday,7,8,264.3333333333333,Freitag,July
Friday,7,9,276.6666666666667,Freitag,July
Friday,7,10,288.0,Freitag,July
Friday,7,11,303.0,Freitag,July
Friday,7,12,285.3333333333333,Freitag,July
Friday,7,13,314.3333333333333,Freitag,July
Friday,7,14,314.3333333333333,Freitag,July
Friday,7,15,312.3333333333333,Freitag,July
Friday,7,16,326.0,Freitag,July
Friday,7,17,315.0,Freitag,July
Friday,7,18,313.0,Freitag,July
Friday,7,19,274.0,Freitag,July
Friday,7,20,240.33333333333334,Freitag,July
Friday,7,21,241.0,Freitag,July
Friday,7,22,237.33333333333334,Freitag,July
Friday,7,23,208.0,Freitag,July
Friday,8,0,90.4,Freitag,August
Friday,8,1,59.8,Freitag,August
Friday,8,2,44.4,Freitag,August
Friday,8,3,44.0,Freitag,August
Friday,8,4,59.0,Freitag,August
Friday,8,5,100.6,Freitag,August
Friday,8,6,209.2,Freitag,August
Friday,8,7,290.2,Freitag,August
Friday,8,8,265.4,Freitag,August
Friday,8,9,275.2,Freitag,August
Friday,8,10,277.6,Freitag,August
Friday,8,11,312.6,Freitag,August
Friday,8,12,307.6,Freitag,August
Friday,8,13,320.8,Freitag,August
Friday,8,14,345.4,Freitag,August
Friday,8,15,328.8,Freitag,August
Friday,8,16,325.8,Freitag,August
Friday,8,17,318.8,Freitag,August
Friday,8,18,299.0,Freitag,August
Friday,8,19,284.6,Freitag,August
Friday,8,20,253.6,Freitag,August
Friday,8,21,240.8,Freitag,August
Friday,8,22,261.8,Freitag,August
Friday,8,23,241.2,Freitag,August
Friday,9,0,79.66666666666667,Freitag,September
Friday,9,1,63.666666666666664,Freitag,September
Friday,9,2,47.0,Freitag,September
Friday,9,3,38.333333333333336,Freitag,September
Friday,9,4,51.333333333333336,Freitag,September
Friday,9,5,103.0,Freitag,September
Friday,9,6,228.66666666666666,Freitag,September
Friday,9,7,337.3333333333333,Freitag,September
Friday,9,8,315.3333333333333,Freitag,September
Friday,9,9,324.3333333333333,Freitag,September
Friday,9,10,336.3333333333333,Freitag,September
Friday,9,11,336.6666666666667,Freitag,September
Friday,9,12,302.6666666666667,Freitag,September
Friday,9,13,341.0,Freitag,September
Friday,9,14,360.6666666666667,Freitag,September
Friday,9,15,360.6666666666667,Freitag,September
Friday,9,16,341.3333333333333,Freitag,September
Friday,9,17,344.0,Freitag,September
Friday,9,18,340.6666666666667,Freitag,September
Friday,9,19,308.3333333333333,Freitag,September
Friday,9,20,257.3333333333333,Freitag,September
Friday,9,21,261.3333333333333,Freitag,September
Friday,9,22,288.6666666666667,Freitag,September
Friday,9,23,271.6666666666667,Freitag,September
Friday,10,0,16.5,Freitag,October
Friday,10,1,16.75,Freitag,October
Friday,10,2,11.25,Freitag,October
Friday,10,3,10.25,Freitag,October
Friday,10,4,20.75,Freitag,October
Friday,10,5,101.0,Freitag,October
Friday,10,6,236.0,Freitag,October
Friday,10,7,323.25,Freitag,October
Friday,10,8,303.5,Freitag,October
