weekday,month,hour,vehicles,weekday_de,month_name
Friday,1,0,213.5,Freitag,January
Friday,1,1,145.5,Freitag,January
Friday,1,2,106.0,Freitag,January
Friday,1,3,90.25,Freitag,January
Friday,1,4,110.25,Freitag,January
Friday,1,5,284.25,Freitag,January
Friday,1,6,860.25,Freitag,January
Friday,1,7,1231.0,Freitag,January
Friday,1,8,1295.75,Freitag,January
Friday,1,9,1191.5,Freitag,January
Friday,1,10,1185.5,Freitag,January
Friday,1,11,1242.0,Freitag,January
Friday,1,12,1207.75,Freitag,January
Friday,1,13,1318.75,Freitag,January
Friday,1,14,1313.0,Freitag,January
Friday,1,15,1340.75,Freitag,January
Friday,1,16,1428.5,Freitag,January
Friday,1,17,1512.0,Freitag,January
Friday,1,18,1401.5,Freitag,January
Friday,1,19,1010.0,Freitag,January
Friday,1,20,739.0,Freitag,January
Friday,1,21,716.25,Freitag,January
Friday,1,22,769.5,Freitag,January
Friday,1,23,663.25,Freitag,January
Friday,2,0,232.0,Freitag,February
Friday,2,1,157.5,Freitag,February
Friday,2,2,109.25,Freitag,February
Friday,2,3,82.0,Freitag,February
Friday,2,4,122.75,Freitag,February
Friday,2,5,304.75,Freitag,February
Friday,2,6,980.75,Freitag,February
Friday,2,7,1340.0,Freitag,February
Friday,2,8,1326.25,Freitag,February
Friday,2,9,1212.0,Freitag,February
Friday,2,10,1251.75,Freitag,February
Friday,2,11,1260.75,Freitag,February
Friday,2,12,1231.25,Freitag,February
Friday,2,13,1291.0,Freitag,February
Friday,2,14,1328.5,Freitag,February
Friday,2,15,1367.75,Freitag,February
Friday,2,16,1412.25,Freitag,February
Friday,2,17,1503.0,Freitag,February
Friday,2,18,1400.75,Freitag,February
Friday,2,19,1059.5,Freitag,February
Friday,2,20,752.0,Freitag,February
Friday,2,21,752.5,Freitag,February
Friday,2,22,791.0,Freitag,February
Friday,2,23,744.0,Freitag,February
Friday,3,0,242.25,Freitag,March
Friday,3,1,152.75,Freitag,March
Friday,3,2,110.75,Freitag,March
Friday,3,3,80.25,Freitag,March
Friday,3,4,119.75,Freitag,March
Friday,3,5,322.75,Freitag,March
Friday,3,6,1063.0,Freitag,March
Friday,3,7,1383.25,Freitag,March
Friday,3,8,1371.5,Freitag,March
Friday,3,9,1295.75,Freitag,March
Friday,3,10,1260.5,Freitag,March
Friday,3,11,1293.75,Freitag,March
Friday,3,12,1269.0,Freitag,March
Friday,3,13,1359.25,Freitag,March
Friday,3,14,1344.0,Freitag,March
Friday,3,15,1395.0,Freitag,March
Friday,3,16,1431.75,Freitag,March
Friday,3,17,1492.5,Freitag,March
Friday,3,18,1435.5,Freitag,March
Friday,3,19,1099.0,Freitag,March
Friday,3,20,811.0,Freitag,March
Friday,3,21,758.25,Freitag,March
Friday,3,22,790.25,Freitag,March
Friday,3,23,831.5,Freitag,March
Friday,4,0,239.25,Freitag,April
Friday,4,1,153.75,Freitag,April
Friday,4,2,109.75,Freitag,April
Friday,4,3,81.5,Freitag,April
Friday,4,4,107.0,Freitag,April
Friday,4,5,320.5,Freitag,April
