weekday,month,hour,vehicles,weekday_de,month_name
Friday,1,0,186.75,Freitag,January
Friday,1,1,124.25,Freitag,January
Friday,1,2,96.75,Freitag,January
Friday,1,3,88.5,Freitag,January
Friday,1,4,110.75,Freitag,January
Friday,1,5,265.25,Freitag,January
Friday,1,6,762.0,Freitag,January
Friday,1,7,1188.25,Freitag,January
Friday,1,8,1252.75,Freitag,January
Friday,1,9,1211.25,Freitag,January
Friday,1,10,1221.25,Freitag,January
Friday,1,11,1270.5,Freitag,January
Friday,1,12,1228.5,Freitag,January
Friday,1,13,1218.25,Freitag,January
Friday,1,14,1286.25,Freitag,January
Friday,1,15,1299.25,Freitag,January
Friday,1,16,1329.75,Freitag,January
Friday,1,17,1347.5,Freitag,January
Friday,1,18,1210.25,Freitag,January
Friday,1,19,894.5,Freitag,January
Friday,1,20,723.5,Freitag,January
Friday,1,21,666.75,Freitag,January
Friday,1,22,736.5,Freitag,January
Friday,1,23,612.25,Freitag,January
Friday,2,0,196.25,Freitag,February
Friday,2,1,131.5,Freitag,February
Friday,2,2,84.25,Freitag,February
Friday,2,3,88.25,Freitag,February
Friday,2,4,108.0,Freitag,February
Friday,2,5,302.5,Freitag,February
Friday,2,6,880.25,Freitag,February
Friday,2,7,1268.75,Freitag,February
Friday,2,8,1254.25,Freitag,February
Friday,2,9,1262.5,Freitag,February
Friday,2,10,1247.25,Freitag,February
Friday,2,11,1328.5,Freitag,February
Friday,2,12,1227.5,Freitag,February
Friday,2,13,1244.25,Freitag,February
Friday,2,14,1364.5,Freitag,February
Friday,2,15,1371.75,Freitag,February
Friday,2,16,1386.0,Freitag,February
Friday,2,17,1356.0,Freitag,February
Friday,2,18,1206.25,Freitag,February
Friday,2,19,987.25,Freitag,February
Friday,2,20,801.75,Freitag,February
Friday,2,21,735.5,Freitag,February
Friday,2,22,807.0,Freitag,February
Friday,2,23,668.0,Freitag,February
Friday,3,0,221.25,Freitag,March
Friday,3,1,146.0,Freitag,March
Friday,3,2,91.25,Freitag,March
Friday,3,3,83.75,Freitag,March
Friday,3,4,110.25,Freitag,March
Friday,3,5,322.0,Freitag,March
Friday,3,6,944.25,Freitag,March
Friday,3,7,1379.75,Freitag,March
Friday,3,8,1339.25,Freitag,March
Friday,3,9,1314.25,Freitag,March
Friday,3,10,1313.0,Freitag,March
Friday,3,11,1350.75,Freitag,March
Friday,3,12,1327.5,Freitag,March
Friday,3,13,1248.5,Freitag,March
Friday,3,14,1306.25,Freitag,March
Friday,3,15,1370.25,Freitag,March
Friday,3,16,1342.75,Freitag,March
Friday,3,17,1361.75,Freitag,March
Friday,3,18,1266.5,Freitag,March
Friday,3,19,980.5,Freitag,March
Friday,3,20,856.75,Freitag,March
Friday,3,21,747.5,Freitag,March
Friday,3,22,840.25,Freitag,March
Friday,3,23,769.25,Freitag,March
Friday,4,0,210.75,Freitag,April
Friday,4,1,140.25,Freitag,April
Friday,4,2,99.5,Freitag,April
Friday,4,3,87.75,Freitag,April
Friday,4,4,107.0,Freitag,April
Friday,4,5,316.5,Freitag,April
Friday,4,6,909.5,Freitag,April
Friday,4,7,1305.5,Freitag,April
Friday,4,8,1278.0,Freitag,April
Friday,4,9,1234.75,Freitag,April
Friday,4,10,1294.25,Freitag,April
Friday,4,11,1301.25,Freitag,April
Friday,4,12,1296.25,Freitag,April
Friday,4,13,1235.25,Freitag,April
