weekday,month,hour,vehicles,weekday_de,month_name
Friday,1,0,32.5,Freitag,January
Friday,1,1,15.25,Freitag,January
Friday,1,2,11.5,Freitag,January
Friday,1,3,8.25,Freitag,January
Friday,1,4,12.75,Freitag,January
Friday,1,5,43.25,Freitag,January
Friday,1,6,169.75,Freitag,January
Friday,1,7,274.75,Freitag,January
Friday,1,8,282.0,Freitag,January
Friday,1,9,235.5,Freitag,January
Friday,1,10,278.75,Freitag,January
Friday,1,11,270.0,Freitag,January
Friday,1,12,255.25,Freitag,January
Friday,1,13,283.5,Freitag,January
Friday,1,14,303.0,Freitag,January
Friday,1,15,299.75,Freitag,January
Friday,1,16,313.75,Freitag,January
Friday,1,17,332.25,Freitag,January
Friday,1,18,298.25,Freitag,January
Friday,1,19,190.0,Freitag,January
Friday,1,20,149.25,Freitag,January
Friday,1,21,114.75,Freitag,January
Friday,1,22,115.75,Freitag,January
Friday,1,23,93.75,Freitag,January
Friday,2,0,31.25,Freitag,February
Friday,2,1,17.25,Freitag,February
Friday,2,2,8.5,Freitag,February
Friday,2,3,8.5,Freitag,February
Friday,2,4,9.5,Freitag,February
Friday,2,5,48.5,Freitag,February
Friday,2,6,191.5,Freitag,February
Friday,2,7,298.25,Freitag,February
Friday,2,8,286.5,Freitag,February
Friday,2,9,261.25,Freitag,February
Friday,2,10,262.5,Freitag,February
Friday,2,11,275.0,Freitag,February
Friday,2,12,249.0,Freitag,February
Friday,2,13,291.25,Freitag,February
Friday,2,14,293.5,Freitag,February
Friday,2,15,310.25,Freitag,February
Friday,2,16,329.5,Freitag,February
Friday,2,17,345.75,Freitag,February
Friday,2,18,323.5,Freitag,February
Friday,2,19,204.0,Freitag,February
Friday,2,20,162.0,Freitag,February
Friday,2,21,123.25,Freitag,February
Friday,2,22,115.25,Freitag,February
Friday,2,23,89.25,Freitag,February
Friday,3,0,34.5,Freitag,March
Friday,3,1,19.5,Freitag,March
Friday,3,2,9.25,Freitag,March
Friday,3,3,9.0,Freitag,March
Friday,3,4,11.5,Freitag,March
Friday,3,5,48.25,Freitag,March
Friday,3,6,213.75,Freitag,March
Friday,3,7,329.0,Freitag,March
Friday,3,8,328.0,Freitag,March
Friday,3,9,269.75,Freitag,March
Friday,3,10,276.0,Freitag,March
Friday,3,11,303.25,Freitag,March
Friday,3,12,265.0,Freitag,March
Friday,3,13,292.0,Freitag,March
Friday,3,14,314.5,Freitag,March
Friday,3,15,326.25,Freitag,March
Friday,3,16,340.25,Freitag,March
