weekday,month,hour,vehicles,weekday_de,month_name
Friday,1,0,30.5,Freitag,January
Friday,1,1,12.5,Freitag,January
Friday,1,2,8.75,Freitag,January
Friday,1,3,11.25,Freitag,January
Friday,1,4,14.0,Freitag,January
Friday,1,5,53.25,Freitag,January
Friday,1,6,148.5,Freitag,January
Friday,1,7,182.75,Freitag,January
Friday,1,8,201.5,Freitag,January
Friday,1,9,215.75,Freitag,January
Friday,1,10,239.5,Freitag,January
Friday,1,11,278.0,Freitag,January
Friday,1,12,229.25,Freitag,January
Friday,1,13,261.5,Freitag,January
Friday,1,14,285.0,Freitag,January
Friday,1,15,296.0,Freitag,January
Friday,1,16,288.0,Freitag,January
Friday,1,17,296.5,Freitag,January
Friday,1,18,277.0,Freitag,January
Friday,1,19,200.25,Freitag,January
Friday,1,20,141.0,Freitag,January
Friday,1,21,118.25,Freitag,January
Friday,1,22,119.75,Freitag,January
Friday,1,23,120.0,Freitag,January
Friday,2,0,40.25,Freitag,February
Friday,2,1,16.5,Freitag,February
Friday,2,2,9.0,Freitag,February
Friday,2,3,7.0,Freitag,February
Friday,2,4,13.0,Freitag,February
Friday,2,5,50.5,Freitag,February
Friday,2,6,152.5,Freitag,February
Friday,2,7,208.25,Freitag,February
Friday,2,8,208.25,Freitag,February
Friday,2,9,237.25,Freitag,February
Friday,2,10,244.5,Freitag,February
Friday,2,11,278.75,Freitag,February
Friday,2,12,261.0,Freitag,February
Friday,2,13,270.0,Freitag,February
Friday,2,14,290.0,Freitag,February
Friday,2,15,302.5,Freitag,February
Friday,2,16,353.75,Freitag,February
Friday,2,17,298.0,Freitag,February
Friday,2,18,262.25,Freitag,February
Friday,2,19,209.25,Freitag,February
Friday,2,20,155.5,Freitag,February
Friday,2,21,124.75,Freitag,February
Friday,2,22,115.0,Freitag,February
Friday,2,23,128.75,Freitag,February
Friday,3,0,38.5,Freitag,March
Friday,3,1,17.0,Freitag,March
Friday,3,2,11.75,Freitag,March
Friday,3,3,10.5,Freitag,March
Friday,3,4,16.75,Freitag,March
Friday,3,5,51.25,Freitag,March
Friday,3,6,171.25,Freitag,March
Friday,3,7,219.25,Freitag,March
Friday,3,8,227.0,Freitag,March
Friday,3,9,249.0,Freitag,March
Friday,3,10,259.75,Freitag,March
Friday,3,11,297.0,Freitag,March
Friday,3,12,250.75,Freitag,March
Friday,3,13,307.5,Freitag,March
Friday,3,14,299.75,Freitag,March
Friday,3,15,345.5,Freitag,March
Friday,3,16,355.25,Freitag,March
Friday,3,17,329.5,Freitag,March
Friday,3,18,284.5,Freitag,March
Friday,3,19,229.0,Freitag,March
Friday,3,20,179.5,Freitag,March
Friday,3,21,136.0,Freitag,March
Friday,3,22,141.0,Freitag,March
Friday,3,23,116.75,Freitag,March
Friday,4,0,30.75,Freitag,April
Friday,4,1,16.75,Freitag,April
Friday,4,2,8.75,Freitag,April
Friday,4,3,13.75,Freitag,April
Friday,4,4,12.5,Freitag,April
Friday,4,5,53.75,Freitag,April
Friday,4,6,164.25,Freitag,April
Friday,4,7,217.25,Freitag,April
Friday,4,8,226.5,Freitag,April
Friday,4,9,236.0,Freitag,April
Friday,4,10,262.5,Freitag,April
Friday,4,11,263.25,Freitag,April
Friday,4,12,252.75,Freitag,April
Friday,4,13,284.5,Freitag,April
Friday,4,14,310.25,Freitag,April
Friday,4,15,320.0,Freitag,April
Friday,4,16,335.0,Freitag,April
Friday,4,17,298.0,Freitag,April
Friday,4,18,288.0,Freitag,April
Friday,4,19,235.0,Freitag,April
Friday,4,20,192.5,Freitag,April
Friday,4,21,145.25,Freitag,April
Friday,4,22,133.0,Freitag,April
Friday,4,23,108.25,Freitag,April
Friday,5,0,35.6,Freitag,May
Friday,5,1,17.8,Freitag,May
Friday,5,2,11.4,Freitag,May
Friday,5,3,7.0,Freitag,May
Friday,5,4,16.8,Freitag,May
Friday,5,5,55.8,Freitag,May
Friday,5,6,151.6,Freitag,May
Friday,5,7,189.8,Freitag,May
Friday,5,8,211.4,Freitag,May
Friday,5,9,249.6,Freitag,May
Friday,5,10,258.8,Freitag,May
Friday,5,11,302.4,Freitag,May
Friday,5,12,267.4,Freitag,May
Friday,5,13,300.8,Freitag,May
Friday,5,14,307.2,Freitag,May
Friday,5,15,340.8,Freitag,May
Friday,5,16,330.6,Freitag,May
Friday,5,17,319.6,Freitag,May
