weekday,month,hour,vehicles,weekday_de,month_name
Friday,1,0,24.75,Freitag,January
Friday,1,1,11.75,Freitag,January
Friday,1,2,5.75,Freitag,January
Friday,1,3,8.0,Freitag,January
Friday,1,4,11.25,Freitag,January
Friday,1,5,44.0,Freitag,January
Friday,1,6,135.75,Freitag,January
Friday,1,7,269.0,Freitag,January
Friday,1,8,297.75,Freitag,January
Friday,1,9,298.25,Freitag,January
Friday,1,10,329.0,Freitag,January
Friday,1,11,350.75,Freitag,January
Friday,1,12,307.25,Freitag,January
Friday,1,13,303.75,Freitag,January
Friday,1,14,348.5,Freitag,January
Friday,1,15,389.25,Freitag,January
Friday,1,16,453.0,Freitag,January
Friday,1,17,409.75,Freitag,January
Friday,1,18,313.25,Freitag,January
Friday,1,19,189.5,Freitag,January
Friday,1,20,134.0,Freitag,January
Friday,1,21,96.0,Freitag,January
Friday,1,22,93.0,Freitag,January
Friday,1,23,69.75,Freitag,January
Friday,2,0,24.75,Freitag,February
Friday,2,1,9.0,Freitag,February
Friday,2,2,5.75,Freitag,February
Friday,2,3,6.5,Freitag,February
Friday,2,4,10.25,Freitag,February
Friday,2,5,44.25,Freitag,February
Friday,2,6,143.0,Freitag,February
Friday,2,7,293.25,Freitag,February
Friday,2,8,317.75,Freitag,February
Friday,2,9,318.25,Freitag,February
Friday,2,10,346.25,Freitag,February
Friday,2,11,393.5,Freitag,February
Friday,2,12,347.25,Freitag,February
Friday,2,13,333.0,Freitag,February
Friday,2,14,376.25,Freitag,February
Friday,2,15,427.0,Freitag,February
Friday,2,16,503.75,Freitag,February
Friday,2,17,421.5,Freitag,February
Friday,2,18,311.25,Freitag,February
Friday,2,19,209.25,Freitag,February
Friday,2,20,130.25,Freitag,February
Friday,2,21,95.0,Freitag,February
Friday,2,22,87.25,Freitag,February
Friday,2,23,66.25,Freitag,February
Friday,3,0,24.75,Freitag,March
Friday,3,1,9.0,Freitag,March
Friday,3,2,5.0,Freitag,March
Friday,3,3,8.0,Freitag,March
Friday,3,4,11.25,Freitag,March
Friday,3,5,54.0,Freitag,March
Friday,3,6,159.5,Freitag,March
Friday,3,7,355.5,Freitag,March
Friday,3,8,399.25,Freitag,March
Friday,3,9,361.75,Freitag,March
Friday,3,10,396.75,Freitag,March
Friday,3,11,417.0,Freitag,March
Friday,3,12,388.25,Freitag,March
Friday,3,13,348.0,Freitag,March
Friday,3,14,413.75,Freitag,March
Friday,3,15,452.5,Freitag,March
Friday,3,16,547.5,Freitag,March
Friday,3,17,473.0,Freitag,March
Friday,3,18,382.5,Freitag,March
Friday,3,19,243.75,Freitag,March
Friday,3,20,167.5,Freitag,March
Friday,3,21,122.25,Freitag,March
Friday,3,22,113.75,Freitag,March
Friday,3,23,80.5,Freitag,March
Friday,4,0,25.75,Freitag,April
Friday,4,1,10.5,Freitag,April
Friday,4,2,6.25,Freitag,April
Friday,4,3,4.0,Freitag,April
Friday,4,4,16.75,Freitag,April
Friday,4,5,50.25,Freitag,April
Friday,4,6,155.75,Freitag,April
Friday,4,7,332.75,Freitag,April
Friday,4,8,381.5,Freitag,April
Friday,4,9,372.25,Freitag,April
Friday,4,10,392.25,Freitag,April
Friday,4,11,446.0,Freitag,April
Friday,4,12,391.0,Freitag,April
Friday,4,13,359.25,Freitag,April
Friday,4,14,415.25,Freitag,April
Friday,4,15,447.75,Freitag,April
Friday,4,16,553.25,Freitag,April
Friday,4,17,459.0,Freitag,April
Friday,4,18,349.25,Freitag,April
Friday,4,19,237.5,Freitag,April
Friday,4,20,154.5,Freitag,April
Friday,4,21,128.0,Freitag,April
Friday,4,22,105.25,Freitag,April
Friday,4,23,88.75,Freitag,April
Friday,5,0,24.0,Freitag,May
Friday,5,1,9.4,Freitag,May
Friday,5,2,7.4,Freitag,May
Friday,5,3,6.4,Freitag,May
Friday,5,4,11.2,Freitag,May
Friday,5,5,50.8,Freitag,May
Friday,5,6,152.4,Freitag,May
Friday,5,7,318.4,Freitag,May
Friday,5,8,353.2,Freitag,May
Friday,5,9,363.4,Freitag,May
Friday,5,10,388.8,Freitag,May
Friday,5,11,436.4,Freitag,May
Friday,5,12,382.4,Freitag,May
Friday,5,13,354.2,Freitag,May
Friday,5,14,400.4,Freitag,May
Friday,5,15,438.2,Freitag,May
Friday,5,16,532.8,Freitag,May
Friday,5,17,443.0,Freitag,May
Friday,5,18,345.4,Freitag,May
Friday,5,19,226.4,Freitag,May
Friday,5,20,157.8,Freitag,May
Friday,5,21,125.6,Freitag,May
Friday,5,22,114.0,Freitag,May
Friday,5,23,86.6,Freitag,May
