weekday,month,hour,vehicles,weekday_de,month_name
Friday,1,0,206.5,Freitag,January
Friday,1,1,156.0,Freitag,January
Friday,1,2,120.25,Freitag,January
Friday,1,3,157.5,Freitag,January
Friday,1,4,273.0,Freitag,January
Friday,1,5,682.25,Freitag,January
Friday,1,6,1329.0,Freitag,January
Friday,1,7,1411.75,Freitag,January
Friday,1,8,1341.25,Freitag,January
Friday,1,9,1132.25,Freitag,January
Friday,1,10,1103.75,Freitag,January
Friday,1,11,1156.75,Freitag,January
Friday,1,12,1109.25,Freitag,January
Friday,1,13,1214.0,Freitag,January
Friday,1,14,1222.25,Freitag,January
Friday,1,15,1283.0,Freitag,January
Friday,1,16,1340.5,Freitag,January
Friday,1,17,1389.75,Freitag,January
Friday,1,18,1306.25,Freitag,January
Friday,1,19,1051.75,Freitag,January
Friday,1,20,826.25,Freitag,January
Friday,1,21,663.5,Freitag,January
Friday,1,22,659.0,Freitag,January
Friday,1,23,533.75,Freitag,January
Friday,2,0,210.5,Freitag,February
Friday,2,1,159.0,Freitag,February
Friday,2,2,117.0,Freitag,February
Friday,2,3,140.5,Freitag,February
Friday,2,4,285.25,Freitag,February
Friday,2,5,692.5,Freitag,February
Friday,2,6,1468.5,Freitag,February
Friday,2,7,1528.75,Freitag,February
Friday,2,8,1432.0,Freitag,February
Friday,2,9,1228.25,Freitag,February
Friday,2,10,1184.25,Freitag,February
Friday,2,11,1190.75,Freitag,February
Friday,2,12,1171.75,Freitag,February
Friday,2,13,1275.75,Freitag,February
Friday,2,14,1259.75,Freitag,February
Friday,2,15,1253.25,Freitag,February
Friday,2,16,1268.0,Freitag,February
Friday,2,17,1386.0,Freitag,February
Friday,2,18,1384.5,Freitag,February
Friday,2,19,1133.5,Freitag,February
Friday,2,20,862.0,Freitag,February
Friday,2,21,651.75,Freitag,February
Friday,2,22,657.5,Freitag,February
Friday,2,23,579.25,Freitag,February
Friday,3,0,210.5,Freitag,March
Friday,3,1,156.75,Freitag,March
Friday,3,2,114.5,Freitag,March
Friday,3,3,152.5,Freitag,March
Friday,3,4,287.25,Freitag,March
Friday,3,5,785.0,Freitag,March
Friday,3,6,1546.0,Freitag,March
Friday,3,7,1543.5,Freitag,March
Friday,3,8,1485.25,Freitag,March
Friday,3,9,1269.5,Freitag,March
Friday,3,10,1248.0,Freitag,March
Friday,3,11,1274.25,Freitag,March
Friday,3,12,1210.75,Freitag,March
Friday,3,13,1331.5,Freitag,March
Friday,3,14,1337.5,Freitag,March
Friday,3,15,1317.25,Freitag,March
Friday,3,16,1429.75,Freitag,March
Friday,3,17,1434.5,Freitag,March
Friday,3,18,1390.0,Freitag,March
Friday,3,19,1176.75,Freitag,March
Friday,3,20,859.25,Freitag,March
Friday,3,21,754.5,Freitag,March
Friday,3,22,722.0,Freitag,March
Friday,3,23,651.25,Freitag,March
Friday,4,0,222.75,Freitag,April
Friday,4,1,170.75,Freitag,April
Friday,4,2,132.75,Freitag,April
Friday,4,3,160.0,Freitag,April
Friday,4,4,303.75,Freitag,April
Friday,4,5,776.0,Freitag,April
Friday,4,6,1541.75,Freitag,April
Friday,4,7,1561.75,Freitag,April
Friday,4,8,1470.5,Freitag,April
Friday,4,9,1308.25,Freitag,April
Friday,4,10,1266.25,Freitag,April
Friday,4,11,1236.75,Freitag,April
Friday,4,12,1214.0,Freitag,April
Friday,4,13,1288.25,Freitag,April
Friday,4,14,1320.75,Freitag,April
Friday,4,15,1352.25,Freitag,April
Friday,4,16,1416.5,Freitag,April
Friday,4,17,1426.5,Freitag,April
Friday,4,18,1334.25,Freitag,April
Friday,4,19,1100.0,Freitag,April
Friday,4,20,894.75,Freitag,April
Friday,4,21,741.75,Freitag,April
Friday,4,22,663.75,Freitag,April
Friday,4,23,548.25,Freitag,April
Friday,5,0,241.0,Freitag,May
Friday,5,1,153.4,Freitag,May
Friday,5,2,114.8,Freitag,May
Friday,5,3,156.2,Freitag,May
Friday,5,4,285.0,Freitag,May
Friday,5,5,748.0,Freitag,May
Friday,5,6,1447.8,Freitag,May
Friday,5,7,1436.6,Freitag,May
Friday,5,8,1369.6,Freitag,May
Friday,5,9,1268.2,Freitag,May
Friday,5,10,1282.2,Freitag,May
