weekday,month,hour,vehicles,weekday_de,month_name
Friday,1,0,176.5,Freitag,January
Friday,1,1,123.5,Freitag,January
Friday,1,2,92.0,Freitag,January
Friday,1,3,102.0,Freitag,January
Friday,1,4,180.0,Freitag,January
Friday,1,5,410.75,Freitag,January
Friday,1,6,879.0,Freitag,January
Friday,1,7,964.75,Freitag,January
Friday,1,8,938.75,Freitag,January
Friday,1,9,866.75,Freitag,January
Friday,1,10,870.25,Freitag,January
Friday,1,11,926.5,Freitag,January
Friday,1,12,881.75,Freitag,January
Friday,1,13,918.25,Freitag,January
Friday,1,14,936.25,Freitag,January
Friday,1,15,930.0,Freitag,January
Friday,1,16,1004.5,Freitag,January
Friday,1,17,998.0,Freitag,January
Friday,1,18,989.5,Freitag,January
Friday,1,19,817.5,Freitag,January
Friday,1,20,675.5,Freitag,January
Friday,1,21,542.0,Freitag,January
Friday,1,22,563.5,Freitag,January
Friday,1,23,465.25,Freitag,January
Friday,2,0,184.0,Freitag,February
Friday,2,1,127.75,Freitag,February
Friday,2,2,92.25,Freitag,February
Friday,2,3,101.25,Freitag,February
Friday,2,4,192.5,Freitag,February
Friday,2,5,430.75,Freitag,February
Friday,2,6,979.25,Freitag,February
Friday,2,7,1055.5,Freitag,February
Friday,2,8,1017.75,Freitag,February
Friday,2,9,922.75,Freitag,February
Friday,2,10,914.75,Freitag,February
Friday,2,11,953.25,Freitag,February
Friday,2,12,952.75,Freitag,February
Friday,2,13,954.25,Freitag,February
Friday,2,14,991.0,Freitag,February
Friday,2,15,993.5,Freitag,February
Friday,2,16,984.75,Freitag,February
Friday,2,17,1023.25,Freitag,February
Friday,2,18,1021.25,Freitag,February
Friday,2,19,878.75,Freitag,February
Friday,2,20,712.25,Freitag,February
Friday,2,21,561.25,Freitag,February
Friday,2,22,573.25,Freitag,February
Friday,2,23,538.75,Freitag,February
Friday,3,0,185.25,Freitag,March
Friday,3,1,124.5,Freitag,March
Friday,3,2,98.25,Freitag,March
Friday,3,3,101.0,Freitag,March
Friday,3,4,194.75,Freitag,March
Friday,3,5,481.5,Freitag,March
Friday,3,6,1045.75,Freitag,March
Friday,3,7,1090.75,Freitag,March
Friday,3,8,1023.5,Freitag,March
Friday,3,9,976.0,Freitag,March
Friday,3,10,1000.0,Freitag,March
Friday,3,11,1036.75,Freitag,March
Friday,3,12,989.5,Freitag,March
Friday,3,13,1008.5,Freitag,March
Friday,3,14,1042.75,Freitag,March
Friday,3,15,1021.25,Freitag,March
Friday,3,16,1047.75,Freitag,March
Friday,3,17,971.25,Freitag,March
Friday,3,18,1012.25,Freitag,March
Friday,3,19,893.75,Freitag,March
Friday,3,20,719.75,Freitag,March
Friday,3,21,651.25,Freitag,March
Friday,3,22,635.0,Freitag,March
Friday,3,23,614.5,Freitag,March
Friday,4,0,186.0,Freitag,April
Friday,4,1,127.25,Freitag,April
Friday,4,2,97.0,Freitag,April
Friday,4,3,106.25,Freitag,April
Friday,4,4,190.75,Freitag,April
Friday,4,5,495.0,Freitag,April
Friday,4,6,1042.25,Freitag,April
Friday,4,7,1114.75,Freitag,April
Friday,4,8,1036.0,Freitag,April
Friday,4,9,974.25,Freitag,April
Friday,4,10,979.0,Freitag,April
Friday,4,11,970.25,Freitag,April
Friday,4,12,971.0,Freitag,April
Friday,4,13,961.0,Freitag,April
Friday,4,14,996.0,Freitag,April
Friday,4,15,985.0,Freitag,April
Friday,4,16,1022.75,Freitag,April
Friday,4,17,1045.0,Freitag,April
Friday,4,18,1010.5,Freitag,April
Friday,4,19,845.75,Freitag,April
Friday,4,20,713.75,Freitag,April
Friday,4,21,640.0,Freitag,April
Friday,4,22,590.75,Freitag,April
Friday,4,23,495.75,Freitag,April
Friday,5,0,214.0,Freitag,May
Friday,5,1,129.0,Freitag,May
Friday,5,2,93.6,Freitag,May
Friday,5,3,104.2,Freitag,May
Friday,5,4,191.0,Freitag,May
Friday,5,5,451.0,Freitag,May
Friday,5,6,955.4,Freitag,May
Friday,5,7,1023.6,Freitag,May
Friday,5,8,969.6,Freitag,May
Friday,5,9,947.2,Freitag,May
Friday,5,10,946.2,Freitag,May
Friday,5,11,956.6,Freitag,May
Friday,5,12,959.8,Freitag,May
Friday,5,13,949.0,Freitag,May
Friday,5,14,951.2,Freitag,May
Friday,5,15,976.2,Freitag,May
Friday,5,16,1021.2,Freitag,May
Friday,5,17,998.8,Freitag,May
Friday,5,18,965.8,Freitag,May
Friday,5,19,843.2,Freitag,May
Friday,5,20,719.2,Freitag,May
Friday,5,21,613.0,Freitag,May
Friday,5,22,631.8,Freitag,May
Friday,5,23,556.4,Freitag,May
Friday,6,0,268.5,Freitag,June
Friday,6,1,142.25,Freitag,June
Friday,6,2,111.25,Freitag,June
Friday,6,3,108.0,Freitag,June
Friday,6,4,201.0,Freitag,June
Friday,6,5,513.25,Freitag,June
Friday,6,6,1062.25,Freitag,June
Friday,6,7,1068.5,Freitag,June
Friday,6,8,1019.5,Freitag,June
Friday,6,9,963.75,Freitag,June
Friday,6,10,962.0,Freitag,June
Friday,6,11,973.25,Freitag,June
Friday,6,12,999.5,Freitag,June
Friday,6,13,966.75,Freitag,June
Friday,6,14,956.75,Freitag,June
Friday,6,15,969.5,Freitag,June
Friday,6,16,952.0,Freitag,June
Friday,6,17,978.5,Freitag,June
Friday,6,18,1000.0,Freitag,June
Friday,6,19,864.0,Freitag,June
Friday,6,20,759.25,Freitag,June
Friday,6,21,577.0,Freitag,June
Friday,6,22,576.25,Freitag,June
Friday,6,23,587.75,Freitag,June
Friday,7,0,212.66666666666666,Freitag,July
Friday,7,1,148.0,Freitag,July
Friday,7,2,112.66666666666667,Freitag,July
