weekday,month,hour,vehicles,weekday_de,month_name
Friday,1,0,16.0,Freitag,January
Friday,1,1,17.75,Freitag,January
Friday,1,2,9.0,Freitag,January
Friday,1,3,6.25,Freitag,January
Friday,1,4,12.0,Freitag,January
Friday,1,5,10.75,Freitag,January
Friday,1,6,20.75,Freitag,January
Friday,1,7,27.75,Freitag,January
Friday,1,8,41.0,Freitag,January
Friday,1,9,45.0,Freitag,January
Friday,1,10,51.5,Freitag,January
Friday,1,11,49.0,Freitag,January
Friday,1,12,51.0,Freitag,January
Friday,1,13,61.25,Freitag,January
Friday,1,14,64.5,Freitag,January
Friday,1,15,54.75,Freitag,January
Friday,1,16,55.5,Freitag,January
Friday,1,17,53.75,Freitag,January
Friday,1,18,47.5,Freitag,January
Friday,1,19,49.25,Freitag,January
Friday,1,20,63.75,Freitag,January
Friday,1,21,58.25,Freitag,January
Friday,1,22,51.75,Freitag,January
Friday,1,23,48.0,Freitag,January
Friday,2,0,21.5,Freitag,February
Friday,2,1,17.0,Freitag,February
Friday,2,2,13.25,Freitag,February
Friday,2,3,8.75,Freitag,February
Friday,2,4,10.0,Freitag,February
Friday,2,5,9.25,Freitag,February
Friday,2,6,22.25,Freitag,February
Friday,2,7,39.75,Freitag,February
Friday,2,8,47.75,Freitag,February
Friday,2,9,49.75,Freitag,February
Friday,2,10,55.5,Freitag,February
Friday,2,11,62.75,Freitag,February
Friday,2,12,56.25,Freitag,February
Friday,2,13,62.25,Freitag,February
Friday,2,14,67.0,Freitag,February
Friday,2,15,55.25,Freitag,February
Friday,2,16,56.75,Freitag,February
Friday,2,17,62.75,Freitag,February
Friday,2,18,59.25,Freitag,February
Friday,2,19,53.25,Freitag,February
Friday,2,20,65.5,Freitag,February
Friday,2,21,68.5,Freitag,February
Friday,2,22,68.75,Freitag,February
Friday,2,23,65.75,Freitag,February
Friday,3,0,20.25,Freitag,March
Friday,3,1,20.0,Freitag,March
Friday,3,2,12.5,Freitag,March
Friday,3,3,7.5,Freitag,March
Friday,3,4,9.75,Freitag,March
Friday,3,5,13.75,Freitag,March
Friday,3,6,27.0,Freitag,March
Friday,3,7,36.0,Freitag,March
Friday,3,8,48.5,Freitag,March
Friday,3,9,57.5,Freitag,March
Friday,3,10,57.0,Freitag,March
Friday,3,11,62.0,Freitag,March
Friday,3,12,63.75,Freitag,March
Friday,3,13,71.0,Freitag,March
Friday,3,14,64.5,Freitag,March
Friday,3,15,60.75,Freitag,March
Friday,3,16,63.5,Freitag,March
Friday,3,17,71.25,Freitag,March
Friday,3,18,64.25,Freitag,March
Friday,3,19,54.0,Freitag,March
