weekday,month,hour,vehicles,weekday_de,month_name
Friday,1,0,111.0,Freitag,January
Friday,1,1,90.25,Freitag,January
Friday,1,2,65.0,Freitag,January
Friday,1,3,69.25,Freitag,January
Friday,1,4,89.25,Freitag,January
Friday,1,5,231.0,Freitag,January
Friday,1,6,484.5,Freitag,January
Friday,1,7,614.5,Freitag,January
Friday,1,8,680.0,Freitag,January
Friday,1,9,713.75,Freitag,January
Friday,1,10,735.75,Freitag,January
Friday,1,11,735.0,Freitag,January
Friday,1,12,673.5,Freitag,January
Friday,1,13,647.75,Freitag,January
Friday,1,14,749.25,Freitag,January
Friday,1,15,730.25,Freitag,January
Friday,1,16,696.25,Freitag,January
Friday,1,17,651.5,Freitag,January
Friday,1,18,683.25,Freitag,January
Friday,1,19,574.5,Freitag,January
Friday,1,20,458.25,Freitag,January
Friday,1,21,443.0,Freitag,January
Friday,1,22,438.75,Freitag,January
Friday,1,23,354.75,Freitag,January
Friday,2,0,102.5,Freitag,February
Friday,2,1,97.25,Freitag,February
Friday,2,2,65.0,Freitag,February
Friday,2,3,63.5,Freitag,February
Friday,2,4,100.75,Freitag,February
Friday,2,5,216.75,Freitag,February
Friday,2,6,519.0,Freitag,February
Friday,2,7,638.75,Freitag,February
Friday,2,8,688.25,Freitag,February
Friday,2,9,715.0,Freitag,February
Friday,2,10,712.5,Freitag,February
Friday,2,11,729.0,Freitag,February
Friday,2,12,684.0,Freitag,February
Friday,2,13,686.0,Freitag,February
Friday,2,14,733.25,Freitag,February
Friday,2,15,744.0,Freitag,February
Friday,2,16,653.25,Freitag,February
Friday,2,17,641.25,Freitag,February
Friday,2,18,683.0,Freitag,February
Friday,2,19,601.25,Freitag,February
Friday,2,20,474.25,Freitag,February
Friday,2,21,431.0,Freitag,February
Friday,2,22,462.0,Freitag,February
Friday,2,23,367.75,Freitag,February
Friday,3,0,115.0,Freitag,March
Friday,3,1,90.25,Freitag,March
Friday,3,2,68.0,Freitag,March
Friday,3,3,57.25,Freitag,March
Friday,3,4,87.25,Freitag,March
Friday,3,5,213.5,Freitag,March
Friday,3,6,516.75,Freitag,March
Friday,3,7,682.25,Freitag,March
Friday,3,8,698.0,Freitag,March
Friday,3,9,722.25,Freitag,March
Friday,3,10,668.75,Freitag,March
Friday,3,11,707.5,Freitag,March
Friday,3,12,680.25,Freitag,March
Friday,3,13,660.0,Freitag,March
Friday,3,14,747.5,Freitag,March
Friday,3,15,728.0,Freitag,March
Friday,3,16,658.25,Freitag,March
Friday,3,17,620.0,Freitag,March
Friday,3,18,632.0,Freitag,March
Friday,3,19,559.0,Freitag,March
Friday,3,20,478.75,Freitag,March
Friday,3,21,484.5,Freitag,March
Friday,3,22,492.5,Freitag,March
Friday,3,23,389.5,Freitag,March
Friday,4,0,129.5,Freitag,April
Friday,4,1,91.0,Freitag,April
