weekday,month,hour,vehicles,weekday_de,month_name
Friday,1,0,114.75,Freitag,January
Friday,1,1,72.5,Freitag,January
Friday,1,2,53.5,Freitag,January
Friday,1,3,44.25,Freitag,January
Friday,1,4,45.75,Freitag,January
Friday,1,5,97.0,Freitag,January
Friday,1,6,333.5,Freitag,January
Friday,1,7,491.25,Freitag,January
Friday,1,8,507.5,Freitag,January
Friday,1,9,508.75,Freitag,January
Friday,1,10,604.25,Freitag,January
Friday,1,11,634.75,Freitag,January
Friday,1,12,593.25,Freitag,January
Friday,1,13,616.25,Freitag,January
Friday,1,14,673.75,Freitag,January
Friday,1,15,699.25,Freitag,January
Friday,1,16,720.0,Freitag,January
Friday,1,17,689.5,Freitag,January
Friday,1,18,645.25,Freitag,January
Friday,1,19,528.5,Freitag,January
Friday,1,20,450.5,Freitag,January
Friday,1,21,416.5,Freitag,January
Friday,1,22,470.75,Freitag,January
Friday,1,23,466.0,Freitag,January
Friday,2,0,128.5,Freitag,February
Friday,2,1,85.5,Freitag,February
Friday,2,2,52.25,Freitag,February
Friday,2,3,44.5,Freitag,February
Friday,2,4,54.75,Freitag,February
Friday,2,5,95.75,Freitag,February
Friday,2,6,357.75,Freitag,February
Friday,2,7,573.5,Freitag,February
Friday,2,8,573.0,Freitag,February
Friday,2,9,558.5,Freitag,February
Friday,2,10,665.25,Freitag,February
Friday,2,11,686.0,Freitag,February
Friday,2,12,617.75,Freitag,February
Friday,2,13,676.0,Freitag,February
Friday,2,14,713.75,Freitag,February
Friday,2,15,714.75,Freitag,February
Friday,2,16,716.5,Freitag,February
Friday,2,17,744.75,Freitag,February
Friday,2,18,682.0,Freitag,February
Friday,2,19,554.25,Freitag,February
Friday,2,20,474.75,Freitag,February
Friday,2,21,451.25,Freitag,February
Friday,2,22,518.0,Freitag,February
Friday,2,23,533.25,Freitag,February
Friday,3,0,131.5,Freitag,March
Friday,3,1,92.5,Freitag,March
Friday,3,2,56.5,Freitag,March
Friday,3,3,46.25,Freitag,March
Friday,3,4,53.25,Freitag,March
Friday,3,5,100.75,Freitag,March
Friday,3,6,381.0,Freitag,March
Friday,3,7,606.75,Freitag,March
Friday,3,8,596.25,Freitag,March
Friday,3,9,622.25,Freitag,March
Friday,3,10,685.75,Freitag,March
Friday,3,11,735.25,Freitag,March
Friday,3,12,683.5,Freitag,March
Friday,3,13,697.75,Freitag,March
Friday,3,14,736.5,Freitag,March
Friday,3,15,769.5,Freitag,March
Friday,3,16,775.75,Freitag,March
Friday,3,17,767.25,Freitag,March
Friday,3,18,727.0,Freitag,March
Friday,3,19,555.75,Freitag,March
Friday,3,20,526.75,Freitag,March
Friday,3,21,520.0,Freitag,March
Friday,3,22,575.5,Freitag,March
Friday,3,23,525.75,Freitag,March
Friday,4,0,142.0,Freitag,April
Friday,4,1,88.5,Freitag,April
Friday,4,2,64.75,Freitag,April
Friday,4,3,46.5,Freitag,April
Friday,4,4,55.25,Freitag,April
Friday,4,5,97.0,Freitag,April
Friday,4,6,366.75,Freitag,April
Friday,4,7,601.0,Freitag,April
Friday,4,8,592.25,Freitag,April
Friday,4,9,573.25,Freitag,April
Friday,4,10,672.5,Freitag,April
Friday,4,11,724.75,Freitag,April
Friday,4,12,690.0,Freitag,April
Friday,4,13,654.75,Freitag,April
Friday,4,14,738.5,Freitag,April
Friday,4,15,741.0,Freitag,April
Friday,4,16,738.0,Freitag,April
Friday,4,17,761.75,Freitag,April
Friday,4,18,712.25,Freitag,April
Friday,4,19,581.5,Freitag,April
Friday,4,20,496.75,Freitag,April
