weekday,month,hour,vehicles,weekday_de,month_name
Friday,1,0,60.0,Freitag,January
Friday,1,1,38.75,Freitag,January
Friday,1,2,29.75,Freitag,January
Friday,1,3,18.75,Freitag,January
Friday,1,4,16.5,Freitag,January
Friday,1,5,26.75,Freitag,January
Friday,1,6,84.0,Freitag,January
Friday,1,7,179.75,Freitag,January
Friday,1,8,217.5,Freitag,January
Friday,1,9,249.5,Freitag,January
Friday,1,10,272.5,Freitag,January
Friday,1,11,293.0,Freitag,January
Friday,1,12,275.25,Freitag,January
Friday,1,13,247.75,Freitag,January
Friday,1,14,278.75,Freitag,January
Friday,1,15,302.75,Freitag,January
Friday,1,16,296.75,Freitag,January
Friday,1,17,293.0,Freitag,January
Friday,1,18,253.75,Freitag,January
Friday,1,19,198.75,Freitag,January
Friday,1,20,176.25,Freitag,January
Friday,1,21,227.0,Freitag,January
Friday,1,22,253.25,Freitag,January
Friday,1,23,295.25,Freitag,January
Friday,2,0,71.25,Freitag,February
Friday,2,1,55.75,Freitag,February
Friday,2,2,32.25,Freitag,February
Friday,2,3,16.75,Freitag,February
Friday,2,4,14.5,Freitag,February
Friday,2,5,26.75,Freitag,February
Friday,2,6,94.5,Freitag,February
Friday,2,7,204.5,Freitag,February
Friday,2,8,237.75,Freitag,February
Friday,2,9,251.75,Freitag,February
Friday,2,10,306.5,Freitag,February
Friday,2,11,324.25,Freitag,February
Friday,2,12,289.0,Freitag,February
Friday,2,13,272.75,Freitag,February
Friday,2,14,307.25,Freitag,February
Friday,2,15,310.5,Freitag,February
Friday,2,16,301.25,Freitag,February
Friday,2,17,318.75,Freitag,February
Friday,2,18,273.0,Freitag,February
Friday,2,19,226.0,Freitag,February
Friday,2,20,230.75,Freitag,February
Friday,2,21,276.25,Freitag,February
Friday,2,22,314.5,Freitag,February
Friday,2,23,362.5,Freitag,February
Friday,3,0,74.25,Freitag,March
Friday,3,1,53.75,Freitag,March
Friday,3,2,34.75,Freitag,March
Friday,3,3,16.5,Freitag,March
Friday,3,4,15.5,Freitag,March
Friday,3,5,30.5,Freitag,March
Friday,3,6,113.25,Freitag,March
Friday,3,7,233.75,Freitag,March
Friday,3,8,270.5,Freitag,March
Friday,3,9,283.0,Freitag,March
Friday,3,10,319.25,Freitag,March
Friday,3,11,339.0,Freitag,March
Friday,3,12,290.0,Freitag,March
Friday,3,13,287.25,Freitag,March
Friday,3,14,343.0,Freitag,March
Friday,3,15,355.25,Freitag,March
Friday,3,16,346.25,Freitag,March
Friday,3,17,364.75,Freitag,March
Friday,3,18,302.0,Freitag,March
Friday,3,19,243.5,Freitag,March
Friday,3,20,228.75,Freitag,March
Friday,3,21,244.25,Freitag,March
Friday,3,22,317.5,Freitag,March
Friday,3,23,312.0,Freitag,March
Friday,4,0,56.5,Freitag,April
Friday,4,1,43.0,Freitag,April
Friday,4,2,30.5,Freitag,April
Friday,4,3,14.5,Freitag,April
Friday,4,4,11.0,Freitag,April
Friday,4,5,28.75,Freitag,April
Friday,4,6,81.75,Freitag,April
Friday,4,7,200.5,Freitag,April
Friday,4,8,235.0,Freitag,April
Friday,4,9,245.75,Freitag,April
Friday,4,10,269.5,Freitag,April
Friday,4,11,283.75,Freitag,April
Friday,4,12,256.0,Freitag,April
Friday,4,13,249.25,Freitag,April
Friday,4,14,284.25,Freitag,April
Friday,4,15,290.75,Freitag,April
Friday,4,16,287.25,Freitag,April
Friday,4,17,288.0,Freitag,April
Friday,4,18,268.5,Freitag,April
Friday,4,19,237.0,Freitag,April
Friday,4,20,203.25,Freitag,April
Friday,4,21,233.5,Freitag,April
Friday,4,22,240.25,Freitag,April
Friday,4,23,291.5,Freitag,April
Friday,5,0,100.4,Freitag,May
Friday,5,1,63.6,Freitag,May
Friday,5,2,44.2,Freitag,May
Friday,5,3,20.6,Freitag,May
Friday,5,4,15.8,Freitag,May
Friday,5,5,33.6,Freitag,May
Friday,5,6,131.0,Freitag,May
Friday,5,7,232.4,Freitag,May
Friday,5,8,290.8,Freitag,May
Friday,5,9,321.6,Freitag,May
Friday,5,10,374.8,Freitag,May
Friday,5,11,384.8,Freitag,May
