weekday,month,hour,vehicles,weekday_de,month_name
Friday,1,0,30.25,Freitag,January
Friday,1,1,25.5,Freitag,January
Friday,1,2,18.75,Freitag,January
Friday,1,3,15.0,Freitag,January
Friday,1,4,16.25,Freitag,January
Friday,1,5,20.25,Freitag,January
Friday,1,6,54.5,Freitag,January
Friday,1,7,88.25,Freitag,January
Friday,1,8,101.25,Freitag,January
Friday,1,9,106.25,Freitag,January
Friday,1,10,114.5,Freitag,January
Friday,1,11,129.5,Freitag,January
Friday,1,12,126.0,Freitag,January
Friday,1,13,132.5,Freitag,January
Friday,1,14,144.25,Freitag,January
Friday,1,15,154.5,Freitag,January
Friday,1,16,162.75,Freitag,January
Friday,1,17,169.5,Freitag,January
Friday,1,18,163.0,Freitag,January
Friday,1,19,126.75,Freitag,January
Friday,1,20,100.75,Freitag,January
Friday,1,21,93.25,Freitag,January
Friday,1,22,88.0,Freitag,January
Friday,1,23,74.5,Freitag,January
Friday,2,0,41.75,Freitag,February
Friday,2,1,29.5,Freitag,February
Friday,2,2,14.5,Freitag,February
Friday,2,3,19.25,Freitag,February
Friday,2,4,19.0,Freitag,February
Friday,2,5,23.5,Freitag,February
Friday,2,6,62.0,Freitag,February
Friday,2,7,97.25,Freitag,February
Friday,2,8,110.75,Freitag,February
Friday,2,9,113.0,Freitag,February
Friday,2,10,120.75,Freitag,February
Friday,2,11,137.0,Freitag,February
Friday,2,12,137.25,Freitag,February
Friday,2,13,135.75,Freitag,February
Friday,2,14,157.5,Freitag,February
Friday,2,15,154.0,Freitag,February
Friday,2,16,162.0,Freitag,February
Friday,2,17,172.5,Freitag,February
Friday,2,18,153.75,Freitag,February
Friday,2,19,119.75,Freitag,February
Friday,2,20,91.5,Freitag,February
Friday,2,21,84.75,Freitag,February
Friday,2,22,95.0,Freitag,February
Friday,2,23,81.5,Freitag,February
Friday,3,0,49.5,Freitag,March
Friday,3,1,31.25,Freitag,March
Friday,3,2,15.5,Freitag,March
Friday,3,3,14.25,Freitag,March
Friday,3,4,19.0,Freitag,March
Friday,3,5,23.0,Freitag,March
Friday,3,6,71.25,Freitag,March
Friday,3,7,104.5,Freitag,March
Friday,3,8,119.75,Freitag,March
Friday,3,9,127.5,Freitag,March
Friday,3,10,131.25,Freitag,March
Friday,3,11,153.75,Freitag,March
Friday,3,12,140.5,Freitag,March
Friday,3,13,144.0,Freitag,March
Friday,3,14,165.25,Freitag,March
Friday,3,15,165.0,Freitag,March
Friday,3,16,174.75,Freitag,March
Friday,3,17,179.5,Freitag,March
Friday,3,18,172.75,Freitag,March
Friday,3,19,134.0,Freitag,March
Friday,3,20,96.0,Freitag,March
Friday,3,21,110.25,Freitag,March
Friday,3,22,103.25,Freitag,March
Friday,3,23,97.5,Freitag,March
Friday,4,0,40.0,Freitag,April
Friday,4,1,31.0,Freitag,April
Friday,4,2,19.0,Freitag,April
Friday,4,3,13.75,Freitag,April
Friday,4,4,16.5,Freitag,April
Friday,4,5,24.5,Freitag,April
Friday,4,6,69.0,Freitag,April
Friday,4,7,108.75,Freitag,April
Friday,4,8,124.25,Freitag,April
Friday,4,9,125.75,Freitag,April
Friday,4,10,134.5,Freitag,April
Friday,4,11,158.75,Freitag,April
Friday,4,12,154.5,Freitag,April
Friday,4,13,157.5,Freitag,April
Friday,4,14,168.25,Freitag,April
Friday,4,15,168.0,Freitag,April
Friday,4,16,177.25,Freitag,April
Friday,4,17,183.75,Freitag,April
Friday,4,18,178.0,Freitag,April
Friday,4,19,127.5,Freitag,April
Friday,4,20,112.5,Freitag,April
Friday,4,21,103.0,Freitag,April
Friday,4,22,113.25,Freitag,April
