weekday,month,hour,vehicles,weekday_de,month_name
Friday,4,0,107.0,Freitag,April
Friday,4,1,78.0,Freitag,April
Friday,4,2,40.0,Freitag,April
Friday,4,3,42.0,Freitag,April
Friday,4,4,73.0,Freitag,April
Friday,4,5,176.0,Freitag,April
Friday,4,6,524.0,Freitag,April
Friday,4,7,582.0,Freitag,April
Friday,4,8,580.0,Freitag,April
Friday,4,9,598.0,Freitag,April
Friday,4,10,620.0,Freitag,April
Friday,4,11,717.0,Freitag,April
Friday,4,12,685.0,Freitag,April
Friday,4,13,702.0,Freitag,April
Friday,4,14,850.0,Freitag,April
Friday,4,15,961.0,Freitag,April
Friday,4,16,1155.0,Freitag,April
Friday,4,17,1066.0,Freitag,April
Friday,4,18,784.0,Freitag,April
Friday,4,19,609.0,Freitag,April
Friday,4,20,474.0,Freitag,April
Friday,4,21,355.0,Freitag,April
Friday,4,22,335.0,Freitag,April
Friday,4,23,280.0,Freitag,April
Friday,5,0,91.0,Freitag,May
Friday,5,1,70.0,Freitag,May
Friday,5,2,34.2,Freitag,May
Friday,5,3,37.2,Freitag,May
Friday,5,4,67.6,Freitag,May
Friday,5,5,167.2,Freitag,May
Friday,5,6,446.0,Freitag,May
Friday,5,7,620.0,Freitag,May
Friday,5,8,580.8,Freitag,May
Friday,5,9,563.6,Freitag,May
Friday,5,10,656.6,Freitag,May
Friday,5,11,741.8,Freitag,May
Friday,5,12,747.6,Freitag,May
Friday,5,13,775.2,Freitag,May
Friday,5,14,843.2,Freitag,May
Friday,5,15,954.4,Freitag,May
Friday,5,16,1188.2,Freitag,May
Friday,5,17,1053.4,Freitag,May
Friday,5,18,844.6,Freitag,May
Friday,5,19,603.6,Freitag,May
Friday,5,20,452.0,Freitag,May
Friday,5,21,366.6,Freitag,May
Friday,5,22,341.0,Freitag,May
Friday,5,23,266.0,Freitag,May
Friday,6,0,86.5,Freitag,June
Friday,6,1,63.5,Freitag,June
Friday,6,2,35.0,Freitag,June
Friday,6,3,39.0,Freitag,June
Friday,6,4,70.0,Freitag,June
Friday,6,5,184.75,Freitag,June
Friday,6,6,504.5,Freitag,June
Friday,6,7,666.25,Freitag,June
Friday,6,8,616.0,Freitag,June
Friday,6,9,593.75,Freitag,June
Friday,6,10,632.0,Freitag,June
Friday,6,11,744.25,Freitag,June
Friday,6,12,738.5,Freitag,June
Friday,6,13,771.75,Freitag,June
Friday,6,14,894.5,Freitag,June
Friday,6,15,986.5,Freitag,June
Friday,6,16,1267.5,Freitag,June
Friday,6,17,1095.25,Freitag,June
Friday,6,18,815.75,Freitag,June
Friday,6,19,621.25,Freitag,June
Friday,6,20,476.5,Freitag,June
Friday,6,21,360.75,Freitag,June
Friday,6,22,327.25,Freitag,June
Friday,6,23,294.25,Freitag,June
Friday,7,0,82.66666666666667,Freitag,July
Friday,7,1,63.333333333333336,Freitag,July
Friday,7,2,37.666666666666664,Freitag,July
Friday,7,3,36.333333333333336,Freitag,July
Friday,7,4,60.666666666666664,Freitag,July
Friday,7,5,165.0,Freitag,July
Friday,7,6,462.3333333333333,Freitag,July
Friday,7,7,587.3333333333334,Freitag,July
Friday,7,8,546.3333333333334,Freitag,July
Friday,7,9,565.6666666666666,Freitag,July
Friday,7,10,615.0,Freitag,July
Friday,7,11,742.0,Freitag,July
Friday,7,12,735.0,Freitag,July
Friday,7,13,716.6666666666666,Freitag,July
Friday,7,14,823.3333333333334,Freitag,July
Friday,7,15,930.3333333333334,Freitag,July
Friday,7,16,1153.0,Freitag,July
Friday,7,17,1013.3333333333334,Freitag,July
Friday,7,18,782.0,Freitag,July
Friday,7,19,531.3333333333334,Freitag,July
Friday,7,20,412.6666666666667,Freitag,July
Friday,7,21,333.0,Freitag,July
Friday,7,22,299.0,Freitag,July
Friday,7,23,212.0,Freitag,July
Friday,8,0,90.8,Freitag,August
Friday,8,1,68.4,Freitag,August
Friday,8,2,40.0,Freitag,August
