weekday,month,hour,vehicles,weekday_de,month_name
Friday,1,0,12.5,Freitag,January
Friday,1,1,5.0,Freitag,January
Friday,1,2,4.5,Freitag,January
Friday,1,3,2.75,Freitag,January
Friday,1,4,5.25,Freitag,January
Friday,1,5,11.5,Freitag,January
Friday,1,6,30.0,Freitag,January
Friday,1,7,71.0,Freitag,January
Friday,1,8,80.25,Freitag,January
Friday,1,9,57.0,Freitag,January
Friday,1,10,66.5,Freitag,January
Friday,1,11,68.75,Freitag,January
Friday,1,12,80.5,Freitag,January
Friday,1,13,75.75,Freitag,January
Friday,1,14,77.75,Freitag,January
Friday,1,15,89.25,Freitag,January
Friday,1,16,121.75,Freitag,January
Friday,1,17,112.75,Freitag,January
Friday,1,18,88.25,Freitag,January
Friday,1,19,70.5,Freitag,January
Friday,1,20,48.25,Freitag,January
Friday,1,21,36.25,Freitag,January
Friday,1,22,36.5,Freitag,January
Friday,1,23,24.5,Freitag,January
Friday,2,0,7.25,Freitag,February
Friday,2,1,6.0,Freitag,February
Friday,2,2,4.75,Freitag,February
Friday,2,3,3.25,Freitag,February
Friday,2,4,6.0,Freitag,February
Friday,2,5,11.0,Freitag,February
Friday,2,6,34.25,Freitag,February
Friday,2,7,68.75,Freitag,February
Friday,2,8,74.5,Freitag,February
Friday,2,9,59.0,Freitag,February
Friday,2,10,63.5,Freitag,February
Friday,2,11,72.75,Freitag,February
Friday,2,12,82.75,Freitag,February
Friday,2,13,72.75,Freitag,February
Friday,2,14,89.5,Freitag,February
Friday,2,15,106.0,Freitag,February
Friday,2,16,125.0,Freitag,February
Friday,2,17,127.25,Freitag,February
Friday,2,18,96.75,Freitag,February
Friday,2,19,65.5,Freitag,February
Friday,2,20,51.75,Freitag,February
Friday,2,21,37.75,Freitag,February
Friday,2,22,37.0,Freitag,February
Friday,2,23,26.25,Freitag,February
Friday,3,0,7.5,Freitag,March
Friday,3,1,9.5,Freitag,March
Friday,3,2,4.75,Freitag,March
Friday,3,3,2.0,Freitag,March
Friday,3,4,5.75,Freitag,March
