weekday,month,hour,vehicles,weekday_de,month_name
Friday,11,0,30.25,Freitag,November
Friday,11,1,31.0,Freitag,November
Friday,11,2,30.75,Freitag,November
Friday,11,3,30.5,Freitag,November
Friday,11,4,101.5,Freitag,November
Friday,11,5,444.0,Freitag,November
Friday,11,6,950.75,Freitag,November
Friday,11,7,1123.0,Freitag,November
Friday,11,8,1009.75,Freitag,November
Friday,11,9,986.5,Freitag,November
Friday,11,10,1086.0,Freitag,November
Friday,11,11,1245.0,Freitag,November
Friday,11,12,1240.5,Freitag,November
Friday,11,13,1250.5,Freitag,November
Friday,11,14,1386.75,Freitag,November
Friday,11,15,1446.0,Freitag,November
Friday,11,16,1402.75,Freitag,November
Friday,11,17,1355.25,Freitag,November
Friday,11,18,1203.0,Freitag,November
Friday,11,19,925.5,Freitag,November
Friday,11,20,659.75,Freitag,November
Friday,11,21,9.75,Freitag,November
Friday,11,22,1.25,Freitag,November
Friday,11,23,1.5,Freitag,November
Friday,12,0,107.75,Freitag,December
Friday,12,1,87.5,Freitag,December
Friday,12,2,61.75,Freitag,December
Friday,12,3,73.25,Freitag,December
Friday,12,4,217.75,Freitag,December
Friday,12,5,403.5,Freitag,December
Friday,12,6,834.0,Freitag,December
Friday,12,7,1027.0,Freitag,December
Friday,12,8,933.75,Freitag,December
Friday,12,9,984.25,Freitag,December
Friday,12,10,1091.5,Freitag,December
Friday,12,11,1225.5,Freitag,December
Friday,12,12,1245.75,Freitag,December
Friday,12,13,1261.5,Freitag,December
Friday,12,14,1348.25,Freitag,December
Friday,12,15,1397.5,Freitag,December
Friday,12,16,1397.5,Freitag,December
Friday,12,17,1308.75,Freitag,December
Friday,12,18,1148.25,Freitag,December
Friday,12,19,932.0,Freitag,December
Friday,12,20,738.5,Freitag,December
Friday,12,21,294.75,Freitag,December
Friday,12,22,321.75,Freitag,December
Friday,12,23,267.75,Freitag,December
Monday,11,0,124.33333333333333,Montag,November
Monday,11,1,81.33333333333333,Montag,November
Monday,11,2,61.333333333333336,Montag,November
Monday,11,3,80.66666666666667,Montag,November
Monday,11,4,179.0,Montag,November
Monday,11,5,458.6666666666667,Montag,November
Monday,11,6,1102.0,Montag,November
Monday,11,7,1282.0,Montag,November
Monday,11,8,1159.6666666666667,Montag,November
Monday,11,9,1051.6666666666667,Montag,November
Monday,11,10,1035.6666666666667,Montag,November
Monday,11,11,1081.6666666666667,Montag,November
Monday,11,12,1042.0,Montag,November
Monday,11,13,1160.0,Montag,November
Monday,11,14,1272.6666666666667,Montag,November
Monday,11,15,1469.0,Montag,November
Monday,11,16,1451.6666666666667,Montag,November
Monday,11,17,1420.6666666666667,Montag,November
Monday,11,18,1208.3333333333333,Montag,November
Monday,11,19,855.0,Montag,November
Monday,11,20,532.6666666666666,Montag,November
Monday,11,21,2.0,Montag,November
Monday,11,22,0.6666666666666666,Montag,November
Monday,11,23,0.3333333333333333,Montag,November
Monday,12,0,148.6,Montag,December
Monday,12,1,99.6,Montag,December
Monday,12,2,68.0,Montag,December
Monday,12,3,91.0,Montag,December
Monday,12,4,180.4,Montag,December
Monday,12,5,393.0,Montag,December
Monday,12,6,860.8,Montag,December
Monday,12,7,1015.2,Montag,December
Monday,12,8,970.6,Montag,December
Monday,12,9,958.4,Montag,December
Monday,12,10,1000.4,Montag,December
Monday,12,11,1052.8,Montag,December
Monday,12,12,1091.4,Montag,December
Monday,12,13,1081.4,Montag,December
Monday,12,14,1195.8,Montag,December
Monday,12,15,1324.0,Montag,December
Monday,12,16,1353.0,Montag,December
Monday,12,17,1303.2,Montag,December
Monday,12,18,1087.8,Montag,December
Monday,12,19,845.8,Montag,December
Monday,12,20,613.2,Montag,December
Monday,12,21,206.0,Montag,December
Monday,12,22,231.0,Montag,December
Monday,12,23,156.0,Montag,December
Thursday,11,0,1.5,Donnerstag,November
Thursday,11,1,2.0,Donnerstag,November
Thursday,11,2,0.5,Donnerstag,November
Thursday,11,3,2.5,Donnerstag,November
Thursday,11,4,63.0,Donnerstag,November
Thursday,11,5,450.5,Donnerstag,November
Thursday,11,6,1081.0,Donnerstag,November
Thursday,11,7,1304.75,Donnerstag,November
Thursday,11,8,1208.25,Donnerstag,November
Thursday,11,9,1107.5,Donnerstag,November
Thursday,11,10,1111.5,Donnerstag,November
Thursday,11,11,1128.25,Donnerstag,November
Thursday,11,12,1102.75,Donnerstag,November
Thursday,11,13,1146.75,Donnerstag,November
Thursday,11,14,1324.25,Donnerstag,November
Thursday,11,15,1449.5,Donnerstag,November
Thursday,11,16,1400.25,Donnerstag,November
Thursday,11,17,1293.5,Donnerstag,November
Thursday,11,18,1174.0,Donnerstag,November
Thursday,11,19,1002.0,Donnerstag,November
Thursday,11,20,695.5,Donnerstag,November
Thursday,11,21,6.0,Donnerstag,November
Thursday,11,22,55.5,Donnerstag,November
Thursday,11,23,90.5,Donnerstag,November
Thursday,12,0,0.6666666666666666,Donnerstag,December
Thursday,12,1,32.333333333333336,Donnerstag,December
Thursday,12,2,27.666666666666668,Donnerstag,December
Thursday,12,3,42.333333333333336,Donnerstag,December
Thursday,12,4,208.33333333333334,Donnerstag,December
Thursday,12,5,434.0,Donnerstag,December
Thursday,12,6,1052.6666666666667,Donnerstag,December
Thursday,12,7,1259.3333333333333,Donnerstag,December
Thursday,12,8,1134.0,Donnerstag,December
Thursday,12,9,1057.6666666666667,Donnerstag,December
Thursday,12,10,1134.0,Donnerstag,December
Thursday,12,11,1204.0,Donnerstag,December
Thursday,12,12,1174.3333333333333,Donnerstag,December
Thursday,12,13,1198.0,Donnerstag,December
Thursday,12,14,1377.0,Donnerstag,December
Thursday,12,15,1444.3333333333333,Donnerstag,December
Thursday,12,16,1424.6666666666667,Donnerstag,December
Thursday,12,17,1417.0,Donnerstag,December
Thursday,12,18,1403.0,Donnerstag,December
Thursday,12,19,1055.6666666666667,Donnerstag,December
Thursday,12,20,719.3333333333334,Donnerstag,December
Thursday,12,21,221.66666666666666,Donnerstag,December
Thursday,12,22,226.33333333333334,Donnerstag,December
Thursday,12,23,142.66666666666666,Donnerstag,December
Tuesday,11,0,1.0,Dienstag,November
Tuesday,11,1,1.0,Dienstag,November
Tuesday,11,2,1.6666666666666667,Dienstag,November
Tuesday,11,3,3.6666666666666665,Dienstag,November
Tuesday,11,4,55.0,Dienstag,November
Tuesday,11,5,435.3333333333333,Dienstag,November
Tuesday,11,6,1061.6666666666667,Dienstag,November
Tuesday,11,7,1295.3333333333333,Dienstag,November
Tuesday,11,8,1218.0,Dienstag,November
Tuesday,11,9,1055.0,Dienstag,November
Tuesday,11,10,1046.0,Dienstag,November
Tuesday,11,11,1070.6666666666667,Dienstag,November
Tuesday,11,12,1040.0,Dienstag,November
Tuesday,11,13,1085.6666666666667,Dienstag,November
Tuesday,11,14,1256.3333333333333,Dienstag,November
Tuesday,11,15,1458.0,Dienstag,November
Tuesday,11,16,1428.0,Dienstag,November
Tuesday,11,17,1314.3333333333333,Dienstag,November
Tuesday,11,18,1330.0,Dienstag,November
Tuesday,11,19,914.3333333333334,Dienstag,November
Tuesday,11,20,619.3333333333334,Dienstag,November
Tuesday,11,21,7.0,Dienstag,November
Tuesday,11,22,2.6666666666666665,Dienstag,November
Tuesday,11,23,2.3333333333333335,Dienstag,November
Tuesday,12,0,83.2,Dienstag,December
Tuesday,12,1,63.2,Dienstag,December
Tuesday,12,2,41.8,Dienstag,December
Tuesday,12,3,47.0,Dienstag,December
Tuesday,12,4,166.6,Dienstag,December
Tuesday,12,5,372.8,Dienstag,December
Tuesday,12,6,822.0,Dienstag,December
Tuesday,12,7,970.4,Dienstag,December
Tuesday,12,8,929.0,Dienstag,December
Tuesday,12,9,994.0,Dienstag,December
Tuesday,12,10,994.4,Dienstag,December
Tuesday,12,11,1063.4,Dienstag,December
Tuesday,12,12,1056.8,Dienstag,December
Tuesday,12,13,1098.2,Dienstag,December
Tuesday,12,14,1209.4,Dienstag,December
Tuesday,12,15,1349.6,Dienstag,December
Tuesday,12,16,1374.6,Dienstag,December
Tuesday,12,17,1292.0,Dienstag,December
Tuesday,12,18,1082.4,Dienstag,December
