weekday,month,hour,vehicles,weekday_de,month_name
Friday,1,0,66.75,Freitag,January
Friday,1,1,41.0,Freitag,January
Friday,1,2,27.75,Freitag,January
Friday,1,3,34.75,Freitag,January
Friday,1,4,91.0,Freitag,January
Friday,1,5,251.0,Freitag,January
Friday,1,6,592.0,Freitag,January
Friday,1,7,654.5,Freitag,January
Friday,1,8,551.5,Freitag,January
Friday,1,9,491.0,Freitag,January
Friday,1,10,499.25,Freitag,January
Friday,1,11,528.25,Freitag,January
Friday,1,12,539.0,Freitag,January
Friday,1,13,620.5,Freitag,January
Friday,1,14,576.75,Freitag,January
Friday,1,15,653.0,Freitag,January
Friday,1,16,711.75,Freitag,January
Friday,1,17,690.25,Freitag,January
Friday,1,18,612.5,Freitag,January
Friday,1,19,485.0,Freitag,January
Friday,1,20,367.25,Freitag,January
Friday,1,21,310.25,Freitag,January
Friday,1,22,347.75,Freitag,January
Friday,1,23,235.0,Freitag,January
Friday,2,0,93.25,Freitag,February
Friday,2,1,38.0,Freitag,February
Friday,2,2,24.25,Freitag,February
Friday,2,3,33.25,Freitag,February
Friday,2,4,79.25,Freitag,February
Friday,2,5,273.0,Freitag,February
Friday,2,6,684.25,Freitag,February
Friday,2,7,728.5,Freitag,February
Friday,2,8,533.5,Freitag,February
Friday,2,9,507.75,Freitag,February
Friday,2,10,499.75,Freitag,February
Friday,2,11,542.5,Freitag,February
Friday,2,12,568.75,Freitag,February
Friday,2,13,657.0,Freitag,February
Friday,2,14,652.0,Freitag,February
Friday,2,15,682.5,Freitag,February
Friday,2,16,796.25,Freitag,February
Friday,2,17,675.5,Freitag,February
Friday,2,18,578.0,Freitag,February
Friday,2,19,512.5,Freitag,February
Friday,2,20,385.75,Freitag,February
Friday,2,21,328.5,Freitag,February
Friday,2,22,364.0,Freitag,February
Friday,2,23,300.75,Freitag,February
Friday,3,0,81.75,Freitag,March
Friday,3,1,40.75,Freitag,March
Friday,3,2,29.5,Freitag,March
Friday,3,3,34.5,Freitag,March
Friday,3,4,81.75,Freitag,March
Friday,3,5,283.75,Freitag,March
Friday,3,6,717.25,Freitag,March
Friday,3,7,747.25,Freitag,March
Friday,3,8,579.0,Freitag,March
Friday,3,9,519.5,Freitag,March
Friday,3,10,529.0,Freitag,March
Friday,3,11,582.0,Freitag,March
Friday,3,12,582.75,Freitag,March
Friday,3,13,625.25,Freitag,March
Friday,3,14,627.5,Freitag,March
Friday,3,15,728.0,Freitag,March
Friday,3,16,746.75,Freitag,March
Friday,3,17,653.25,Freitag,March
Friday,3,18,594.25,Freitag,March
Friday,3,19,556.5,Freitag,March
Friday,3,20,472.5,Freitag,March
Friday,3,21,422.0,Freitag,March
Friday,3,22,423.75,Freitag,March
Friday,3,23,484.75,Freitag,March
Friday,4,0,76.0,Freitag,April
Friday,4,1,47.75,Freitag,April
Friday,4,2,25.75,Freitag,April
Friday,4,3,36.0,Freitag,April
Friday,4,4,90.0,Freitag,April
Friday,4,5,282.0,Freitag,April
Friday,4,6,720.5,Freitag,April
Friday,4,7,721.25,Freitag,April
Friday,4,8,576.25,Freitag,April
Friday,4,9,525.0,Freitag,April
Friday,4,10,546.75,Freitag,April
Friday,4,11,560.5,Freitag,April
Friday,4,12,599.5,Freitag,April
Friday,4,13,645.25,Freitag,April
Friday,4,14,653.25,Freitag,April
Friday,4,15,683.0,Freitag,April
Friday,4,16,728.25,Freitag,April
Friday,4,17,654.75,Freitag,April
Friday,4,18,605.75,Freitag,April
Friday,4,19,500.75,Freitag,April
Friday,4,20,422.75,Freitag,April
Friday,4,21,443.25,Freitag,April
Friday,4,22,339.75,Freitag,April
Friday,4,23,247.75,Freitag,April
Friday,5,0,85.0,Freitag,May
