weekday,month,hour,vehicles,weekday_de,month_name
Friday,1,0,69.5,Freitag,January
Friday,1,1,38.5,Freitag,January
Friday,1,2,23.0,Freitag,January
Friday,1,3,17.0,Freitag,January
Friday,1,4,14.0,Freitag,January
Friday,1,5,90.0,Freitag,January
Friday,1,6,305.0,Freitag,January
Friday,1,7,369.5,Freitag,January
Friday,1,8,336.5,Freitag,January
Friday,1,9,262.5,Freitag,January
Friday,1,10,312.5,Freitag,January
Friday,1,11,385.5,Freitag,January
Friday,1,12,399.5,Freitag,January
Friday,1,13,386.5,Freitag,January
Friday,1,14,453.5,Freitag,January
Friday,1,15,500.0,Freitag,January
Friday,1,16,589.0,Freitag,January
Friday,1,17,643.0,Freitag,January
Friday,1,18,546.5,Freitag,January
Friday,1,19,404.5,Freitag,January
Friday,1,20,339.0,Freitag,January
Friday,1,21,278.0,Freitag,January
Friday,1,22,272.0,Freitag,January
Friday,1,23,230.5,Freitag,January
Friday,2,0,54.0,Freitag,February
Friday,2,1,25.5,Freitag,February
Friday,2,2,14.5,Freitag,February
Friday,2,3,14.0,Freitag,February
Friday,2,4,20.0,Freitag,February
Friday,2,5,102.0,Freitag,February
Friday,2,6,408.0,Freitag,February
Friday,2,7,404.5,Freitag,February
Friday,2,8,310.0,Freitag,February
Friday,2,9,295.0,Freitag,February
Friday,2,10,328.5,Freitag,February
Friday,2,11,404.0,Freitag,February
Friday,2,12,397.0,Freitag,February
Friday,2,13,424.6666666666667,Freitag,February
Friday,2,14,474.0,Freitag,February
Friday,2,15,462.5,Freitag,February
Friday,2,16,585.0,Freitag,February
Friday,2,17,618.0,Freitag,February
Friday,2,18,617.5,Freitag,February
Friday,2,19,485.5,Freitag,February
Friday,2,20,333.0,Freitag,February
Friday,2,21,266.0,Freitag,February
Friday,2,22,266.0,Freitag,February
Friday,2,23,220.0,Freitag,February
Friday,3,0,52.0,Freitag,March
Friday,3,1,28.0,Freitag,March
Friday,3,2,16.5,Freitag,March
Friday,3,3,23.0,Freitag,March
Friday,3,4,23.0,Freitag,March
Friday,3,5,99.5,Freitag,March
Friday,3,6,385.0,Freitag,March
Friday,3,7,374.5,Freitag,March
Friday,3,8,322.0,Freitag,March
Friday,3,9,297.0,Freitag,March
Friday,3,10,346.5,Freitag,March
Friday,3,11,382.5,Freitag,March
Friday,3,12,410.5,Freitag,March
Friday,3,13,395.5,Freitag,March
Friday,3,14,432.5,Freitag,March
Friday,3,15,465.0,Freitag,March
Friday,3,16,599.5,Freitag,March
Friday,3,17,629.0,Freitag,March
Friday,3,18,584.0,Freitag,March
Friday,3,19,471.0,Freitag,March
Friday,3,20,331.5,Freitag,March
Friday,3,21,271.0,Freitag,March
Friday,3,22,299.0,Freitag,March
Friday,3,23,252.0,Freitag,March
Friday,4,0,80.5,Freitag,April
Friday,4,1,33.0,Freitag,April
Friday,4,2,10.0,Freitag,April
Friday,4,3,22.0,Freitag,April
Friday,4,4,20.0,Freitag,April
Friday,4,5,105.0,Freitag,April
Friday,4,6,368.0,Freitag,April
Friday,4,7,383.0,Freitag,April
Friday,4,8,371.5,Freitag,April
Friday,4,9,316.5,Freitag,April
Friday,4,10,344.5,Freitag,April
Friday,4,11,394.5,Freitag,April
Friday,4,12,393.5,Freitag,April
Friday,4,13,398.0,Freitag,April
Friday,4,14,435.5,Freitag,April
Friday,4,15,460.5,Freitag,April
Friday,4,16,565.0,Freitag,April
Friday,4,17,615.0,Freitag,April
Friday,4,18,528.5,Freitag,April
Friday,4,19,435.0,Freitag,April
Friday,4,20,369.5,Freitag,April
Friday,4,21,322.0,Freitag,April
Friday,4,22,275.0,Freitag,April
Friday,4,23,235.5,Freitag,April
Friday,5,0,85.2,Freitag,May
Friday,5,1,40.8,Freitag,May
Friday,5,2,19.2,Freitag,May
Friday,5,3,22.0,Freitag,May
Friday,5,4,29.6,Freitag,May
Friday,5,5,111.6,Freitag,May
Friday,5,6,348.8,Freitag,May
Friday,5,7,337.2,Freitag,May
Friday,5,8,329.6,Freitag,May
Friday,5,9,288.4,Freitag,May
Friday,5,10,348.0,Freitag,May
