weekday,month,hour,vehicles,weekday_de,month_name
Friday,1,0,56.75,Freitag,January
Friday,1,1,36.5,Freitag,January
Friday,1,2,28.25,Freitag,January
Friday,1,3,28.0,Freitag,January
Friday,1,4,54.75,Freitag,January
Friday,1,5,122.75,Freitag,January
Friday,1,6,232.0,Freitag,January
Friday,1,7,240.5,Freitag,January
Friday,1,8,231.5,Freitag,January
Friday,1,9,295.25,Freitag,January
Friday,1,10,265.0,Freitag,January
Friday,1,11,272.75,Freitag,January
Friday,1,12,263.5,Freitag,January
Friday,1,13,266.75,Freitag,January
Friday,1,14,264.0,Freitag,January
Friday,1,15,248.0,Freitag,January
Friday,1,16,217.75,Freitag,January
Friday,1,17,228.5,Freitag,January
Friday,1,18,251.0,Freitag,January
Friday,1,19,245.5,Freitag,January
Friday,1,20,204.25,Freitag,January
Friday,1,21,172.75,Freitag,January
Friday,1,22,181.75,Freitag,January
Friday,1,23,138.25,Freitag,January
Friday,2,0,66.75,Freitag,February
Friday,2,1,37.5,Freitag,February
Friday,2,2,30.0,Freitag,February
Friday,2,3,28.75,Freitag,February
Friday,2,4,59.5,Freitag,February
Friday,2,5,147.25,Freitag,February
Friday,2,6,290.5,Freitag,February
Friday,2,7,261.5,Freitag,February
Friday,2,8,255.25,Freitag,February
Friday,2,9,294.75,Freitag,February
Friday,2,10,294.25,Freitag,February
Friday,2,11,301.5,Freitag,February
Friday,2,12,286.5,Freitag,February
Friday,2,13,299.5,Freitag,February
Friday,2,14,273.0,Freitag,February
Friday,2,15,266.25,Freitag,February
Friday,2,16,232.5,Freitag,February
Friday,2,17,231.25,Freitag,February
Friday,2,18,289.75,Freitag,February
Friday,2,19,273.0,Freitag,February
Friday,2,20,265.25,Freitag,February
Friday,2,21,219.5,Freitag,February
Friday,2,22,241.0,Freitag,February
Friday,2,23,179.75,Freitag,February
Friday,3,0,69.25,Freitag,March
Friday,3,1,41.25,Freitag,March
Friday,3,2,29.75,Freitag,March
Friday,3,3,29.5,Freitag,March
Friday,3,4,74.0,Freitag,March
Friday,3,5,135.5,Freitag,March
Friday,3,6,255.0,Freitag,March
Friday,3,7,239.75,Freitag,March
Friday,3,8,220.0,Freitag,March
Friday,3,9,261.25,Freitag,March
Friday,3,10,242.0,Freitag,March
Friday,3,11,255.25,Freitag,March
Friday,3,12,253.0,Freitag,March
Friday,3,13,287.5,Freitag,March
Friday,3,14,255.75,Freitag,March
Friday,3,15,225.25,Freitag,March
Friday,3,16,207.25,Freitag,March
Friday,3,17,206.5,Freitag,March
Friday,3,18,256.5,Freitag,March
Friday,3,19,265.75,Freitag,March
Friday,3,20,249.5,Freitag,March
Friday,3,21,219.75,Freitag,March
Friday,3,22,228.25,Freitag,March
Friday,3,23,189.75,Freitag,March
Friday,4,0,69.0,Freitag,April
Friday,4,1,40.25,Freitag,April
Friday,4,2,27.5,Freitag,April
Friday,4,3,29.0,Freitag,April
Friday,4,4,55.75,Freitag,April
Friday,4,5,129.5,Freitag,April
Friday,4,6,248.5,Freitag,April
Friday,4,7,243.25,Freitag,April
Friday,4,8,240.5,Freitag,April
Friday,4,9,274.0,Freitag,April
Friday,4,10,249.5,Freitag,April
Friday,4,11,238.75,Freitag,April
Friday,4,12,235.75,Freitag,April
Friday,4,13,271.0,Freitag,April
Friday,4,14,259.0,Freitag,April
Friday,4,15,228.75,Freitag,April
Friday,4,16,191.75,Freitag,April
Friday,4,17,205.75,Freitag,April
Friday,4,18,252.0,Freitag,April
Friday,4,19,243.25,Freitag,April
Friday,4,20,207.75,Freitag,April
Friday,4,21,205.5,Freitag,April
Friday,4,22,188.75,Freitag,April
Friday,4,23,145.25,Freitag,April
Friday,5,0,68.2,Freitag,May
Friday,5,1,44.4,Freitag,May
Friday,5,2,31.4,Freitag,May
Friday,5,3,31.2,Freitag,May
Friday,5,4,60.4,Freitag,May
Friday,5,5,119.4,Freitag,May
Friday,5,6,235.8,Freitag,May
Friday,5,7,226.2,Freitag,May
Friday,5,8,232.2,Freitag,May
Friday,5,9,244.8,Freitag,May
Friday,5,10,261.2,Freitag,May
Friday,5,11,245.2,Freitag,May
Friday,5,12,256.6,Freitag,May
Friday,5,13,268.8,Freitag,May
Friday,5,14,244.6,Freitag,May
Friday,5,15,215.4,Freitag,May
Friday,5,16,190.2,Freitag,May
Friday,5,17,222.2,Freitag,May
Friday,5,18,256.8,Freitag,May
Friday,5,19,237.8,Freitag,May
Friday,5,20,206.6,Freitag,May
Friday,5,21,198.0,Freitag,May
Friday,5,22,199.6,Freitag,May
Friday,5,23,147.6,Freitag,May
Friday,6,0,96.25,Freitag,June
Friday,6,1,52.25,Freitag,June
Friday,6,2,40.25,Freitag,June
Friday,6,3,35.5,Freitag,June
Friday,6,4,69.5,Freitag,June
Friday,6,5,149.25,Freitag,June
Friday,6,6,254.25,Freitag,June
Friday,6,7,248.0,Freitag,June
Friday,6,8,223.0,Freitag,June
Friday,6,9,270.25,Freitag,June
Friday,6,10,265.0,Freitag,June
Friday,6,11,262.0,Freitag,June
Friday,6,12,262.5,Freitag,June
Friday,6,13,285.25,Freitag,June
Friday,6,14,246.25,Freitag,June
Friday,6,15,246.25,Freitag,June
Friday,6,16,214.75,Freitag,June
Friday,6,17,202.25,Freitag,June
Friday,6,18,228.25,Freitag,June
Friday,6,19,241.5,Freitag,June
Friday,6,20,240.5,Freitag,June
Friday,6,21,222.5,Freitag,June
Friday,6,22,223.5,Freitag,June
Friday,6,23,186.5,Freitag,June
Friday,7,0,74.33333333333333,Freitag,July
Friday,7,1,52.0,Freitag,July
Friday,7,2,39.666666666666664,Freitag,July
Friday,7,3,35.333333333333336,Freitag,July
Friday,7,4,64.66666666666667,Freitag,July
Friday,7,5,123.33333333333333,Freitag,July
Friday,7,6,249.0,Freitag,July
Friday,7,7,242.33333333333334,Freitag,July
Friday,7,8,251.0,Freitag,July
Friday,7,9,280.6666666666667,Freitag,July
Friday,7,10,288.0,Freitag,July
Friday,7,11,256.3333333333333,Freitag,July
Friday,7,12,288.3333333333333,Freitag,July
Friday,7,13,282.3333333333333,Freitag,July
Friday,7,14,279.0,Freitag,July
Friday,7,15,257.6666666666667,Freitag,July
