weekday,month,hour,vehicles,weekday_de,month_name
Friday,1,0,76.5,Freitag,January
Friday,1,1,41.25,Freitag,January
Friday,1,2,36.25,Freitag,January
Friday,1,3,26.75,Freitag,January
Friday,1,4,28.0,Freitag,January
Friday,1,5,76.75,Freitag,January
Friday,1,6,218.75,Freitag,January
Friday,1,7,277.25,Freitag,January
Friday,1,8,310.0,Freitag,January
Friday,1,9,339.0,Freitag,January
Friday,1,10,355.0,Freitag,January
Friday,1,11,364.25,Freitag,January
Friday,1,12,356.75,Freitag,January
Friday,1,13,360.5,Freitag,January
Friday,1,14,411.5,Freitag,January
Friday,1,15,416.25,Freitag,January
Friday,1,16,422.25,Freitag,January
Friday,1,17,409.25,Freitag,January
Friday,1,18,386.0,Freitag,January
Friday,1,19,280.5,Freitag,January
Friday,1,20,206.75,Freitag,January
Friday,1,21,205.0,Freitag,January
Friday,1,22,223.0,Freitag,January
Friday,1,23,169.75,Freitag,January
Friday,2,0,70.0,Freitag,February
Friday,2,1,48.5,Freitag,February
Friday,2,2,35.75,Freitag,February
Friday,2,3,32.0,Freitag,February
Friday,2,4,32.75,Freitag,February
Friday,2,5,77.25,Freitag,February
Friday,2,6,230.25,Freitag,February
Friday,2,7,291.25,Freitag,February
Friday,2,8,317.25,Freitag,February
Friday,2,9,340.25,Freitag,February
Friday,2,10,371.75,Freitag,February
Friday,2,11,385.25,Freitag,February
Friday,2,12,371.0,Freitag,February
Friday,2,13,393.5,Freitag,February
Friday,2,14,420.5,Freitag,February
Friday,2,15,402.0,Freitag,February
Friday,2,16,458.0,Freitag,February
Friday,2,17,425.5,Freitag,February
Friday,2,18,395.0,Freitag,February
Friday,2,19,299.25,Freitag,February
Friday,2,20,206.75,Freitag,February
Friday,2,21,215.5,Freitag,February
Friday,2,22,225.75,Freitag,February
Friday,2,23,183.0,Freitag,February
Friday,3,0,80.0,Freitag,March
Friday,3,1,50.25,Freitag,March
Friday,3,2,33.25,Freitag,March
Friday,3,3,27.5,Freitag,March
Friday,3,4,38.5,Freitag,March
Friday,3,5,92.75,Freitag,March
Friday,3,6,253.5,Freitag,March
Friday,3,7,311.5,Freitag,March
Friday,3,8,339.75,Freitag,March
Friday,3,9,361.25,Freitag,March
Friday,3,10,395.5,Freitag,March
Friday,3,11,414.5,Freitag,March
Friday,3,12,387.25,Freitag,March
Friday,3,13,380.0,Freitag,March
Friday,3,14,396.25,Freitag,March
Friday,3,15,431.0,Freitag,March
Friday,3,16,448.5,Freitag,March
Friday,3,17,432.0,Freitag,March
Friday,3,18,435.75,Freitag,March
Friday,3,19,371.25,Freitag,March
Friday,3,20,266.0,Freitag,March
Friday,3,21,236.25,Freitag,March
Friday,3,22,261.25,Freitag,March
Friday,3,23,231.25,Freitag,March
Friday,4,0,72.0,Freitag,April
Friday,4,1,39.5,Freitag,April
Friday,4,2,33.75,Freitag,April
Friday,4,3,27.5,Freitag,April
Friday,4,4,26.25,Freitag,April
Friday,4,5,77.75,Freitag,April
Friday,4,6,236.5,Freitag,April
Friday,4,7,295.75,Freitag,April
Friday,4,8,337.25,Freitag,April
Friday,4,9,372.75,Freitag,April
Friday,4,10,386.0,Freitag,April
Friday,4,11,402.75,Freitag,April
Friday,4,12,396.0,Freitag,April
Friday,4,13,405.5,Freitag,April
Friday,4,14,415.75,Freitag,April
Friday,4,15,429.25,Freitag,April
Friday,4,16,460.5,Freitag,April
Friday,4,17,443.5,Freitag,April
Friday,4,18,389.5,Freitag,April
Friday,4,19,343.5,Freitag,April
Friday,4,20,253.0,Freitag,April
Friday,4,21,233.0,Freitag,April
Friday,4,22,265.0,Freitag,April
Friday,4,23,211.0,Freitag,April
Friday,5,0,93.6,Freitag,May
Friday,5,1,48.4,Freitag,May
Friday,5,2,34.0,Freitag,May
Friday,5,3,23.2,Freitag,May
Friday,5,4,36.8,Freitag,May
Friday,5,5,79.0,Freitag,May
Friday,5,6,231.2,Freitag,May
Friday,5,7,299.0,Freitag,May
Friday,5,8,315.6,Freitag,May
Friday,5,9,347.4,Freitag,May
Friday,5,10,406.0,Freitag,May
Friday,5,11,399.6,Freitag,May
Friday,5,12,389.2,Freitag,May
Friday,5,13,409.6,Freitag,May
Friday,5,14,408.4,Freitag,May
Friday,5,15,434.6,Freitag,May
Friday,5,16,442.0,Freitag,May
Friday,5,17,431.4,Freitag,May
Friday,5,18,419.0,Freitag,May
Friday,5,19,338.0,Freitag,May
Friday,5,20,242.0,Freitag,May
Friday,5,21,255.4,Freitag,May
Friday,5,22,279.6,Freitag,May
Friday,5,23,212.8,Freitag,May
Friday,6,0,114.75,Freitag,June
Friday,6,1,74.25,Freitag,June
Friday,6,2,41.5,Freitag,June
Friday,6,3,35.25,Freitag,June
