weekday,month,hour,vehicles,weekday_de,month_name
Friday,1,0,26.5,Freitag,January
Friday,1,1,9.25,Freitag,January
Friday,1,2,5.5,Freitag,January
Friday,1,3,6.0,Freitag,January
Friday,1,4,10.5,Freitag,January
Friday,1,5,32.0,Freitag,January
Friday,1,6,87.75,Freitag,January
Friday,1,7,214.75,Freitag,January
Friday,1,8,284.25,Freitag,January
Friday,1,9,247.25,Freitag,January
Friday,1,10,251.25,Freitag,January
Friday,1,11,264.25,Freitag,January
Friday,1,12,236.5,Freitag,January
Friday,1,13,225.25,Freitag,January
Friday,1,14,260.25,Freitag,January
Friday,1,15,300.75,Freitag,January
Friday,1,16,289.5,Freitag,January
Friday,1,17,314.0,Freitag,January
Friday,1,18,245.25,Freitag,January
Friday,1,19,153.5,Freitag,January
Friday,1,20,120.0,Freitag,January
Friday,1,21,82.75,Freitag,January
Friday,1,22,82.0,Freitag,January
Friday,1,23,66.75,Freitag,January
Friday,2,0,26.25,Freitag,February
Friday,2,1,11.5,Freitag,February
Friday,2,2,8.5,Freitag,February
Friday,2,3,2.75,Freitag,February
Friday,2,4,6.75,Freitag,February
Friday,2,5,21.5,Freitag,February
Friday,2,6,94.5,Freitag,February
Friday,2,7,221.25,Freitag,February
Friday,2,8,289.25,Freitag,February
Friday,2,9,249.75,Freitag,February
Friday,2,10,273.25,Freitag,February
Friday,2,11,302.5,Freitag,February
Friday,2,12,249.0,Freitag,February
Friday,2,13,258.25,Freitag,February
Friday,2,14,268.5,Freitag,February
Friday,2,15,296.25,Freitag,February
Friday,2,16,323.0,Freitag,February
Friday,2,17,317.75,Freitag,February
Friday,2,18,242.0,Freitag,February
Friday,2,19,161.25,Freitag,February
Friday,2,20,119.75,Freitag,February
Friday,2,21,99.75,Freitag,February
Friday,2,22,90.25,Freitag,February
Friday,2,23,60.75,Freitag,February
Friday,3,0,28.75,Freitag,March
Friday,3,1,6.5,Freitag,March
Friday,3,2,5.5,Freitag,March
Friday,3,3,4.75,Freitag,March
Friday,3,4,7.25,Freitag,March
Friday,3,5,26.75,Freitag,March
Friday,3,6,104.5,Freitag,March
Friday,3,7,251.5,Freitag,March
Friday,3,8,328.5,Freitag,March
Friday,3,9,265.25,Freitag,March
Friday,3,10,293.5,Freitag,March
Friday,3,11,319.0,Freitag,March
Friday,3,12,284.75,Freitag,March
Friday,3,13,268.5,Freitag,March
Friday,3,14,310.75,Freitag,March
Friday,3,15,329.5,Freitag,March
Friday,3,16,334.75,Freitag,March
Friday,3,17,308.75,Freitag,March
Friday,3,18,260.25,Freitag,March
Friday,3,19,184.0,Freitag,March
Friday,3,20,131.5,Freitag,March
Friday,3,21,106.5,Freitag,March
Friday,3,22,101.75,Freitag,March
Friday,3,23,63.25,Freitag,March
Friday,4,0,27.75,Freitag,April
Friday,4,1,9.5,Freitag,April
Friday,4,2,7.0,Freitag,April
Friday,4,3,6.0,Freitag,April
Friday,4,4,9.75,Freitag,April
Friday,4,5,22.25,Freitag,April
Friday,4,6,102.5,Freitag,April
Friday,4,7,241.5,Freitag,April
Friday,4,8,304.5,Freitag,April
Friday,4,9,269.25,Freitag,April
Friday,4,10,311.25,Freitag,April
Friday,4,11,336.25,Freitag,April
Friday,4,12,271.5,Freitag,April
Friday,4,13,274.75,Freitag,April
Friday,4,14,303.25,Freitag,April
Friday,4,15,330.5,Freitag,April
Friday,4,16,360.75,Freitag,April
Friday,4,17,327.75,Freitag,April
Friday,4,18,264.75,Freitag,April
Friday,4,19,190.5,Freitag,April
Friday,4,20,125.25,Freitag,April
Friday,4,21,113.5,Freitag,April
Friday,4,22,102.0,Freitag,April
Friday,4,23,75.75,Freitag,April
Friday,5,0,31.0,Freitag,May
Friday,5,1,10.6,Freitag,May
Friday,5,2,5.2,Freitag,May
Friday,5,3,5.2,Freitag,May
Friday,5,4,9.4,Freitag,May
Friday,5,5,24.4,Freitag,May
Friday,5,6,99.4,Freitag,May
Friday,5,7,231.6,Freitag,May
Friday,5,8,289.2,Freitag,May
Friday,5,9,272.6,Freitag,May
Friday,5,10,314.8,Freitag,May
Friday,5,11,322.0,Freitag,May
Friday,5,12,268.0,Freitag,May
Friday,5,13,258.8,Freitag,May
Friday,5,14,291.8,Freitag,May
Friday,5,15,309.6,Freitag,May
Friday,5,16,321.2,Freitag,May
Friday,5,17,291.6,Freitag,May
Friday,5,18,248.0,Freitag,May
Friday,5,19,186.8,Freitag,May
Friday,5,20,133.8,Freitag,May
Friday,5,21,107.4,Freitag,May
Friday,5,22,98.2,Freitag,May
Friday,5,23,71.6,Freitag,May
Friday,6,0,23.75,Freitag,June
