weekday,month,hour,vehicles,weekday_de,month_name
Friday,1,0,10.25,Freitag,January
Friday,1,1,2.75,Freitag,January
Friday,1,2,0.75,Freitag,January
Friday,1,3,1.0,Freitag,January
Friday,1,4,5.25,Freitag,January
Friday,1,5,21.0,Freitag,January
Friday,1,6,54.0,Freitag,January
Friday,1,7,104.25,Freitag,January
Friday,1,8,125.5,Freitag,January
Friday,1,9,103.0,Freitag,January
Friday,1,10,85.25,Freitag,January
Friday,1,11,92.5,Freitag,January
Friday,1,12,93.25,Freitag,January
Friday,1,13,95.75,Freitag,January
Friday,1,14,95.75,Freitag,January
Friday,1,15,98.25,Freitag,January
Friday,1,16,113.5,Freitag,January
Friday,1,17,116.5,Freitag,January
Friday,1,18,100.0,Freitag,January
Friday,1,19,72.75,Freitag,January
Friday,1,20,44.5,Freitag,January
Friday,1,21,39.75,Freitag,January
Friday,1,22,32.0,Freitag,January
Friday,1,23,24.0,Freitag,January
Friday,2,0,11.25,Freitag,February
Friday,2,1,4.25,Freitag,February
Friday,2,2,2.75,Freitag,February
Friday,2,3,0.5,Freitag,February
Friday,2,4,3.5,Freitag,February
Friday,2,5,16.5,Freitag,February
Friday,2,6,71.5,Freitag,February
Friday,2,7,126.75,Freitag,February
Friday,2,8,139.75,Freitag,February
Friday,2,9,100.0,Freitag,February
Friday,2,10,105.25,Freitag,February
Friday,2,11,101.25,Freitag,February
Friday,2,12,94.5,Freitag,February
Friday,2,13,113.25,Freitag,February
Friday,2,14,103.75,Freitag,February
Friday,2,15,105.25,Freitag,February
Friday,2,16,116.25,Freitag,February
Friday,2,17,120.0,Freitag,February
Friday,2,18,94.75,Freitag,February
Friday,2,19,65.75,Freitag,February
Friday,2,20,51.25,Freitag,February
Friday,2,21,38.5,Freitag,February
Friday,2,22,41.0,Freitag,February
Friday,2,23,26.25,Freitag,February
Friday,3,0,10.75,Freitag,March
Friday,3,1,3.5,Freitag,March
Friday,3,2,2.75,Freitag,March
Friday,3,3,2.0,Freitag,March
Friday,3,4,2.5,Freitag,March
