weekday,month,hour,vehicles,weekday_de,month_name
Friday,1,0,38.0,Freitag,January
Friday,1,1,29.0,Freitag,January
Friday,1,2,19.5,Freitag,January
Friday,1,3,22.25,Freitag,January
Friday,1,4,19.5,Freitag,January
Friday,1,5,34.75,Freitag,January
Friday,1,6,115.0,Freitag,January
Friday,1,7,231.5,Freitag,January
Friday,1,8,289.5,Freitag,January
Friday,1,9,249.75,Freitag,January
Friday,1,10,277.5,Freitag,January
Friday,1,11,321.75,Freitag,January
Friday,1,12,270.25,Freitag,January
Friday,1,13,252.5,Freitag,January
Friday,1,14,330.75,Freitag,January
Friday,1,15,268.5,Freitag,January
Friday,1,16,284.75,Freitag,January
Friday,1,17,331.0,Freitag,January
Friday,1,18,289.0,Freitag,January
Friday,1,19,188.75,Freitag,January
Friday,1,20,113.0,Freitag,January
Friday,1,21,90.25,Freitag,January
Friday,1,22,97.25,Freitag,January
Friday,1,23,90.75,Freitag,January
Friday,2,0,47.0,Freitag,February
Friday,2,1,37.25,Freitag,February
Friday,2,2,23.5,Freitag,February
Friday,2,3,22.5,Freitag,February
Friday,2,4,20.5,Freitag,February
Friday,2,5,47.0,Freitag,February
Friday,2,6,108.5,Freitag,February
Friday,2,7,220.25,Freitag,February
Friday,2,8,271.25,Freitag,February
Friday,2,9,247.25,Freitag,February
Friday,2,10,238.75,Freitag,February
Friday,2,11,266.5,Freitag,February
Friday,2,12,251.5,Freitag,February
Friday,2,13,261.25,Freitag,February
Friday,2,14,278.5,Freitag,February
Friday,2,15,254.25,Freitag,February
Friday,2,16,296.0,Freitag,February
Friday,2,17,305.5,Freitag,February
Friday,2,18,236.25,Freitag,February
Friday,2,19,176.75,Freitag,February
Friday,2,20,121.0,Freitag,February
Friday,2,21,102.25,Freitag,February
Friday,2,22,100.0,Freitag,February
Friday,2,23,97.75,Freitag,February
Friday,3,0,48.75,Freitag,March
Friday,3,1,37.75,Freitag,March
Friday,3,2,29.5,Freitag,March
Friday,3,3,27.0,Freitag,March
Friday,3,4,22.0,Freitag,March
Friday,3,5,47.25,Freitag,March
Friday,3,6,124.0,Freitag,March
Friday,3,7,285.5,Freitag,March
