weekday,month,hour,vehicles,weekday_de,month_name
Friday,1,0,38.75,Freitag,January
Friday,1,1,35.25,Freitag,January
Friday,1,2,18.75,Freitag,January
Friday,1,3,24.5,Freitag,January
Friday,1,4,36.75,Freitag,January
Friday,1,5,55.5,Freitag,January
Friday,1,6,221.75,Freitag,January
Friday,1,7,336.75,Freitag,January
Friday,1,8,359.25,Freitag,January
Friday,1,9,314.0,Freitag,January
Friday,1,10,300.75,Freitag,January
Friday,1,11,298.75,Freitag,January
Friday,1,12,273.5,Freitag,January
Friday,1,13,296.0,Freitag,January
Friday,1,14,317.5,Freitag,January
Friday,1,15,321.75,Freitag,January
Friday,1,16,383.5,Freitag,January
Friday,1,17,388.75,Freitag,January
Friday,1,18,328.75,Freitag,January
Friday,1,19,251.75,Freitag,January
Friday,1,20,210.0,Freitag,January
Friday,1,21,172.5,Freitag,January
Friday,1,22,166.75,Freitag,January
Friday,1,23,128.5,Freitag,January
Friday,2,0,46.5,Freitag,February
Friday,2,1,32.75,Freitag,February
Friday,2,2,23.5,Freitag,February
Friday,2,3,23.75,Freitag,February
Friday,2,4,41.75,Freitag,February
Friday,2,5,69.5,Freitag,February
Friday,2,6,224.75,Freitag,February
Friday,2,7,359.25,Freitag,February
Friday,2,8,377.25,Freitag,February
Friday,2,9,334.5,Freitag,February
Friday,2,10,290.0,Freitag,February
Friday,2,11,324.0,Freitag,February
Friday,2,12,294.25,Freitag,February
Friday,2,13,338.25,Freitag,February
Friday,2,14,323.0,Freitag,February
Friday,2,15,309.0,Freitag,February
Friday,2,16,372.0,Freitag,February
Friday,2,17,389.75,Freitag,February
Friday,2,18,332.75,Freitag,February
Friday,2,19,278.0,Freitag,February
Friday,2,20,232.5,Freitag,February
Friday,2,21,198.0,Freitag,February
Friday,2,22,208.0,Freitag,February
Friday,2,23,164.75,Freitag,February
Friday,3,0,52.0,Freitag,March
Friday,3,1,41.5,Freitag,March
Friday,3,2,25.5,Freitag,March
Friday,3,3,22.75,Freitag,March
Friday,3,4,48.25,Freitag,March
Friday,3,5,68.5,Freitag,March
Friday,3,6,222.5,Freitag,March
Friday,3,7,432.5,Freitag,March
Friday,3,8,438.5,Freitag,March
Friday,3,9,343.25,Freitag,March
Friday,3,10,328.5,Freitag,March
Friday,3,11,336.25,Freitag,March
Friday,3,12,288.25,Freitag,March
Friday,3,13,343.0,Freitag,March
Friday,3,14,349.0,Freitag,March
Friday,3,15,323.75,Freitag,March
Friday,3,16,376.75,Freitag,March
Friday,3,17,422.0,Freitag,March
Friday,3,18,375.75,Freitag,March
Friday,3,19,251.25,Freitag,March
Friday,3,20,255.0,Freitag,March
Friday,3,21,232.75,Freitag,March
Friday,3,22,213.0,Freitag,March
Friday,3,23,160.0,Freitag,March
Friday,4,0,55.25,Freitag,April
Friday,4,1,37.0,Freitag,April
Friday,4,2,18.25,Freitag,April
Friday,4,3,17.25,Freitag,April
Friday,4,4,38.75,Freitag,April
Friday,4,5,62.75,Freitag,April
Friday,4,6,248.5,Freitag,April
Friday,4,7,439.0,Freitag,April
Friday,4,8,449.75,Freitag,April
Friday,4,9,371.5,Freitag,April
Friday,4,10,340.0,Freitag,April
Friday,4,11,339.25,Freitag,April
Friday,4,12,327.75,Freitag,April
Friday,4,13,360.75,Freitag,April
Friday,4,14,350.75,Freitag,April
Friday,4,15,358.5,Freitag,April
Friday,4,16,385.25,Freitag,April
Friday,4,17,402.5,Freitag,April
Friday,4,18,342.25,Freitag,April
Friday,4,19,263.0,Freitag,April
Friday,4,20,208.25,Freitag,April
Friday,4,21,202.0,Freitag,April
Friday,4,22,179.25,Freitag,April
Friday,4,23,146.5,Freitag,April
Friday,5,0,48.8,Freitag,May
Friday,5,1,30.8,Freitag,May
Friday,5,2,18.0,Freitag,May
Friday,5,3,18.8,Freitag,May
Friday,5,4,33.2,Freitag,May
Friday,5,5,72.4,Freitag,May
Friday,5,6,223.8,Freitag,May
Friday,5,7,269.8,Freitag,May
Friday,5,8,288.0,Freitag,May
Friday,5,9,291.0,Freitag,May
Friday,5,10,312.6,Freitag,May
Friday,5,11,312.4,Freitag,May
Friday,5,12,315.2,Freitag,May
Friday,5,13,333.4,Freitag,May
Friday,5,14,332.4,Freitag,May
Friday,5,15,290.6,Freitag,May
Friday,5,16,295.2,Freitag,May
Friday,5,17,273.0,Freitag,May
Friday,5,18,252.0,Freitag,May
