weekday,month,hour,vehicles,weekday_de,month_name
Friday,1,0,91.75,Freitag,January
Friday,1,1,63.5,Freitag,January
Friday,1,2,37.0,Freitag,January
Friday,1,3,39.75,Freitag,January
Friday,1,4,54.75,Freitag,January
Friday,1,5,111.0,Freitag,January
Friday,1,6,240.0,Freitag,January
Friday,1,7,322.25,Freitag,January
Friday,1,8,340.75,Freitag,January
Friday,1,9,344.75,Freitag,January
Friday,1,10,406.75,Freitag,January
Friday,1,11,425.0,Freitag,January
Friday,1,12,397.75,Freitag,January
Friday,1,13,393.75,Freitag,January
Friday,1,14,503.0,Freitag,January
Friday,1,15,514.0,Freitag,January
Friday,1,16,536.25,Freitag,January
Friday,1,17,500.0,Freitag,January
Friday,1,18,440.0,Freitag,January
Friday,1,19,367.0,Freitag,January
Friday,1,20,309.75,Freitag,January
Friday,1,21,280.75,Freitag,January
Friday,1,22,311.25,Freitag,January
Friday,1,23,249.75,Freitag,January
Friday,2,0,85.75,Freitag,February
Friday,2,1,65.75,Freitag,February
Friday,2,2,44.5,Freitag,February
Friday,2,3,28.75,Freitag,February
Friday,2,4,47.25,Freitag,February
Friday,2,5,112.0,Freitag,February
Friday,2,6,259.75,Freitag,February
Friday,2,7,325.25,Freitag,February
Friday,2,8,356.0,Freitag,February
Friday,2,9,358.5,Freitag,February
Friday,2,10,406.5,Freitag,February
Friday,2,11,466.5,Freitag,February
Friday,2,12,402.25,Freitag,February
Friday,2,13,443.0,Freitag,February
Friday,2,14,514.75,Freitag,February
Friday,2,15,541.75,Freitag,February
Friday,2,16,532.0,Freitag,February
Friday,2,17,515.75,Freitag,February
Friday,2,18,467.25,Freitag,February
Friday,2,19,385.0,Freitag,February
Friday,2,20,310.5,Freitag,February
Friday,2,21,275.0,Freitag,February
Friday,2,22,331.5,Freitag,February
Friday,2,23,286.5,Freitag,February
Friday,3,0,96.75,Freitag,March
Friday,3,1,72.25,Freitag,March
Friday,3,2,43.0,Freitag,March
Friday,3,3,32.75,Freitag,March
Friday,3,4,50.5,Freitag,March
Friday,3,5,108.5,Freitag,March
Friday,3,6,260.5,Freitag,March
Friday,3,7,358.5,Freitag,March
Friday,3,8,347.75,Freitag,March
Friday,3,9,387.0,Freitag,March
Friday,3,10,387.0,Freitag,March
Friday,3,11,446.75,Freitag,March
Friday,3,12,422.75,Freitag,March
Friday,3,13,425.75,Freitag,March
Friday,3,14,513.5,Freitag,March
Friday,3,15,556.5,Freitag,March
Friday,3,16,568.0,Freitag,March
Friday,3,17,533.5,Freitag,March
Friday,3,18,445.75,Freitag,March
Friday,3,19,399.75,Freitag,March
Friday,3,20,365.0,Freitag,March
Friday,3,21,328.75,Freitag,March
Friday,3,22,390.25,Freitag,March
Friday,3,23,328.5,Freitag,March
Friday,4,0,111.5,Freitag,April
Friday,4,1,71.25,Freitag,April
Friday,4,2,40.75,Freitag,April
Friday,4,3,31.5,Freitag,April
Friday,4,4,61.25,Freitag,April
Friday,4,5,116.75,Freitag,April
Friday,4,6,239.75,Freitag,April
Friday,4,7,335.0,Freitag,April
Friday,4,8,353.0,Freitag,April
Friday,4,9,356.5,Freitag,April
Friday,4,10,422.5,Freitag,April
Friday,4,11,454.75,Freitag,April
Friday,4,12,424.0,Freitag,April
Friday,4,13,434.25,Freitag,April
Friday,4,14,514.5,Freitag,April
Friday,4,15,548.25,Freitag,April
Friday,4,16,541.0,Freitag,April
Friday,4,17,523.0,Freitag,April
Friday,4,18,446.25,Freitag,April
Friday,4,19,381.25,Freitag,April
Friday,4,20,341.0,Freitag,April
Friday,4,21,296.25,Freitag,April
