weekday,month,hour,vehicles,weekday_de,month_name
Friday,1,0,42.5,Freitag,January
Friday,1,1,24.75,Freitag,January
Friday,1,2,17.5,Freitag,January
Friday,1,3,19.25,Freitag,January
Friday,1,4,58.0,Freitag,January
Friday,1,5,314.0,Freitag,January
Friday,1,6,634.75,Freitag,January
Friday,1,7,712.25,Freitag,January
Friday,1,8,735.5,Freitag,January
Friday,1,9,714.5,Freitag,January
Friday,1,10,700.5,Freitag,January
Friday,1,11,713.25,Freitag,January
Friday,1,12,697.75,Freitag,January
Friday,1,13,739.75,Freitag,January
Friday,1,14,689.25,Freitag,January
Friday,1,15,649.5,Freitag,January
Friday,1,16,635.0,Freitag,January
Friday,1,17,665.25,Freitag,January
Friday,1,18,667.0,Freitag,January
Friday,1,19,640.25,Freitag,January
Friday,1,20,602.5,Freitag,January
Friday,1,21,496.75,Freitag,January
Friday,1,22,490.5,Freitag,January
Friday,1,23,385.0,Freitag,January
Friday,2,0,27.0,Freitag,February
Friday,2,1,19.0,Freitag,February
Friday,2,2,13.5,Freitag,February
Friday,2,3,13.75,Freitag,February
Friday,2,4,28.25,Freitag,February
Friday,2,5,247.0,Freitag,February
Friday,2,6,582.0,Freitag,February
Friday,2,7,664.25,Freitag,February
Friday,2,8,676.25,Freitag,February
Friday,2,9,631.75,Freitag,February
Friday,2,10,599.75,Freitag,February
Friday,2,11,626.25,Freitag,February
Friday,2,12,587.0,Freitag,February
Friday,2,13,619.75,Freitag,February
Friday,2,14,580.0,Freitag,February
Friday,2,15,487.5,Freitag,February
Friday,2,16,524.0,Freitag,February
Friday,2,17,570.5,Freitag,February
Friday,2,18,594.5,Freitag,February
Friday,2,19,563.25,Freitag,February
Friday,2,20,522.5,Freitag,February
Friday,2,21,455.5,Freitag,February
Friday,2,22,443.25,Freitag,February
Friday,2,23,337.5,Freitag,February
Friday,3,0,30.5,Freitag,March
Friday,3,1,18.25,Freitag,March
Friday,3,2,13.25,Freitag,March
Friday,3,3,11.75,Freitag,March
Friday,3,4,36.0,Freitag,March
Friday,3,5,337.75,Freitag,March
Friday,3,6,732.25,Freitag,March
Friday,3,7,783.5,Freitag,March
Friday,3,8,780.25,Freitag,March
Friday,3,9,779.25,Freitag,March
Friday,3,10,767.0,Freitag,March
