weekday,month,hour,vehicles,weekday_de,month_name
Friday,1,0,86.75,Freitag,January
Friday,1,1,57.25,Freitag,January
Friday,1,2,40.5,Freitag,January
Friday,1,3,28.0,Freitag,January
Friday,1,4,44.75,Freitag,January
Friday,1,5,112.5,Freitag,January
Friday,1,6,343.0,Freitag,January
Friday,1,7,403.75,Freitag,January
Friday,1,8,395.25,Freitag,January
Friday,1,9,392.0,Freitag,January
Friday,1,10,473.75,Freitag,January
Friday,1,11,511.25,Freitag,January
Friday,1,12,489.0,Freitag,January
Friday,1,13,500.5,Freitag,January
Friday,1,14,566.75,Freitag,January
Friday,1,15,585.0,Freitag,January
Friday,1,16,549.25,Freitag,January
Friday,1,17,598.25,Freitag,January
Friday,1,18,563.5,Freitag,January
Friday,1,19,464.0,Freitag,January
Friday,1,20,390.25,Freitag,January
Friday,1,21,376.75,Freitag,January
Friday,1,22,428.5,Freitag,January
Friday,1,23,416.75,Freitag,January
Friday,2,0,105.5,Freitag,February
Friday,2,1,54.5,Freitag,February
Friday,2,2,37.75,Freitag,February
Friday,2,3,33.25,Freitag,February
Friday,2,4,47.0,Freitag,February
Friday,2,5,110.75,Freitag,February
Friday,2,6,361.25,Freitag,February
Friday,2,7,458.5,Freitag,February
Friday,2,8,428.5,Freitag,February
Friday,2,9,422.25,Freitag,February
Friday,2,10,495.0,Freitag,February
Friday,2,11,541.0,Freitag,February
Friday,2,12,503.5,Freitag,February
Friday,2,13,526.0,Freitag,February
Friday,2,14,586.5,Freitag,February
Friday,2,15,544.25,Freitag,February
Friday,2,16,527.5,Freitag,February
Friday,2,17,573.0,Freitag,February
Friday,2,18,581.0,Freitag,February
Friday,2,19,495.0,Freitag,February
Friday,2,20,386.25,Freitag,February
Friday,2,21,371.75,Freitag,February
Friday,2,22,453.75,Freitag,February
Friday,2,23,451.0,Freitag,February
Friday,3,0,97.25,Freitag,March
Friday,3,1,62.5,Freitag,March
Friday,3,2,36.75,Freitag,March
Friday,3,3,32.5,Freitag,March
Friday,3,4,51.5,Freitag,March
Friday,3,5,109.25,Freitag,March
Friday,3,6,345.75,Freitag,March
Friday,3,7,449.75,Freitag,March
Friday,3,8,413.5,Freitag,March
Friday,3,9,417.25,Freitag,March
Friday,3,10,482.75,Freitag,March
Friday,3,11,522.25,Freitag,March
Friday,3,12,508.5,Freitag,March
Friday,3,13,521.75,Freitag,March
Friday,3,14,592.25,Freitag,March
Friday,3,15,597.75,Freitag,March
Friday,3,16,580.5,Freitag,March
Friday,3,17,589.5,Freitag,March
Friday,3,18,546.0,Freitag,March
Friday,3,19,402.5,Freitag,March
Friday,3,20,405.5,Freitag,March
Friday,3,21,385.5,Freitag,March
Friday,3,22,455.5,Freitag,March
Friday,3,23,424.5,Freitag,March
Friday,4,0,110.25,Freitag,April
Friday,4,1,61.25,Freitag,April
Friday,4,2,37.25,Freitag,April
Friday,4,3,36.5,Freitag,April
Friday,4,4,57.0,Freitag,April
Friday,4,5,125.5,Freitag,April
Friday,4,6,395.25,Freitag,April
Friday,4,7,472.5,Freitag,April
Friday,4,8,472.25,Freitag,April
Friday,4,9,446.75,Freitag,April
Friday,4,10,518.25,Freitag,April
Friday,4,11,574.0,Freitag,April
Friday,4,12,543.75,Freitag,April
Friday,4,13,529.5,Freitag,April
Friday,4,14,604.5,Freitag,April
Friday,4,15,607.75,Freitag,April
Friday,4,16,561.25,Freitag,April
Friday,4,17,604.5,Freitag,April
Friday,4,18,578.75,Freitag,April
Friday,4,19,515.5,Freitag,April
Friday,4,20,428.25,Freitag,April
Friday,4,21,437.25,Freitag,April
Friday,4,22,494.25,Freitag,April
Friday,4,23,454.25,Freitag,April
Friday,5,0,108.6,Freitag,May
Friday,5,1,67.0,Freitag,May
Friday,5,2,35.8,Freitag,May
Friday,5,3,40.4,Freitag,May
Friday,5,4,64.2,Freitag,May
Friday,5,5,116.4,Freitag,May
Friday,5,6,335.6,Freitag,May
Friday,5,7,414.6,Freitag,May
Friday,5,8,406.8,Freitag,May
Friday,5,9,441.0,Freitag,May
Friday,5,10,521.8,Freitag,May
Friday,5,11,527.0,Freitag,May
Friday,5,12,539.4,Freitag,May
Friday,5,13,528.0,Freitag,May
Friday,5,14,640.0,Freitag,May
Friday,5,15,556.4,Freitag,May
Friday,5,16,544.4,Freitag,May
Friday,5,17,542.0,Freitag,May
Friday,5,18,540.2,Freitag,May
Friday,5,19,485.8,Freitag,May
Friday,5,20,394.8,Freitag,May
Friday,5,21,399.6,Freitag,May
Friday,5,22,460.8,Freitag,May
Friday,5,23,426.2,Freitag,May
Friday,6,0,141.0,Freitag,June
Friday,6,1,80.5,Freitag,June
Friday,6,2,43.25,Freitag,June
Friday,6,3,41.25,Freitag,June
Friday,6,4,48.0,Freitag,June
Friday,6,5,121.5,Freitag,June
Friday,6,6,325.75,Freitag,June
Friday,6,7,415.25,Freitag,June
Friday,6,8,381.5,Freitag,June
Friday,6,9,400.5,Freitag,June
Friday,6,10,445.0,Freitag,June
Friday,6,11,466.75,Freitag,June
Friday,6,12,484.75,Freitag,June
Friday,6,13,463.25,Freitag,June
Friday,6,14,518.75,Freitag,June
Friday,6,15,517.0,Freitag,June
Friday,6,16,508.75,Freitag,June
Friday,6,17,516.25,Freitag,June
Friday,6,18,388.0,Freitag,June
Friday,6,19,374.0,Freitag,June
Friday,6,20,314.25,Freitag,June
Friday,6,21,332.5,Freitag,June
Friday,6,22,344.75,Freitag,June
Friday,6,23,405.5,Freitag,June
Friday,7,0,187.33333333333334,Freitag,July
Friday,7,1,109.33333333333333,Freitag,July
Friday,7,2,51.333333333333336,Freitag,July
Friday,7,3,46.333333333333336,Freitag,July
Friday,7,4,81.66666666666667,Freitag,July
Friday,7,5,127.0,Freitag,July
Friday,7,6,330.3333333333333,Freitag,July
Friday,7,7,413.3333333333333,Freitag,July
Friday,7,8,386.0,Freitag,July
Friday,7,9,439.3333333333333,Freitag,July
Friday,7,10,494.6666666666667,Freitag,July
Friday,7,11,503.6666666666667,Freitag,July
Friday,7,12,513.6666666666666,Freitag,July
Friday,7,13,516.6666666666666,Freitag,July
Friday,7,14,551.0,Freitag,July
Friday,7,15,568.0,Freitag,July
Friday,7,16,583.6666666666666,Freitag,July
Friday,7,17,570.0,Freitag,July
Friday,7,18,568.3333333333334,Freitag,July
Friday,7,19,485.3333333333333,Freitag,July
Friday,7,20,397.6666666666667,Freitag,July
Friday,7,21,381.3333333333333,Freitag,July
Friday,7,22,431.6666666666667,Freitag,July
