weekday,month,hour,vehicles,weekday_de,month_name
Friday,1,0,70.5,Freitag,January
Friday,1,1,57.5,Freitag,January
Friday,1,2,44.5,Freitag,January
Friday,1,3,75.5,Freitag,January
Friday,1,4,135.0,Freitag,January
Friday,1,5,233.75,Freitag,January
Friday,1,6,383.5,Freitag,January
Friday,1,7,422.5,Freitag,January
Friday,1,8,408.25,Freitag,January
Friday,1,9,401.75,Freitag,January
Friday,1,10,411.5,Freitag,January
Friday,1,11,462.25,Freitag,January
Friday,1,12,440.75,Freitag,January
Friday,1,13,461.0,Freitag,January
Friday,1,14,439.75,Freitag,January
Friday,1,15,441.25,Freitag,January
Friday,1,16,465.75,Freitag,January
Friday,1,17,462.25,Freitag,January
Friday,1,18,452.5,Freitag,January
Friday,1,19,412.5,Freitag,January
Friday,1,20,324.25,Freitag,January
Friday,1,21,274.5,Freitag,January
Friday,1,22,271.5,Freitag,January
Friday,1,23,220.25,Freitag,January
Friday,2,0,68.0,Freitag,February
Friday,2,1,52.75,Freitag,February
Friday,2,2,51.25,Freitag,February
Friday,2,3,76.25,Freitag,February
Friday,2,4,135.0,Freitag,February
Friday,2,5,251.75,Freitag,February
Friday,2,6,404.5,Freitag,February
Friday,2,7,435.5,Freitag,February
Friday,2,8,432.75,Freitag,February
Friday,2,9,408.0,Freitag,February
Friday,2,10,422.0,Freitag,February
Friday,2,11,432.0,Freitag,February
Friday,2,12,442.25,Freitag,February
Friday,2,13,443.0,Freitag,February
Friday,2,14,418.25,Freitag,February
Friday,2,15,435.75,Freitag,February
Friday,2,16,489.0,Freitag,February
Friday,2,17,475.0,Freitag,February
Friday,2,18,436.25,Freitag,February
Friday,2,19,420.0,Freitag,February
Friday,2,20,322.25,Freitag,February
Friday,2,21,298.5,Freitag,February
Friday,2,22,269.5,Freitag,February
Friday,2,23,214.75,Freitag,February
Friday,3,0,79.25,Freitag,March
Friday,3,1,58.0,Freitag,March
Friday,3,2,52.75,Freitag,March
Friday,3,3,76.75,Freitag,March
Friday,3,4,139.75,Freitag,March
Friday,3,5,256.25,Freitag,March
Friday,3,6,385.25,Freitag,March
Friday,3,7,428.25,Freitag,March
Friday,3,8,398.0,Freitag,March
Friday,3,9,353.25,Freitag,March
Friday,3,10,363.5,Freitag,March
Friday,3,11,388.0,Freitag,March
Friday,3,12,406.5,Freitag,March
Friday,3,13,381.5,Freitag,March
Friday,3,14,368.25,Freitag,March
Friday,3,15,384.75,Freitag,March
Friday,3,16,467.75,Freitag,March
Friday,3,17,452.5,Freitag,March
Friday,3,18,457.0,Freitag,March
Friday,3,19,412.0,Freitag,March
Friday,3,20,384.5,Freitag,March
Friday,3,21,315.75,Freitag,March
Friday,3,22,274.5,Freitag,March
Friday,3,23,247.25,Freitag,March
Friday,4,0,77.5,Freitag,April
Friday,4,1,71.5,Freitag,April
Friday,4,2,50.0,Freitag,April
Friday,4,3,72.75,Freitag,April
Friday,4,4,121.25,Freitag,April
Friday,4,5,247.5,Freitag,April
Friday,4,6,384.0,Freitag,April
Friday,4,7,407.75,Freitag,April
Friday,4,8,368.0,Freitag,April
Friday,4,9,383.0,Freitag,April
Friday,4,10,398.75,Freitag,April
Friday,4,11,399.75,Freitag,April
Friday,4,12,411.5,Freitag,April
Friday,4,13,416.25,Freitag,April
Friday,4,14,403.75,Freitag,April
Friday,4,15,406.0,Freitag,April
Friday,4,16,451.5,Freitag,April
Friday,4,17,459.25,Freitag,April
Friday,4,18,411.5,Freitag,April
Friday,4,19,407.25,Freitag,April
Friday,4,20,324.5,Freitag,April
Friday,4,21,270.0,Freitag,April
Friday,4,22,270.0,Freitag,April
Friday,4,23,236.5,Freitag,April
Friday,5,0,82.4,Freitag,May
Friday,5,1,58.0,Freitag,May
Friday,5,2,47.6,Freitag,May
Friday,5,3,72.0,Freitag,May
Friday,5,4,120.0,Freitag,May
Friday,5,5,248.4,Freitag,May
Friday,5,6,381.0,Freitag,May
Friday,5,7,391.6,Freitag,May
Friday,5,8,379.4,Freitag,May
Friday,5,9,382.0,Freitag,May
Friday,5,10,399.4,Freitag,May
Friday,5,11,433.6,Freitag,May
Friday,5,12,409.2,Freitag,May
Friday,5,13,449.8,Freitag,May
Friday,5,14,434.6,Freitag,May
Friday,5,15,432.6,Freitag,May
Friday,5,16,451.4,Freitag,May
Friday,5,17,437.4,Freitag,May
Friday,5,18,410.6,Freitag,May
Friday,5,19,396.6,Freitag,May
Friday,5,20,325.2,Freitag,May
Friday,5,21,283.0,Freitag,May
Friday,5,22,264.2,Freitag,May
Friday,5,23,237.4,Freitag,May
Friday,6,0,109.25,Freitag,June
Friday,6,1,78.25,Freitag,June
Friday,6,2,59.25,Freitag,June
