weekday,month,hour,vehicles,weekday_de,month_name
Friday,1,0,97.25,Freitag,January
Friday,1,1,72.75,Freitag,January
Friday,1,2,54.25,Freitag,January
Friday,1,3,54.5,Freitag,January
Friday,1,4,86.75,Freitag,January
Friday,1,5,139.0,Freitag,January
Friday,1,6,302.5,Freitag,January
Friday,1,7,395.25,Freitag,January
Friday,1,8,403.0,Freitag,January
Friday,1,9,394.5,Freitag,January
Friday,1,10,431.5,Freitag,January
Friday,1,11,454.0,Freitag,January
Friday,1,12,458.0,Freitag,January
Friday,1,13,520.5,Freitag,January
Friday,1,14,530.5,Freitag,January
Friday,1,15,612.75,Freitag,January
Friday,1,16,679.75,Freitag,January
Friday,1,17,604.5,Freitag,January
Friday,1,18,505.75,Freitag,January
Friday,1,19,381.0,Freitag,January
Friday,1,20,307.25,Freitag,January
Friday,1,21,287.25,Freitag,January
Friday,1,22,301.5,Freitag,January
Friday,1,23,268.25,Freitag,January
Friday,2,0,99.0,Freitag,February
Friday,2,1,73.75,Freitag,February
Friday,2,2,60.25,Freitag,February
Friday,2,3,57.75,Freitag,February
Friday,2,4,85.75,Freitag,February
Friday,2,5,152.25,Freitag,February
Friday,2,6,334.25,Freitag,February
Friday,2,7,424.0,Freitag,February
Friday,2,8,438.5,Freitag,February
Friday,2,9,401.5,Freitag,February
Friday,2,10,467.25,Freitag,February
Friday,2,11,499.0,Freitag,February
Friday,2,12,484.25,Freitag,February
Friday,2,13,552.0,Freitag,February
Friday,2,14,565.5,Freitag,February
Friday,2,15,649.25,Freitag,February
Friday,2,16,752.25,Freitag,February
Friday,2,17,641.5,Freitag,February
Friday,2,18,561.25,Freitag,February
Friday,2,19,400.25,Freitag,February
Friday,2,20,318.75,Freitag,February
Friday,2,21,295.5,Freitag,February
Friday,2,22,292.25,Freitag,February
Friday,2,23,255.0,Freitag,February
Friday,3,0,110.5,Freitag,March
Friday,3,1,91.5,Freitag,March
Friday,3,2,62.25,Freitag,March
Friday,3,3,74.5,Freitag,March
Friday,3,4,87.75,Freitag,March
Friday,3,5,159.0,Freitag,March
Friday,3,6,370.25,Freitag,March
Friday,3,7,472.0,Freitag,March
Friday,3,8,467.75,Freitag,March
Friday,3,9,449.5,Freitag,March
Friday,3,10,473.0,Freitag,March
Friday,3,11,507.75,Freitag,March
Friday,3,12,508.75,Freitag,March
Friday,3,13,549.5,Freitag,March
Friday,3,14,574.75,Freitag,March
Friday,3,15,632.75,Freitag,March
Friday,3,16,732.75,Freitag,March
Friday,3,17,666.5,Freitag,March
Friday,3,18,570.5,Freitag,March
Friday,3,19,415.5,Freitag,March
Friday,3,20,400.0,Freitag,March
Friday,3,21,325.0,Freitag,March
Friday,3,22,330.75,Freitag,March
Friday,3,23,301.75,Freitag,March
Friday,4,0,116.25,Freitag,April
Friday,4,1,86.0,Freitag,April
Friday,4,2,64.75,Freitag,April
Friday,4,3,67.25,Freitag,April
Friday,4,4,79.0,Freitag,April
Friday,4,5,166.5,Freitag,April
Friday,4,6,359.25,Freitag,April
Friday,4,7,455.25,Freitag,April
Friday,4,8,463.75,Freitag,April
Friday,4,9,443.5,Freitag,April
Friday,4,10,486.75,Freitag,April
Friday,4,11,521.75,Freitag,April
Friday,4,12,525.25,Freitag,April
Friday,4,13,559.0,Freitag,April
Friday,4,14,609.5,Freitag,April
Friday,4,15,690.75,Freitag,April
Friday,4,16,783.25,Freitag,April
Friday,4,17,672.75,Freitag,April
Friday,4,18,551.25,Freitag,April
Friday,4,19,421.0,Freitag,April
Friday,4,20,352.75,Freitag,April
Friday,4,21,346.0,Freitag,April
Friday,4,22,347.75,Freitag,April
Friday,4,23,314.75,Freitag,April
Friday,5,0,121.2,Freitag,May
Friday,5,1,87.6,Freitag,May
Friday,5,2,64.2,Freitag,May
Friday,5,3,69.8,Freitag,May
Friday,5,4,95.0,Freitag,May
Friday,5,5,161.2,Freitag,May
Friday,5,6,340.4,Freitag,May
Friday,5,7,446.6,Freitag,May
Friday,5,8,443.2,Freitag,May
Friday,5,9,443.4,Freitag,May
Friday,5,10,486.0,Freitag,May
Friday,5,11,557.2,Freitag,May
Friday,5,12,556.2,Freitag,May
Friday,5,13,585.2,Freitag,May
Friday,5,14,616.8,Freitag,May
Friday,5,15,659.6,Freitag,May
Friday,5,16,746.4,Freitag,May
Friday,5,17,674.4,Freitag,May
Friday,5,18,566.0,Freitag,May
Friday,5,19,431.8,Freitag,May
Friday,5,20,361.6,Freitag,May
Friday,5,21,314.2,Freitag,May
Friday,5,22,344.0,Freitag,May
Friday,5,23,285.6,Freitag,May
Friday,6,0,134.5,Freitag,June
Friday,6,1,115.0,Freitag,June
Friday,6,2,75.75,Freitag,June
Friday,6,3,81.0,Freitag,June
Friday,6,4,93.5,Freitag,June
Friday,6,5,185.0,Freitag,June
Friday,6,6,360.5,Freitag,June
Friday,6,7,494.0,Freitag,June
Friday,6,8,480.75,Freitag,June
Friday,6,9,461.75,Freitag,June
Friday,6,10,525.75,Freitag,June
Friday,6,11,551.25,Freitag,June
Friday,6,12,551.5,Freitag,June
Friday,6,13,557.25,Freitag,June
Friday,6,14,633.25,Freitag,June
Friday,6,15,647.5,Freitag,June
Friday,6,16,784.5,Freitag,June
Friday,6,17,674.25,Freitag,June
Friday,6,18,552.5,Freitag,June
Friday,6,19,443.0,Freitag,June
Friday,6,20,376.25,Freitag,June
Friday,6,21,347.25,Freitag,June
Friday,6,22,347.0,Freitag,June
Friday,6,23,320.0,Freitag,June
Friday,7,0,143.33333333333334,Freitag,July
Friday,7,1,104.0,Freitag,July
Friday,7,2,76.0,Freitag,July
Friday,7,3,80.66666666666667,Freitag,July
Friday,7,4,100.0,Freitag,July
Friday,7,5,175.33333333333334,Freitag,July
Friday,7,6,375.0,Freitag,July
Friday,7,7,477.6666666666667,Freitag,July
Friday,7,8,441.3333333333333,Freitag,July
Friday,7,9,468.3333333333333,Freitag,July
Friday,7,10,522.0,Freitag,July
Friday,7,11,572.3333333333334,Freitag,July
Friday,7,12,537.3333333333334,Freitag,July
Friday,7,13,554.0,Freitag,July
