weekday,month,hour,vehicles,weekday_de,month_name
Friday,1,0,4.5,Freitag,January
Friday,1,1,1.5,Freitag,January
Friday,1,2,0.25,Freitag,January
Friday,1,3,2.25,Freitag,January
Friday,1,4,2.5,Freitag,January
Friday,1,5,4.0,Freitag,January
Friday,1,6,10.25,Freitag,January
Friday,1,7,30.25,Freitag,January
Friday,1,8,33.25,Freitag,January
Friday,1,9,39.5,Freitag,January
Friday,1,10,46.25,Freitag,January
Friday,1,11,47.25,Freitag,January
Friday,1,12,56.25,Freitag,January
Friday,1,13,55.5,Freitag,January
Friday,1,14,57.0,Freitag,January
Friday,1,15,47.5,Freitag,January
Friday,1,16,51.5,Freitag,January
Friday,1,17,47.75,Freitag,January
Friday,1,18,40.25,Freitag,January
Friday,1,19,29.5,Freitag,January
Friday,1,20,19.25,Freitag,January
Friday,1,21,13.5,Freitag,January
Friday,1,22,14.25,Freitag,January
Friday,1,23,14.0,Freitag,January
Friday,2,0,2.0,Freitag,February
Friday,2,1,3.75,Freitag,February
Friday,2,2,1.25,Freitag,February
Friday,2,3,1.25,Freitag,February
Friday,2,4,3.75,Freitag,February
Friday,2,5,6.5,Freitag,February
Friday,2,6,15.25,Freitag,February
Friday,2,7,33.0,Freitag,February
Friday,2,8,38.0,Freitag,February
Friday,2,9,47.25,Freitag,February
Friday,2,10,52.75,Freitag,February
Friday,2,11,59.5,Freitag,February
Friday,2,12,50.0,Freitag,February
Friday,2,13,52.5,Freitag,February
Friday,2,14,62.25,Freitag,February
Friday,2,15,54.25,Freitag,February
Friday,2,16,49.75,Freitag,February
Friday,2,17,45.75,Freitag,February
Friday,2,18,49.5,Freitag,February
Friday,2,19,30.75,Freitag,February
Friday,2,20,17.0,Freitag,February
Friday,2,21,14.75,Freitag,February
Friday,2,22,14.0,Freitag,February
Friday,2,23,12.0,Freitag,February
Friday,3,0,4.5,Freitag,March
Friday,3,1,3.0,Freitag,March
Friday,3,2,2.0,Freitag,March
Friday,3,3,2.75,Freitag,March
Friday,3,4,3.0,Freitag,March
Friday,3,5,4.5,Freitag,March
Friday,3,6,16.75,Freitag,March
Friday,3,7,33.25,Freitag,March
Friday,3,8,41.25,Freitag,March
Friday,3,9,56.5,Freitag,March
Friday,3,10,61.25,Freitag,March
Friday,3,11,63.5,Freitag,March
Friday,3,12,58.75,Freitag,March
Friday,3,13,61.75,Freitag,March
Friday,3,14,62.0,Freitag,March
Friday,3,15,62.0,Freitag,March
Friday,3,16,60.0,Freitag,March
Friday,3,17,56.0,Freitag,March
Friday,3,18,52.5,Freitag,March
Friday,3,19,35.0,Freitag,March
Friday,3,20,27.25,Freitag,March
Friday,3,21,21.75,Freitag,March
