weekday,month,hour,vehicles,weekday_de,month_name
Friday,1,0,10.0,Freitag,January
Friday,1,1,4.75,Freitag,January
Friday,1,2,3.25,Freitag,January
Friday,1,3,3.25,Freitag,January
Friday,1,4,5.0,Freitag,January
Friday,1,5,37.75,Freitag,January
Friday,1,6,167.25,Freitag,January
Friday,1,7,241.0,Freitag,January
Friday,1,8,254.25,Freitag,January
Friday,1,9,207.0,Freitag,January
Friday,1,10,180.75,Freitag,January
Friday,1,11,199.25,Freitag,January
Friday,1,12,171.5,Freitag,January
Friday,1,13,204.5,Freitag,January
Friday,1,14,196.5,Freitag,January
Friday,1,15,219.5,Freitag,January
Friday,1,16,234.0,Freitag,January
Friday,1,17,254.5,Freitag,January
Friday,1,18,247.0,Freitag,January
Friday,1,19,140.75,Freitag,January
Friday,1,20,58.75,Freitag,January
Friday,1,21,43.75,Freitag,January
Friday,1,22,42.0,Freitag,January
Friday,1,23,27.75,Freitag,January
Friday,2,0,9.5,Freitag,February
Friday,2,1,4.75,Freitag,February
Friday,2,2,3.5,Freitag,February
Friday,2,3,6.0,Freitag,February
Friday,2,4,7.25,Freitag,February
Friday,2,5,38.5,Freitag,February
Friday,2,6,193.5,Freitag,February
Friday,2,7,271.5,Freitag,February
Friday,2,8,254.0,Freitag,February
Friday,2,9,215.75,Freitag,February
Friday,2,10,204.75,Freitag,February
Friday,2,11,195.25,Freitag,February
Friday,2,12,192.25,Freitag,February
Friday,2,13,218.0,Freitag,February
Friday,2,14,217.0,Freitag,February
Friday,2,15,246.25,Freitag,February
Friday,2,16,254.0,Freitag,February
Friday,2,17,265.25,Freitag,February
Friday,2,18,246.0,Freitag,February
Friday,2,19,156.5,Freitag,February
Friday,2,20,66.25,Freitag,February
Friday,2,21,45.5,Freitag,February
Friday,2,22,39.75,Freitag,February
Friday,2,23,32.25,Freitag,February
Friday,3,0,13.0,Freitag,March
Friday,3,1,5.0,Freitag,March
Friday,3,2,4.0,Freitag,March
Friday,3,3,2.5,Freitag,March
Friday,3,4,6.75,Freitag,March
Friday,3,5,51.75,Freitag,March
Friday,3,6,207.0,Freitag,March
Friday,3,7,275.5,Freitag,March
Friday,3,8,281.25,Freitag,March
Friday,3,9,231.25,Freitag,March
Friday,3,10,224.25,Freitag,March
Friday,3,11,235.25,Freitag,March
Friday,3,12,230.75,Freitag,March
Friday,3,13,227.5,Freitag,March
Friday,3,14,220.75,Freitag,March
Friday,3,15,241.0,Freitag,March
Friday,3,16,265.0,Freitag,March
Friday,3,17,279.75,Freitag,March
Friday,3,18,258.75,Freitag,March
Friday,3,19,167.0,Freitag,March
Friday,3,20,73.25,Freitag,March
Friday,3,21,50.0,Freitag,March
Friday,3,22,53.5,Freitag,March
Friday,3,23,41.25,Freitag,March
Friday,4,0,9.75,Freitag,April
Friday,4,1,6.25,Freitag,April
Friday,4,2,3.5,Freitag,April
Friday,4,3,2.5,Freitag,April
Friday,4,4,6.0,Freitag,April
Friday,4,5,50.75,Freitag,April
Friday,4,6,212.0,Freitag,April
Friday,4,7,281.25,Freitag,April
Friday,4,8,272.0,Freitag,April
Friday,4,9,239.5,Freitag,April
Friday,4,10,240.75,Freitag,April
Friday,4,11,245.0,Freitag,April
Friday,4,12,228.75,Freitag,April
Friday,4,13,239.75,Freitag,April
Friday,4,14,222.0,Freitag,April
Friday,4,15,259.25,Freitag,April
Friday,4,16,270.5,Freitag,April
Friday,4,17,274.75,Freitag,April
Friday,4,18,249.25,Freitag,April
Friday,4,19,166.0,Freitag,April
Friday,4,20,83.0,Freitag,April
Friday,4,21,57.25,Freitag,April
Friday,4,22,48.25,Freitag,April
Friday,4,23,33.75,Freitag,April
Friday,5,0,10.0,Freitag,May
Friday,5,1,4.4,Freitag,May
Friday,5,2,2.8,Freitag,May
Friday,5,3,3.4,Freitag,May
Friday,5,4,6.0,Freitag,May
Friday,5,5,44.0,Freitag,May
Friday,5,6,200.0,Freitag,May
Friday,5,7,232.2,Freitag,May
Friday,5,8,253.2,Freitag,May
Friday,5,9,207.6,Freitag,May
Friday,5,10,231.8,Freitag,May
Friday,5,11,229.4,Freitag,May
Friday,5,12,216.0,Freitag,May
Friday,5,13,233.4,Freitag,May
Friday,5,14,216.2,Freitag,May
Friday,5,15,255.8,Freitag,May
Friday,5,16,249.4,Freitag,May
Friday,5,17,265.6,Freitag,May
Friday,5,18,246.8,Freitag,May
Friday,5,19,145.6,Freitag,May
Friday,5,20,82.2,Freitag,May
Friday,5,21,63.0,Freitag,May
Friday,5,22,50.4,Freitag,May
Friday,5,23,33.8,Freitag,May
Friday,6,0,14.75,Freitag,June
Friday,6,1,8.25,Freitag,June
Friday,6,2,5.75,Freitag,June
Friday,6,3,5.0,Freitag,June
Friday,6,4,8.75,Freitag,June
Friday,6,5,55.0,Freitag,June
Friday,6,6,220.75,Freitag,June
Friday,6,7,250.0,Freitag,June
Friday,6,8,271.25,Freitag,June
Friday,6,9,213.0,Freitag,June
Friday,6,10,233.5,Freitag,June
Friday,6,11,223.75,Freitag,June
Friday,6,12,209.5,Freitag,June
Friday,6,13,240.0,Freitag,June
Friday,6,14,227.25,Freitag,June
Friday,6,15,251.25,Freitag,June
Friday,6,16,250.25,Freitag,June
Friday,6,17,258.25,Freitag,June
Friday,6,18,241.0,Freitag,June
Friday,6,19,157.5,Freitag,June
Friday,6,20,89.75,Freitag,June
Friday,6,21,68.75,Freitag,June
Friday,6,22,54.0,Freitag,June
Friday,6,23,48.5,Freitag,June
Friday,7,0,13.333333333333334,Freitag,July
Friday,7,1,6.0,Freitag,July
Friday,7,2,5.666666666666667,Freitag,July
Friday,7,3,4.333333333333333,Freitag,July
Friday,7,4,4.666666666666667,Freitag,July
Friday,7,5,49.0,Freitag,July
Friday,7,6,195.0,Freitag,July
Friday,7,7,237.66666666666666,Freitag,July
Friday,7,8,229.0,Freitag,July
Friday,7,9,203.66666666666666,Freitag,July
Friday,7,10,225.0,Freitag,July
Friday,7,11,219.66666666666666,Freitag,July
Friday,7,12,195.0,Freitag,July
Friday,7,13,190.33333333333334,Freitag,July
Friday,7,14,209.0,Freitag,July
Friday,7,15,230.33333333333334,Freitag,July
Friday,7,16,253.0,Freitag,July
Friday,7,17,270.6666666666667,Freitag,July
Friday,7,18,202.66666666666666,Freitag,July
Friday,7,19,135.66666666666666,Freitag,July
Friday,7,20,71.66666666666667,Freitag,July
Friday,7,21,54.0,Freitag,July
Friday,7,22,49.0,Freitag,July
Friday,7,23,38.0,Freitag,July
Friday,8,0,19.0,Freitag,August
Friday,8,1,8.2,Freitag,August
Friday,8,2,6.4,Freitag,August
Friday,8,3,3.6,Freitag,August
Friday,8,4,6.6,Freitag,August
Friday,8,5,48.4,Freitag,August
Friday,8,6,175.2,Freitag,August
Friday,8,7,217.8,Freitag,August
Friday,8,8,226.4,Freitag,August
Friday,8,9,205.6,Freitag,August
Friday,8,10,199.2,Freitag,August
Friday,8,11,220.6,Freitag,August
Friday,8,12,200.8,Freitag,August
Friday,8,13,211.4,Freitag,August
Friday,8,14,202.0,Freitag,August
Friday,8,15,236.8,Freitag,August
Friday,8,16,239.8,Freitag,August
Friday,8,17,248.8,Freitag,August
Friday,8,18,225.0,Freitag,August
Friday,8,19,160.0,Freitag,August
Friday,8,20,101.0,Freitag,August
Friday,8,21,71.6,Freitag,August
Friday,8,22,57.2,Freitag,August
Friday,8,23,39.0,Freitag,August
Friday,9,0,11.25,Freitag,September
Friday,9,1,4.75,Freitag,September
Friday,9,2,5.0,Freitag,September
Friday,9,3,1.5,Freitag,September
Friday,9,4,6.75,Freitag,September
Friday,9,5,48.75,Freitag,September
Friday,9,6,184.75,Freitag,September
Friday,9,7,267.5,Freitag,September
Friday,9,8,273.0,Freitag,September
Friday,9,9,222.75,Freitag,September
Friday,9,10,211.5,Freitag,September
Friday,9,11,223.5,Freitag,September
Friday,9,12,198.0,Freitag,September
Friday,9,13,229.25,Freitag,September
Friday,9,14,224.0,Freitag,September
Friday,9,15,257.75,Freitag,September
Friday,9,16,251.0,Freitag,September
Friday,9,17,263.5,Freitag,September
Friday,9,18,252.5,Freitag,September
Friday,9,19,168.5,Freitag,September
Friday,9,20,98.5,Freitag,September
Friday,9,21,57.75,Freitag,September
Friday,9,22,48.25,Freitag,September
Friday,9,23,40.5,Freitag,September
Friday,10,0,9.25,Freitag,October
Friday,10,1,9.5,Freitag,October
Friday,10,2,3.5,Freitag,October
Friday,10,3,4.5,Freitag,October
Friday,10,4,6.5,Freitag,October
Friday,10,5,45.5,Freitag,October
Friday,10,6,227.0,Freitag,October
Friday,10,7,248.0,Freitag,October
Friday,10,8,258.5,Freitag,October
Friday,10,9,216.25,Freitag,October
Friday,10,10,236.0,Freitag,October
Friday,10,11,236.25,Freitag,October
Friday,10,12,206.5,Freitag,October
Friday,10,13,244.0,Freitag,October
Friday,10,14,222.0,Freitag,October
Friday,10,15,256.0,Freitag,October
Friday,10,16,251.5,Freitag,October
Friday,10,17,267.25,Freitag,October
Friday,10,18,246.75,Freitag,October
Friday,10,19,165.0,Freitag,October
Friday,10,20,89.5,Freitag,October
Friday,10,21,48.0,Freitag,October
Friday,10,22,44.0,Freitag,October
Friday,10,23,32.5,Freitag,October
Friday,11,0,16.4,Freitag,November
Friday,11,1,7.4,Freitag,November
Friday,11,2,5.0,Freitag,November
Friday,11,3,4.4,Freitag,November
Friday,11,4,5.8,Freitag,November
Friday,11,5,52.2,Freitag,November
Friday,11,6,216.6,Freitag,November
Friday,11,7,257.4,Freitag,November
Friday,11,8,257.4,Freitag,November
Friday,11,9,227.8,Freitag,November
Friday,11,10,228.4,Freitag,November
Friday,11,11,229.8,Freitag,November
Friday,11,12,239.0,Freitag,November
Friday,11,13,245.8,Freitag,November
Friday,11,14,248.4,Freitag,November
Friday,11,15,256.2,Freitag,November
Friday,11,16,264.4,Freitag,November
Friday,11,17,276.4,Freitag,November
Friday,11,18,264.8,Freitag,November
