weekday,month,hour,vehicles,weekday_de,month_name
Friday,1,0,51.5,Freitag,January
Friday,1,1,30.25,Freitag,January
Friday,1,2,26.5,Freitag,January
Friday,1,3,21.75,Freitag,January
Friday,1,4,42.25,Freitag,January
Friday,1,5,105.0,Freitag,January
Friday,1,6,301.25,Freitag,January
Friday,1,7,363.5,Freitag,January
Friday,1,8,357.75,Freitag,January
Friday,1,9,335.5,Freitag,January
Friday,1,10,342.25,Freitag,January
Friday,1,11,339.25,Freitag,January
Friday,1,12,308.75,Freitag,January
Friday,1,13,359.75,Freitag,January
Friday,1,14,352.5,Freitag,January
Friday,1,15,353.75,Freitag,January
Friday,1,16,347.5,Freitag,January
Friday,1,17,347.75,Freitag,January
Friday,1,18,352.75,Freitag,January
Friday,1,19,278.5,Freitag,January
Friday,1,20,233.25,Freitag,January
Friday,1,21,194.25,Freitag,January
Friday,1,22,166.75,Freitag,January
Friday,1,23,125.0,Freitag,January
Friday,2,0,44.0,Freitag,February
Friday,2,1,38.25,Freitag,February
Friday,2,2,29.25,Freitag,February
Friday,2,3,22.25,Freitag,February
Friday,2,4,41.5,Freitag,February
Friday,2,5,115.5,Freitag,February
Friday,2,6,346.75,Freitag,February
Friday,2,7,407.0,Freitag,February
Friday,2,8,366.75,Freitag,February
Friday,2,9,349.0,Freitag,February
Friday,2,10,351.75,Freitag,February
Friday,2,11,339.5,Freitag,February
Friday,2,12,321.5,Freitag,February
Friday,2,13,390.25,Freitag,February
Friday,2,14,352.75,Freitag,February
Friday,2,15,349.5,Freitag,February
Friday,2,16,342.75,Freitag,February
Friday,2,17,353.5,Freitag,February
Friday,2,18,355.25,Freitag,February
Friday,2,19,283.0,Freitag,February
Friday,2,20,218.0,Freitag,February
Friday,2,21,177.5,Freitag,February
Friday,2,22,173.5,Freitag,February
Friday,2,23,134.0,Freitag,February
Friday,3,0,51.75,Freitag,March
Friday,3,1,33.75,Freitag,March
Friday,3,2,26.25,Freitag,March
Friday,3,3,23.5,Freitag,March
Friday,3,4,42.5,Freitag,March
Friday,3,5,130.0,Freitag,March
Friday,3,6,372.0,Freitag,March
Friday,3,7,456.0,Freitag,March
Friday,3,8,435.75,Freitag,March
Friday,3,9,363.0,Freitag,March
Friday,3,10,362.75,Freitag,March
Friday,3,11,360.0,Freitag,March
Friday,3,12,337.25,Freitag,March
Friday,3,13,387.75,Freitag,March
Friday,3,14,364.5,Freitag,March
Friday,3,15,366.75,Freitag,March
Friday,3,16,369.5,Freitag,March
Friday,3,17,375.0,Freitag,March
Friday,3,18,365.5,Freitag,March
Friday,3,19,338.75,Freitag,March
Friday,3,20,219.25,Freitag,March
Friday,3,21,199.5,Freitag,March
Friday,3,22,173.5,Freitag,March
Friday,3,23,148.0,Freitag,March
Friday,4,0,44.5,Freitag,April
Friday,4,1,37.75,Freitag,April
Friday,4,2,19.75,Freitag,April
Friday,4,3,24.0,Freitag,April
Friday,4,4,41.0,Freitag,April
Friday,4,5,131.0,Freitag,April
Friday,4,6,346.5,Freitag,April
Friday,4,7,419.25,Freitag,April
Friday,4,8,409.25,Freitag,April
Friday,4,9,357.0,Freitag,April
Friday,4,10,341.75,Freitag,April
Friday,4,11,334.25,Freitag,April
Friday,4,12,337.5,Freitag,April
Friday,4,13,359.0,Freitag,April
Friday,4,14,378.75,Freitag,April
Friday,4,15,360.75,Freitag,April
Friday,4,16,357.0,Freitag,April
Friday,4,17,370.0,Freitag,April
Friday,4,18,337.25,Freitag,April
Friday,4,19,323.75,Freitag,April
Friday,4,20,217.5,Freitag,April
Friday,4,21,205.25,Freitag,April
Friday,4,22,168.5,Freitag,April
Friday,4,23,128.75,Freitag,April
Friday,5,0,56.0,Freitag,May
Friday,5,1,31.2,Freitag,May
Friday,5,2,22.4,Freitag,May
Friday,5,3,22.8,Freitag,May
Friday,5,4,41.0,Freitag,May
Friday,5,5,121.6,Freitag,May
Friday,5,6,296.6,Freitag,May
Friday,5,7,336.0,Freitag,May
Friday,5,8,322.8,Freitag,May
Friday,5,9,315.2,Freitag,May
Friday,5,10,318.6,Freitag,May
Friday,5,11,329.4,Freitag,May
Friday,5,12,304.2,Freitag,May
Friday,5,13,328.8,Freitag,May
Friday,5,14,315.6,Freitag,May
Friday,5,15,285.4,Freitag,May
Friday,5,16,277.6,Freitag,May
Friday,5,17,295.8,Freitag,May
Friday,5,18,275.6,Freitag,May
Friday,5,19,252.0,Freitag,May
Friday,5,20,214.0,Freitag,May
Friday,5,21,185.0,Freitag,May
Friday,5,22,164.2,Freitag,May
Friday,5,23,130.4,Freitag,May
