weekday,month,hour,vehicles,weekday_de,month_name
Friday,1,0,29.25,Freitag,January
Friday,1,1,13.25,Freitag,January
Friday,1,2,11.0,Freitag,January
Friday,1,3,12.75,Freitag,January
Friday,1,4,19.25,Freitag,January
Friday,1,5,74.25,Freitag,January
Friday,1,6,208.0,Freitag,January
Friday,1,7,233.25,Freitag,January
Friday,1,8,237.75,Freitag,January
Friday,1,9,227.5,Freitag,January
Friday,1,10,243.0,Freitag,January
Friday,1,11,271.25,Freitag,January
Friday,1,12,243.0,Freitag,January
Friday,1,13,266.0,Freitag,January
Friday,1,14,256.75,Freitag,January
Friday,1,15,277.0,Freitag,January
Friday,1,16,268.5,Freitag,January
Friday,1,17,271.25,Freitag,January
Friday,1,18,262.5,Freitag,January
Friday,1,19,207.25,Freitag,January
Friday,1,20,167.25,Freitag,January
Friday,1,21,127.25,Freitag,January
Friday,1,22,128.75,Freitag,January
Friday,1,23,102.0,Freitag,January
Friday,2,0,30.5,Freitag,February
Friday,2,1,18.0,Freitag,February
Friday,2,2,14.0,Freitag,February
Friday,2,3,9.5,Freitag,February
Friday,2,4,18.75,Freitag,February
Friday,2,5,85.0,Freitag,February
Friday,2,6,216.25,Freitag,February
Friday,2,7,248.5,Freitag,February
Friday,2,8,231.75,Freitag,February
Friday,2,9,232.0,Freitag,February
Friday,2,10,240.5,Freitag,February
Friday,2,11,257.5,Freitag,February
Friday,2,12,255.25,Freitag,February
Friday,2,13,281.5,Freitag,February
Friday,2,14,261.75,Freitag,February
Friday,2,15,272.0,Freitag,February
Friday,2,16,279.0,Freitag,February
Friday,2,17,273.5,Freitag,February
Friday,2,18,266.0,Freitag,February
Friday,2,19,206.0,Freitag,February
Friday,2,20,177.5,Freitag,February
Friday,2,21,129.75,Freitag,February
Friday,2,22,110.0,Freitag,February
Friday,2,23,109.25,Freitag,February
Friday,3,0,31.25,Freitag,March
Friday,3,1,18.0,Freitag,March
Friday,3,2,15.0,Freitag,March
Friday,3,3,11.75,Freitag,March
Friday,3,4,21.25,Freitag,March
Friday,3,5,84.5,Freitag,March
Friday,3,6,225.0,Freitag,March
Friday,3,7,269.0,Freitag,March
Friday,3,8,260.75,Freitag,March
Friday,3,9,236.25,Freitag,March
Friday,3,10,257.0,Freitag,March
Friday,3,11,271.5,Freitag,March
Friday,3,12,249.5,Freitag,March
Friday,3,13,271.75,Freitag,March
Friday,3,14,277.0,Freitag,March
Friday,3,15,280.25,Freitag,March
Friday,3,16,291.0,Freitag,March
Friday,3,17,280.25,Freitag,March
Friday,3,18,266.75,Freitag,March
Friday,3,19,232.25,Freitag,March
Friday,3,20,208.5,Freitag,March
Friday,3,21,146.25,Freitag,March
Friday,3,22,134.25,Freitag,March
Friday,3,23,98.25,Freitag,March
Friday,4,0,26.75,Freitag,April
Friday,4,1,18.75,Freitag,April
Friday,4,2,9.0,Freitag,April
Friday,4,3,15.5,Freitag,April
Friday,4,4,25.0,Freitag,April
Friday,4,5,85.75,Freitag,April
Friday,4,6,216.25,Freitag,April
Friday,4,7,256.0,Freitag,April
Friday,4,8,258.0,Freitag,April
Friday,4,9,244.25,Freitag,April
Friday,4,10,261.0,Freitag,April
Friday,4,11,237.5,Freitag,April
Friday,4,12,251.75,Freitag,April
Friday,4,13,251.0,Freitag,April
Friday,4,14,280.5,Freitag,April
Friday,4,15,261.5,Freitag,April
Friday,4,16,270.25,Freitag,April
Friday,4,17,249.25,Freitag,April
Friday,4,18,245.75,Freitag,April
Friday,4,19,223.25,Freitag,April
Friday,4,20,168.5,Freitag,April
Friday,4,21,153.0,Freitag,April
Friday,4,22,115.0,Freitag,April
Friday,4,23,93.0,Freitag,April
Friday,5,0,34.8,Freitag,May
Friday,5,1,23.8,Freitag,May
Friday,5,2,18.0,Freitag,May
Friday,5,3,14.8,Freitag,May
Friday,5,4,29.2,Freitag,May
Friday,5,5,86.0,Freitag,May
Friday,5,6,201.2,Freitag,May
Friday,5,7,229.0,Freitag,May
Friday,5,8,214.2,Freitag,May
Friday,5,9,231.4,Freitag,May
Friday,5,10,249.6,Freitag,May
Friday,5,11,275.6,Freitag,May
Friday,5,12,251.6,Freitag,May
Friday,5,13,260.8,Freitag,May
Friday,5,14,268.0,Freitag,May
Friday,5,15,258.4,Freitag,May
Friday,5,16,241.8,Freitag,May
Friday,5,17,253.6,Freitag,May
Friday,5,18,237.2,Freitag,May
Friday,5,19,210.6,Freitag,May
Friday,5,20,171.2,Freitag,May
Friday,5,21,140.0,Freitag,May
Friday,5,22,119.4,Freitag,May
Friday,5,23,95.2,Freitag,May
Friday,6,0,39.75,Freitag,June
Friday,6,1,22.5,Freitag,June
Friday,6,2,19.25,Freitag,June
Friday,6,3,19.0,Freitag,June
Friday,6,4,30.75,Freitag,June
Friday,6,5,99.25,Freitag,June
Friday,6,6,238.5,Freitag,June
Friday,6,7,255.25,Freitag,June
Friday,6,8,249.0,Freitag,June
Friday,6,9,261.0,Freitag,June
Friday,6,10,264.0,Freitag,June
Friday,6,11,274.5,Freitag,June
Friday,6,12,274.5,Freitag,June
Friday,6,13,271.5,Freitag,June
Friday,6,14,278.75,Freitag,June
Friday,6,15,279.5,Freitag,June
Friday,6,16,263.75,Freitag,June
Friday,6,17,255.75,Freitag,June
Friday,6,18,249.0,Freitag,June
Friday,6,19,221.5,Freitag,June
Friday,6,20,147.25,Freitag,June
Friday,6,21,112.75,Freitag,June
Friday,6,22,108.5,Freitag,June
Friday,6,23,85.0,Freitag,June
Friday,7,0,42.333333333333336,Freitag,July
Friday,7,1,21.333333333333332,Freitag,July
Friday,7,2,16.666666666666668,Freitag,July
Friday,7,3,18.0,Freitag,July
Friday,7,4,28.666666666666668,Freitag,July
Friday,7,5,89.33333333333333,Freitag,July
Friday,7,6,231.66666666666666,Freitag,July
