weekday,month,hour,vehicles,weekday_de,month_name
Friday,1,0,19.25,Freitag,January
Friday,1,1,16.75,Freitag,January
Friday,1,2,13.0,Freitag,January
Friday,1,3,11.75,Freitag,January
Friday,1,4,8.75,Freitag,January
Friday,1,5,20.25,Freitag,January
Friday,1,6,67.0,Freitag,January
Friday,1,7,130.0,Freitag,January
Friday,1,8,150.75,Freitag,January
Friday,1,9,119.25,Freitag,January
Friday,1,10,124.0,Freitag,January
Friday,1,11,123.75,Freitag,January
Friday,1,12,105.25,Freitag,January
Friday,1,13,139.75,Freitag,January
Friday,1,14,121.0,Freitag,January
Friday,1,15,136.25,Freitag,January
Friday,1,16,130.75,Freitag,January
Friday,1,17,157.75,Freitag,January
Friday,1,18,154.25,Freitag,January
Friday,1,19,119.75,Freitag,January
Friday,1,20,93.0,Freitag,January
Friday,1,21,74.0,Freitag,January
Friday,1,22,83.0,Freitag,January
Friday,1,23,57.25,Freitag,January
Friday,2,0,24.75,Freitag,February
Friday,2,1,18.0,Freitag,February
Friday,2,2,13.5,Freitag,February
Friday,2,3,8.0,Freitag,February
Friday,2,4,13.0,Freitag,February
Friday,2,5,23.75,Freitag,February
Friday,2,6,71.5,Freitag,February
Friday,2,7,141.25,Freitag,February
Friday,2,8,164.75,Freitag,February
Friday,2,9,125.75,Freitag,February
Friday,2,10,138.25,Freitag,February
Friday,2,11,126.5,Freitag,February
Friday,2,12,120.5,Freitag,February
Friday,2,13,132.0,Freitag,February
Friday,2,14,121.25,Freitag,February
Friday,2,15,131.25,Freitag,February
Friday,2,16,139.25,Freitag,February
Friday,2,17,155.5,Freitag,February
Friday,2,18,145.0,Freitag,February
Friday,2,19,121.25,Freitag,February
Friday,2,20,103.75,Freitag,February
Friday,2,21,83.75,Freitag,February
Friday,2,22,81.5,Freitag,February
Friday,2,23,62.25,Freitag,February
Friday,3,0,19.0,Freitag,March
Friday,3,1,15.25,Freitag,March
Friday,3,2,12.5,Freitag,March
Friday,3,3,10.25,Freitag,March
Friday,3,4,15.25,Freitag,March
Friday,3,5,22.25,Freitag,March
Friday,3,6,87.75,Freitag,March
Friday,3,7,141.75,Freitag,March
Friday,3,8,176.75,Freitag,March
Friday,3,9,137.5,Freitag,March
Friday,3,10,122.5,Freitag,March
Friday,3,11,130.75,Freitag,March
Friday,3,12,115.25,Freitag,March
Friday,3,13,128.5,Freitag,March
Friday,3,14,115.5,Freitag,March
Friday,3,15,128.25,Freitag,March
Friday,3,16,136.25,Freitag,March
Friday,3,17,159.75,Freitag,March
Friday,3,18,150.5,Freitag,March
Friday,3,19,118.5,Freitag,March
Friday,3,20,121.75,Freitag,March
Friday,3,21,85.5,Freitag,March
Friday,3,22,83.75,Freitag,March
Friday,3,23,75.5,Freitag,March
Friday,4,0,20.0,Freitag,April
Friday,4,1,15.25,Freitag,April
Friday,4,2,12.25,Freitag,April
Friday,4,3,8.5,Freitag,April
Friday,4,4,11.5,Freitag,April
Friday,4,5,22.75,Freitag,April
Friday,4,6,88.0,Freitag,April
Friday,4,7,144.75,Freitag,April
Friday,4,8,155.0,Freitag,April
Friday,4,9,132.25,Freitag,April
Friday,4,10,113.25,Freitag,April
Friday,4,11,126.25,Freitag,April
Friday,4,12,110.75,Freitag,April
Friday,4,13,104.75,Freitag,April
Friday,4,14,112.75,Freitag,April
Friday,4,15,119.75,Freitag,April
Friday,4,16,145.25,Freitag,April
Friday,4,17,148.0,Freitag,April
Friday,4,18,144.75,Freitag,April
Friday,4,19,123.0,Freitag,April
Friday,4,20,101.75,Freitag,April
Friday,4,21,96.25,Freitag,April
Friday,4,22,78.0,Freitag,April
Friday,4,23,61.0,Freitag,April
Friday,5,0,22.0,Freitag,May
Friday,5,1,13.4,Freitag,May
Friday,5,2,11.8,Freitag,May
Friday,5,3,9.2,Freitag,May
Friday,5,4,11.2,Freitag,May
Friday,5,5,24.4,Freitag,May
Friday,5,6,81.0,Freitag,May
Friday,5,7,131.0,Freitag,May
Friday,5,8,153.0,Freitag,May
Friday,5,9,112.2,Freitag,May
Friday,5,10,117.2,Freitag,May
Friday,5,11,113.0,Freitag,May
Friday,5,12,105.0,Freitag,May
Friday,5,13,103.2,Freitag,May
Friday,5,14,115.2,Freitag,May
Friday,5,15,132.8,Freitag,May
Friday,5,16,143.4,Freitag,May
Friday,5,17,139.0,Freitag,May
Friday,5,18,131.0,Freitag,May
Friday,5,19,97.6,Freitag,May
Friday,5,20,88.6,Freitag,May
Friday,5,21,79.2,Freitag,May
Friday,5,22,61.8,Freitag,May
Friday,5,23,58.2,Freitag,May
Friday,6,0,22.0,Freitag,June
Friday,6,1,20.5,Freitag,June
Friday,6,2,9.0,Freitag,June
Friday,6,3,9.25,Freitag,June
Friday,6,4,11.0,Freitag,June
Friday,6,5,19.75,Freitag,June
Friday,6,6,80.0,Freitag,June
Friday,6,7,110.75,Freitag,June
Friday,6,8,127.0,Freitag,June
Friday,6,9,99.25,Freitag,June
Friday,6,10,99.0,Freitag,June
Friday,6,11,90.25,Freitag,June
Friday,6,12,88.5,Freitag,June
Friday,6,13,92.0,Freitag,June
Friday,6,14,98.0,Freitag,June
Friday,6,15,102.0,Freitag,June
Friday,6,16,125.75,Freitag,June
Friday,6,17,128.25,Freitag,June
Friday,6,18,115.0,Freitag,June
Friday,6,19,107.75,Freitag,June
Friday,6,20,84.25,Freitag,June
Friday,6,21,70.75,Freitag,June
Friday,6,22,53.0,Freitag,June
Friday,6,23,58.25,Freitag,June
Friday,7,0,23.0,Freitag,July
Friday,7,1,14.666666666666666,Freitag,July
Friday,7,2,11.0,Freitag,July
Friday,7,3,6.666666666666667,Freitag,July
Friday,7,4,8.666666666666666,Freitag,July
Friday,7,5,17.333333333333332,Freitag,July
Friday,7,6,63.0,Freitag,July
Friday,7,7,94.66666666666667,Freitag,July
Friday,7,8,99.33333333333333,Freitag,July
Friday,7,9,93.0,Freitag,July
Friday,7,10,97.33333333333333,Freitag,July
Friday,7,11,93.0,Freitag,July
Friday,7,12,78.66666666666667,Freitag,July
Friday,7,13,85.0,Freitag,July
Friday,7,14,92.0,Freitag,July
Friday,7,15,109.0,Freitag,July
Friday,7,16,114.5,Freitag,July
Friday,7,17,104.0,Freitag,July
Friday,7,18,100.0,Freitag,July
Friday,7,19,87.66666666666667,Freitag,July
Friday,7,20,70.0,Freitag,July
Friday,7,21,57.0,Freitag,July
Friday,7,22,54.333333333333336,Freitag,July
Friday,7,23,37.666666666666664,Freitag,July
Friday,8,0,18.6,Freitag,August
Friday,8,1,20.6,Freitag,August
Friday,8,2,14.2,Freitag,August
Friday,8,3,7.6,Freitag,August
Friday,8,4,9.4,Freitag,August
Friday,8,5,13.6,Freitag,August
Friday,8,6,64.6,Freitag,August
Friday,8,7,103.4,Freitag,August
Friday,8,8,100.4,Freitag,August
Friday,8,9,92.0,Freitag,August
Friday,8,10,83.8,Freitag,August
Friday,8,11,96.8,Freitag,August
Friday,8,12,85.6,Freitag,August
Friday,8,13,91.0,Freitag,August
Friday,8,14,95.8,Freitag,August
Friday,8,15,105.2,Freitag,August
Friday,8,16,112.4,Freitag,August
Friday,8,17,113.2,Freitag,August
Friday,8,18,109.4,Freitag,August
Friday,8,19,71.8,Freitag,August
Friday,8,20,64.6,Freitag,August
Friday,8,21,59.4,Freitag,August
Friday,8,22,58.2,Freitag,August
Friday,8,23,52.4,Freitag,August
Friday,9,0,16.0,Freitag,September
Friday,9,1,13.75,Freitag,September
Friday,9,2,10.75,Freitag,September
Friday,9,3,9.5,Freitag,September
Friday,9,4,11.5,Freitag,September
Friday,9,5,19.0,Freitag,September
Friday,9,6,76.25,Freitag,September
Friday,9,7,123.0,Freitag,September
Friday,9,8,127.75,Freitag,September
Friday,9,9,106.25,Freitag,September
Friday,9,10,102.75,Freitag,September
Friday,9,11,116.25,Freitag,September
Friday,9,12,88.0,Freitag,September
Friday,9,13,92.75,Freitag,September
Friday,9,14,103.5,Freitag,September
Friday,9,15,116.0,Freitag,September
Friday,9,16,134.75,Freitag,September
Friday,9,17,127.0,Freitag,September
Friday,9,18,113.5,Freitag,September
Friday,9,19,94.25,Freitag,September
Friday,9,20,82.5,Freitag,September
Friday,9,21,74.0,Freitag,September
Friday,9,22,70.75,Freitag,September
Friday,9,23,49.75,Freitag,September
Friday,10,0,21.25,Freitag,October
Friday,10,1,17.5,Freitag,October
Friday,10,2,15.0,Freitag,October
Friday,10,3,8.5,Freitag,October
Friday,10,4,8.75,Freitag,October
Friday,10,5,18.5,Freitag,October
Friday,10,6,73.0,Freitag,October
Friday,10,7,130.5,Freitag,October
Friday,10,8,131.5,Freitag,October
Friday,10,9,108.0,Freitag,October
Friday,10,10,100.0,Freitag,October
Friday,10,11,106.5,Freitag,October
Friday,10,12,107.0,Freitag,October
Friday,10,13,106.5,Freitag,October
Friday,10,14,107.5,Freitag,October
Friday,10,15,113.75,Freitag,October
Friday,10,16,126.75,Freitag,October
Friday,10,17,140.25,Freitag,October
Friday,10,18,139.0,Freitag,October
Friday,10,19,105.0,Freitag,October
Friday,10,20,87.5,Freitag,October
Friday,10,21,81.5,Freitag,October
Friday,10,22,63.25,Freitag,October
Friday,10,23,53.75,Freitag,October
Friday,11,0,22.6,Freitag,November
Friday,11,1,22.0,Freitag,November
Friday,11,2,12.0,Freitag,November
Friday,11,3,13.4,Freitag,November
Friday,11,4,10.4,Freitag,November
Friday,11,5,22.4,Freitag,November
Friday,11,6,76.0,Freitag,November
Friday,11,7,141.0,Freitag,November
Friday,11,8,138.4,Freitag,November
Friday,11,9,110.0,Freitag,November
Friday,11,10,121.4,Freitag,November
Friday,11,11,104.4,Freitag,November
Friday,11,12,99.2,Freitag,November
Friday,11,13,106.6,Freitag,November
Friday,11,14,126.0,Freitag,November
Friday,11,15,127.4,Freitag,November
Friday,11,16,146.4,Freitag,November
Friday,11,17,134.6,Freitag,November
Friday,11,18,124.4,Freitag,November
Friday,11,19,92.0,Freitag,November
Friday,11,20,90.4,Freitag,November
Friday,11,21,66.4,Freitag,November
Friday,11,22,64.6,Freitag,November
Friday,11,23,62.8,Freitag,November
Friday,12,0,18.0,Freitag,December
Friday,12,1,20.75,Freitag,December
Friday,12,2,18.75,Freitag,December
Friday,12,3,16.25,Freitag,December
Friday,12,4,15.75,Freitag,December
Friday,12,5,23.0,Freitag,December
Friday,12,6,58.0,Freitag,December
Friday,12,7,113.5,Freitag,December
Friday,12,8,125.25,Freitag,December
Friday,12,9,96.75,Freitag,December
Friday,12,10,111.25,Freitag,December
Friday,12,11,108.25,Freitag,December
Friday,12,12,108.0,Freitag,December
Friday,12,13,106.25,Freitag,December
Friday,12,14,115.0,Freitag,December
Friday,12,15,122.5,Freitag,December
Friday,12,16,132.25,Freitag,December
Friday,12,17,143.0,Freitag,December
Friday,12,18,115.25,Freitag,December
Friday,12,19,91.5,Freitag,December
Friday,12,20,69.75,Freitag,December
Friday,12,21,64.5,Freitag,December
Friday,12,22,62.25,Freitag,December
Friday,12,23,58.5,Freitag,December
Monday,1,0,8.666666666666666,Montag,January
Monday,1,1,7.0,Montag,January
Monday,1,2,6.666666666666667,Montag,January
Monday,1,3,3.3333333333333335,Montag,January
Monday,1,4,6.666666666666667,Montag,January
Monday,1,5,19.333333333333332,Montag,January
Monday,1,6,84.66666666666667,Montag,January
Monday,1,7,141.0,Montag,January
Monday,1,8,176.66666666666666,Montag,January
Monday,1,9,137.0,Montag,January
Monday,1,10,131.33333333333334,Montag,January
Monday,1,11,128.33333333333334,Montag,January
Monday,1,12,102.0,Montag,January
Monday,1,13,133.33333333333334,Montag,January
Monday,1,14,124.33333333333333,Montag,January
Monday,1,15,118.25,Montag,January
Monday,1,16,123.0,Montag,January
Monday,1,17,150.25,Montag,January
Monday,1,18,129.25,Montag,January
Monday,1,19,81.5,Montag,January
Monday,1,20,51.0,Montag,January
Monday,1,21,33.0,Montag,January
Monday,1,22,27.75,Montag,January
Monday,1,23,16.25,Montag,January
Monday,2,0,14.5,Montag,February
Monday,2,1,9.75,Montag,February
Monday,2,2,5.0,Montag,February
Monday,2,3,6.75,Montag,February
Monday,2,4,11.0,Montag,February
Monday,2,5,22.75,Montag,February
Monday,2,6,74.25,Montag,February
Monday,2,7,143.25,Montag,February
Monday,2,8,152.25,Montag,February
Monday,2,9,107.75,Montag,February
Monday,2,10,103.0,Montag,February
Monday,2,11,109.0,Montag,February
Monday,2,12,100.5,Montag,February
Monday,2,13,114.0,Montag,February
Monday,2,14,112.25,Montag,February
Monday,2,15,111.25,Montag,February
Monday,2,16,126.5,Montag,February
Monday,2,17,138.5,Montag,February
Monday,2,18,119.5,Montag,February
Monday,2,19,84.25,Montag,February
Monday,2,20,50.5,Montag,February
Monday,2,21,38.5,Montag,February
Monday,2,22,31.5,Montag,February
Monday,2,23,19.75,Montag,February
Monday,3,0,11.75,Montag,March
Monday,3,1,8.5,Montag,March
Monday,3,2,7.25,Montag,March
Monday,3,3,5.75,Montag,March
Monday,3,4,9.0,Montag,March
Monday,3,5,21.25,Montag,March
Monday,3,6,73.25,Montag,March
Monday,3,7,133.5,Montag,March
Monday,3,8,165.5,Montag,March
Monday,3,9,128.25,Montag,March
Monday,3,10,116.5,Montag,March
Monday,3,11,107.25,Montag,March
Monday,3,12,106.0,Montag,March
Monday,3,13,122.0,Montag,March
Monday,3,14,104.5,Montag,March
Monday,3,15,111.5,Montag,March
Monday,3,16,122.0,Montag,March
Monday,3,17,147.5,Montag,March
Monday,3,18,107.0,Montag,March
Monday,3,19,72.5,Montag,March
Monday,3,20,51.25,Montag,March
Monday,3,21,41.5,Montag,March
Monday,3,22,28.0,Montag,March
Monday,3,23,18.75,Montag,March
Monday,4,0,18.0,Montag,April
Monday,4,1,9.75,Montag,April
Monday,4,2,5.5,Montag,April
Monday,4,3,7.0,Montag,April
Monday,4,4,9.5,Montag,April
Monday,4,5,19.75,Montag,April
Monday,4,6,78.5,Montag,April
Monday,4,7,125.75,Montag,April
Monday,4,8,146.0,Montag,April
Monday,4,9,101.0,Montag,April
Monday,4,10,100.5,Montag,April
Monday,4,11,110.5,Montag,April
Monday,4,12,101.0,Montag,April
Monday,4,13,107.75,Montag,April
Monday,4,14,103.25,Montag,April
Monday,4,15,112.0,Montag,April
Monday,4,16,104.5,Montag,April
Monday,4,17,118.25,Montag,April
Monday,4,18,100.5,Montag,April
Monday,4,19,72.5,Montag,April
Monday,4,20,56.5,Montag,April
Monday,4,21,44.75,Montag,April
Monday,4,22,26.25,Montag,April
Monday,4,23,21.5,Montag,April
Monday,5,0,13.0,Montag,May
Monday,5,1,8.666666666666666,Montag,May
Monday,5,2,5.666666666666667,Montag,May
Monday,5,3,5.0,Montag,May
Monday,5,4,8.666666666666666,Montag,May
Monday,5,5,18.666666666666668,Montag,May
Monday,5,6,90.66666666666667,Montag,May
Monday,5,7,141.33333333333334,Montag,May
Monday,5,8,156.0,Montag,May
Monday,5,9,114.33333333333333,Montag,May
Monday,5,10,102.33333333333333,Montag,May
Monday,5,11,104.0,Montag,May
Monday,5,12,94.0,Montag,May
Monday,5,13,91.0,Montag,May
Monday,5,14,99.33333333333333,Montag,May
Monday,5,15,109.33333333333333,Montag,May
Monday,5,16,135.0,Montag,May
Monday,5,17,147.33333333333334,Montag,May
Monday,5,18,125.66666666666667,Montag,May
Monday,5,19,87.33333333333333,Montag,May
Monday,5,20,47.333333333333336,Montag,May
Monday,5,21,41.666666666666664,Montag,May
Monday,5,22,25.0,Montag,May
Monday,5,23,19.666666666666668,Montag,May
Monday,6,0,17.75,Montag,June
Monday,6,1,18.75,Montag,June
Monday,6,2,18.0,Montag,June
Monday,6,3,10.5,Montag,June
Monday,6,4,18.0,Montag,June
Monday,6,5,41.25,Montag,June
Monday,6,6,108.25,Montag,June
Monday,6,7,124.0,Montag,June
Monday,6,8,135.75,Montag,June
Monday,6,9,99.75,Montag,June
Monday,6,10,82.0,Montag,June
Monday,6,11,87.0,Montag,June
Monday,6,12,82.75,Montag,June
Monday,6,13,94.5,Montag,June
Monday,6,14,96.5,Montag,June
Monday,6,15,87.0,Montag,June
Monday,6,16,98.5,Montag,June
Monday,6,17,111.5,Montag,June
Monday,6,18,95.25,Montag,June
Monday,6,19,70.5,Montag,June
Monday,6,20,47.25,Montag,June
Monday,6,21,44.5,Montag,June
Monday,6,22,31.0,Montag,June
Monday,6,23,27.5,Montag,June
Monday,7,0,19.5,Montag,July
Monday,7,1,12.0,Montag,July
Monday,7,2,8.25,Montag,July
Monday,7,3,5.0,Montag,July
Monday,7,4,7.0,Montag,July
Monday,7,5,16.5,Montag,July
Monday,7,6,57.75,Montag,July
Monday,7,7,95.75,Montag,July
Monday,7,8,102.25,Montag,July
Monday,7,9,79.25,Montag,July
Monday,7,10,71.75,Montag,July
Monday,7,11,80.5,Montag,July
Monday,7,12,70.0,Montag,July
Monday,7,13,86.5,Montag,July
Monday,7,14,87.0,Montag,July
Monday,7,15,74.0,Montag,July
Monday,7,16,89.25,Montag,July
Monday,7,17,112.0,Montag,July
Monday,7,18,91.75,Montag,July
Monday,7,19,51.0,Montag,July
Monday,7,20,42.25,Montag,July
Monday,7,21,37.0,Montag,July
Monday,7,22,34.0,Montag,July
Monday,7,23,21.0,Montag,July
Monday,8,0,14.5,Montag,August
Monday,8,1,10.25,Montag,August
Monday,8,2,4.5,Montag,August
Monday,8,3,6.25,Montag,August
Monday,8,4,5.0,Montag,August
