weekday,month,hour,vehicles,weekday_de,month_name
Friday,1,0,24.75,Freitag,January
Friday,1,1,19.25,Freitag,January
Friday,1,2,14.0,Freitag,January
Friday,1,3,11.25,Freitag,January
Friday,1,4,7.75,Freitag,January
Friday,1,5,13.0,Freitag,January
Friday,1,6,41.5,Freitag,January
Friday,1,7,80.75,Freitag,January
Friday,1,8,87.5,Freitag,January
Friday,1,9,88.25,Freitag,January
Friday,1,10,103.25,Freitag,January
Friday,1,11,116.25,Freitag,January
Friday,1,12,113.75,Freitag,January
Friday,1,13,117.25,Freitag,January
Friday,1,14,132.0,Freitag,January
Friday,1,15,127.25,Freitag,January
Friday,1,16,125.5,Freitag,January
Friday,1,17,129.25,Freitag,January
Friday,1,18,120.5,Freitag,January
Friday,1,19,107.75,Freitag,January
Friday,1,20,84.75,Freitag,January
Friday,1,21,79.5,Freitag,January
Friday,1,22,60.75,Freitag,January
Friday,1,23,56.5,Freitag,January
Friday,2,0,31.25,Freitag,February
Friday,2,1,17.25,Freitag,February
Friday,2,2,16.75,Freitag,February
Friday,2,3,11.0,Freitag,February
Friday,2,4,8.75,Freitag,February
Friday,2,5,21.5,Freitag,February
Friday,2,6,40.75,Freitag,February
Friday,2,7,90.0,Freitag,February
Friday,2,8,93.25,Freitag,February
Friday,2,9,95.75,Freitag,February
Friday,2,10,124.0,Freitag,February
Friday,2,11,139.0,Freitag,February
Friday,2,12,142.75,Freitag,February
Friday,2,13,175.25,Freitag,February
Friday,2,14,171.75,Freitag,February
Friday,2,15,164.25,Freitag,February
Friday,2,16,181.25,Freitag,February
Friday,2,17,176.75,Freitag,February
Friday,2,18,169.0,Freitag,February
Friday,2,19,124.75,Freitag,February
Friday,2,20,100.75,Freitag,February
Friday,2,21,87.75,Freitag,February
Friday,2,22,80.25,Freitag,February
Friday,2,23,83.75,Freitag,February
Friday,3,0,33.75,Freitag,March
Friday,3,1,21.0,Freitag,March
Friday,3,2,15.25,Freitag,March
Friday,3,3,11.0,Freitag,March
Friday,3,4,13.25,Freitag,March
Friday,3,5,18.25,Freitag,March
Friday,3,6,50.0,Freitag,March
Friday,3,7,97.0,Freitag,March
Friday,3,8,110.75,Freitag,March
Friday,3,9,117.25,Freitag,March
Friday,3,10,135.5,Freitag,March
Friday,3,11,147.5,Freitag,March
Friday,3,12,145.5,Freitag,March
Friday,3,13,170.75,Freitag,March
Friday,3,14,194.25,Freitag,March
Friday,3,15,221.25,Freitag,March
Friday,3,16,202.0,Freitag,March
Friday,3,17,174.75,Freitag,March
Friday,3,18,174.75,Freitag,March
Friday,3,19,145.25,Freitag,March
Friday,3,20,118.0,Freitag,March
Friday,3,21,100.75,Freitag,March
Friday,3,22,95.0,Freitag,March
Friday,3,23,88.5,Freitag,March
