weekday,month,hour,vehicles,weekday_de,month_name
Friday,1,0,216.75,Freitag,January
Friday,1,1,137.5,Freitag,January
Friday,1,2,91.75,Freitag,January
Friday,1,3,82.25,Freitag,January
Friday,1,4,102.25,Freitag,January
Friday,1,5,216.75,Freitag,January
Friday,1,6,651.25,Freitag,January
Friday,1,7,901.75,Freitag,January
Friday,1,8,909.5,Freitag,January
Friday,1,9,938.5,Freitag,January
Friday,1,10,1039.0,Freitag,January
Friday,1,11,1140.75,Freitag,January
Friday,1,12,1167.0,Freitag,January
Friday,1,13,1176.5,Freitag,January
Friday,1,14,1313.5,Freitag,January
Friday,1,15,1378.75,Freitag,January
Friday,1,16,1492.0,Freitag,January
Friday,1,17,1565.75,Freitag,January
Friday,1,18,1380.5,Freitag,January
Friday,1,19,1070.5,Freitag,January
Friday,1,20,860.0,Freitag,January
Friday,1,21,753.75,Freitag,January
Friday,1,22,884.75,Freitag,January
Friday,1,23,751.25,Freitag,January
Friday,2,0,236.0,Freitag,February
Friday,2,1,145.75,Freitag,February
Friday,2,2,95.25,Freitag,February
Friday,2,3,79.5,Freitag,February
Friday,2,4,95.0,Freitag,February
Friday,2,5,235.5,Freitag,February
Friday,2,6,710.5,Freitag,February
Friday,2,7,942.0,Freitag,February
Friday,2,8,963.25,Freitag,February
Friday,2,9,994.5,Freitag,February
Friday,2,10,1079.5,Freitag,February
Friday,2,11,1188.0,Freitag,February
Friday,2,12,1183.75,Freitag,February
Friday,2,13,1233.5,Freitag,February
Friday,2,14,1349.75,Freitag,February
Friday,2,15,1417.5,Freitag,February
Friday,2,16,1517.0,Freitag,February
Friday,2,17,1567.75,Freitag,February
Friday,2,18,1477.25,Freitag,February
Friday,2,19,1089.0,Freitag,February
Friday,2,20,845.5,Freitag,February
Friday,2,21,788.0,Freitag,February
Friday,2,22,908.75,Freitag,February
Friday,2,23,758.5,Freitag,February
Friday,3,0,242.0,Freitag,March
Friday,3,1,151.0,Freitag,March
Friday,3,2,92.75,Freitag,March
Friday,3,3,80.25,Freitag,March
Friday,3,4,102.25,Freitag,March
Friday,3,5,253.5,Freitag,March
Friday,3,6,785.5,Freitag,March
Friday,3,7,1043.25,Freitag,March
Friday,3,8,1018.75,Freitag,March
Friday,3,9,1041.5,Freitag,March
Friday,3,10,1140.25,Freitag,March
Friday,3,11,1234.25,Freitag,March
Friday,3,12,1257.25,Freitag,March
Friday,3,13,1245.75,Freitag,March
Friday,3,14,1348.75,Freitag,March
Friday,3,15,1461.75,Freitag,March
Friday,3,16,1461.5,Freitag,March
Friday,3,17,1578.0,Freitag,March
Friday,3,18,1524.0,Freitag,March
Friday,3,19,1088.0,Freitag,March
Friday,3,20,960.0,Freitag,March
Friday,3,21,859.5,Freitag,March
Friday,3,22,956.0,Freitag,March
Friday,3,23,899.5,Freitag,March
Friday,4,0,262.75,Freitag,April
Friday,4,1,151.25,Freitag,April
Friday,4,2,106.0,Freitag,April
Friday,4,3,81.25,Freitag,April
Friday,4,4,100.25,Freitag,April
Friday,4,5,277.0,Freitag,April
Friday,4,6,785.5,Freitag,April
Friday,4,7,1009.75,Freitag,April
Friday,4,8,990.5,Freitag,April
Friday,4,9,1048.75,Freitag,April
Friday,4,10,1174.75,Freitag,April
Friday,4,11,1240.0,Freitag,April
Friday,4,12,1277.0,Freitag,April
Friday,4,13,1236.0,Freitag,April
Friday,4,14,1346.25,Freitag,April
Friday,4,15,1410.75,Freitag,April
Friday,4,16,1473.0,Freitag,April
Friday,4,17,1498.75,Freitag,April
Friday,4,18,1415.0,Freitag,April
Friday,4,19,1166.5,Freitag,April
Friday,4,20,970.0,Freitag,April
Friday,4,21,902.75,Freitag,April
Friday,4,22,1004.25,Freitag,April
Friday,4,23,924.5,Freitag,April
Friday,5,0,283.4,Freitag,May
Friday,5,1,157.6,Freitag,May
Friday,5,2,104.4,Freitag,May
Friday,5,3,82.2,Freitag,May
Friday,5,4,98.6,Freitag,May
Friday,5,5,239.2,Freitag,May
Friday,5,6,734.2,Freitag,May
Friday,5,7,912.8,Freitag,May
Friday,5,8,927.0,Freitag,May
Friday,5,9,1012.4,Freitag,May
Friday,5,10,1105.0,Freitag,May
Friday,5,11,1185.2,Freitag,May
Friday,5,12,1227.2,Freitag,May
Friday,5,13,1198.6,Freitag,May
Friday,5,14,1267.6,Freitag,May
Friday,5,15,1390.6,Freitag,May
Friday,5,16,1454.8,Freitag,May
Friday,5,17,1493.2,Freitag,May
Friday,5,18,1430.0,Freitag,May
Friday,5,19,1102.8,Freitag,May
Friday,5,20,938.8,Freitag,May
Friday,5,21,866.8,Freitag,May
Friday,5,22,968.2,Freitag,May
Friday,5,23,883.6,Freitag,May
Friday,6,0,314.25,Freitag,June
Friday,6,1,173.5,Freitag,June
Friday,6,2,110.0,Freitag,June
Friday,6,3,85.25,Freitag,June
Friday,6,4,96.25,Freitag,June
Friday,6,5,270.5,Freitag,June
Friday,6,6,796.25,Freitag,June
Friday,6,7,945.75,Freitag,June
Friday,6,8,929.75,Freitag,June
Friday,6,9,993.0,Freitag,June
Friday,6,10,1114.75,Freitag,June
Friday,6,11,1178.75,Freitag,June
Friday,6,12,1192.5,Freitag,June
Friday,6,13,1181.25,Freitag,June
Friday,6,14,1293.5,Freitag,June
Friday,6,15,1400.0,Freitag,June
Friday,6,16,1456.5,Freitag,June
Friday,6,17,1490.75,Freitag,June
Friday,6,18,1298.25,Freitag,June
Friday,6,19,1048.0,Freitag,June
Friday,6,20,923.5,Freitag,June
Friday,6,21,885.5,Freitag,June
Friday,6,22,1035.75,Freitag,June
Friday,6,23,1038.0,Freitag,June
Friday,7,0,332.6666666666667,Freitag,July
Friday,7,1,205.66666666666666,Freitag,July
Friday,7,2,125.0,Freitag,July
Friday,7,3,100.66666666666667,Freitag,July
Friday,7,4,109.33333333333333,Freitag,July
