weekday,month,hour,vehicles,weekday_de,month_name
Friday,1,0,169.75,Freitag,January
Friday,1,1,134.0,Freitag,January
Friday,1,2,105.5,Freitag,January
Friday,1,3,111.5,Freitag,January
Friday,1,4,159.0,Freitag,January
Friday,1,5,376.0,Freitag,January
Friday,1,6,615.25,Freitag,January
Friday,1,7,625.0,Freitag,January
Friday,1,8,636.25,Freitag,January
Friday,1,9,650.0,Freitag,January
Friday,1,10,677.75,Freitag,January
Friday,1,11,689.5,Freitag,January
Friday,1,12,677.75,Freitag,January
Friday,1,13,673.75,Freitag,January
Friday,1,14,673.75,Freitag,January
Friday,1,15,650.25,Freitag,January
Friday,1,16,625.75,Freitag,January
Friday,1,17,621.5,Freitag,January
Friday,1,18,664.0,Freitag,January
Friday,1,19,613.75,Freitag,January
Friday,1,20,555.75,Freitag,January
Friday,1,21,498.5,Freitag,January
Friday,1,22,466.25,Freitag,January
Friday,1,23,410.25,Freitag,January
Friday,2,0,171.0,Freitag,February
Friday,2,1,131.75,Freitag,February
Friday,2,2,114.0,Freitag,February
Friday,2,3,112.25,Freitag,February
Friday,2,4,162.75,Freitag,February
Friday,2,5,420.25,Freitag,February
Friday,2,6,664.5,Freitag,February
Friday,2,7,653.75,Freitag,February
Friday,2,8,671.25,Freitag,February
Friday,2,9,666.0,Freitag,February
Friday,2,10,675.0,Freitag,February
Friday,2,11,688.0,Freitag,February
Friday,2,12,705.0,Freitag,February
Friday,2,13,696.25,Freitag,February
Friday,2,14,678.25,Freitag,February
Friday,2,15,662.75,Freitag,February
Friday,2,16,641.25,Freitag,February
Friday,2,17,645.75,Freitag,February
Friday,2,18,667.0,Freitag,February
Friday,2,19,631.5,Freitag,February
Friday,2,20,569.75,Freitag,February
Friday,2,21,509.25,Freitag,February
Friday,2,22,481.75,Freitag,February
Friday,2,23,431.75,Freitag,February
Friday,3,0,184.25,Freitag,March
Friday,3,1,143.0,Freitag,March
Friday,3,2,115.75,Freitag,March
Friday,3,3,111.0,Freitag,March
Friday,3,4,164.0,Freitag,March
Friday,3,5,432.75,Freitag,March
Friday,3,6,687.5,Freitag,March
Friday,3,7,670.75,Freitag,March
Friday,3,8,675.5,Freitag,March
Friday,3,9,672.25,Freitag,March
Friday,3,10,664.25,Freitag,March
Friday,3,11,681.5,Freitag,March
Friday,3,12,700.25,Freitag,March
Friday,3,13,680.75,Freitag,March
Friday,3,14,673.25,Freitag,March
Friday,3,15,667.75,Freitag,March
Friday,3,16,647.75,Freitag,March
Friday,3,17,644.5,Freitag,March
Friday,3,18,681.0,Freitag,March
Friday,3,19,612.0,Freitag,March
Friday,3,20,590.5,Freitag,March
Friday,3,21,521.75,Freitag,March
Friday,3,22,520.75,Freitag,March
Friday,3,23,475.0,Freitag,March
Friday,4,0,182.75,Freitag,April
Friday,4,1,148.0,Freitag,April
Friday,4,2,126.0,Freitag,April
