weekday,month,hour,vehicles,weekday_de,month_name
Friday,1,0,252.0,Freitag,January
Friday,1,1,155.5,Freitag,January
Friday,1,2,111.25,Freitag,January
Friday,1,3,109.25,Freitag,January
Friday,1,4,136.25,Freitag,January
Friday,1,5,394.25,Freitag,January
Friday,1,6,609.5,Freitag,January
Friday,1,7,832.5,Freitag,January
Friday,1,8,829.25,Freitag,January
Friday,1,9,781.25,Freitag,January
Friday,1,10,845.25,Freitag,January
Friday,1,11,900.25,Freitag,January
Friday,1,12,912.25,Freitag,January
Friday,1,13,940.0,Freitag,January
Friday,1,14,948.25,Freitag,January
Friday,1,15,982.0,Freitag,January
Friday,1,16,1046.0,Freitag,January
Friday,1,17,1015.5,Freitag,January
Friday,1,18,993.75,Freitag,January
Friday,1,19,822.5,Freitag,January
Friday,1,20,696.0,Freitag,January
Friday,1,21,649.75,Freitag,January
Friday,1,22,741.5,Freitag,January
Friday,1,23,597.0,Freitag,January
Friday,2,0,225.25,Freitag,February
Friday,2,1,144.25,Freitag,February
Friday,2,2,115.5,Freitag,February
Friday,2,3,111.75,Freitag,February
Friday,2,4,147.75,Freitag,February
Friday,2,5,451.25,Freitag,February
Friday,2,6,704.75,Freitag,February
Friday,2,7,873.5,Freitag,February
Friday,2,8,863.25,Freitag,February
Friday,2,9,836.75,Freitag,February
Friday,2,10,877.75,Freitag,February
Friday,2,11,903.0,Freitag,February
Friday,2,12,961.25,Freitag,February
Friday,2,13,987.25,Freitag,February
Friday,2,14,1024.25,Freitag,February
Friday,2,15,1027.75,Freitag,February
Friday,2,16,1098.25,Freitag,February
Friday,2,17,1078.5,Freitag,February
Friday,2,18,1016.0,Freitag,February
Friday,2,19,888.0,Freitag,February
Friday,2,20,754.25,Freitag,February
Friday,2,21,704.0,Freitag,February
Friday,2,22,762.25,Freitag,February
Friday,2,23,646.0,Freitag,February
Friday,3,0,239.75,Freitag,March
Friday,3,1,151.25,Freitag,March
Friday,3,2,121.25,Freitag,March
Friday,3,3,111.0,Freitag,March
Friday,3,4,157.75,Freitag,March
Friday,3,5,411.5,Freitag,March
Friday,3,6,748.25,Freitag,March
Friday,3,7,899.75,Freitag,March
Friday,3,8,874.0,Freitag,March
Friday,3,9,877.0,Freitag,March
Friday,3,10,903.0,Freitag,March
Friday,3,11,900.5,Freitag,March
Friday,3,12,973.25,Freitag,March
Friday,3,13,1005.75,Freitag,March
Friday,3,14,1029.25,Freitag,March
Friday,3,15,1073.25,Freitag,March
Friday,3,16,1141.0,Freitag,March
Friday,3,17,1133.75,Freitag,March
Friday,3,18,1090.0,Freitag,March
Friday,3,19,870.0,Freitag,March
Friday,3,20,785.0,Freitag,March
Friday,3,21,772.75,Freitag,March
Friday,3,22,772.25,Freitag,March
Friday,3,23,727.0,Freitag,March
Friday,4,0,250.5,Freitag,April
Friday,4,1,164.0,Freitag,April
Friday,4,2,121.25,Freitag,April
Friday,4,3,108.75,Freitag,April
Friday,4,4,146.0,Freitag,April
Friday,4,5,437.75,Freitag,April
Friday,4,6,742.75,Freitag,April
Friday,4,7,875.0,Freitag,April
Friday,4,8,839.5,Freitag,April
Friday,4,9,858.5,Freitag,April
Friday,4,10,875.0,Freitag,April
Friday,4,11,930.25,Freitag,April
Friday,4,12,940.5,Freitag,April
Friday,4,13,975.5,Freitag,April
Friday,4,14,991.75,Freitag,April
Friday,4,15,1016.0,Freitag,April
Friday,4,16,1125.5,Freitag,April
Friday,4,17,1096.0,Freitag,April
Friday,4,18,1068.0,Freitag,April
Friday,4,19,850.75,Freitag,April
Friday,4,20,729.0,Freitag,April
Friday,4,21,742.0,Freitag,April
