weekday,month,hour,vehicles,weekday_de,month_name
Friday,1,0,86.25,Freitag,January
Friday,1,1,67.5,Freitag,January
Friday,1,2,45.0,Freitag,January
Friday,1,3,49.25,Freitag,January
Friday,1,4,79.5,Freitag,January
Friday,1,5,167.0,Freitag,January
Friday,1,6,305.75,Freitag,January
Friday,1,7,368.0,Freitag,January
Friday,1,8,326.25,Freitag,January
Friday,1,9,333.5,Freitag,January
Friday,1,10,329.25,Freitag,January
Friday,1,11,342.75,Freitag,January
Friday,1,12,343.0,Freitag,January
Friday,1,13,338.25,Freitag,January
Friday,1,14,352.5,Freitag,January
Friday,1,15,377.25,Freitag,January
Friday,1,16,371.0,Freitag,January
Friday,1,17,372.25,Freitag,January
Friday,1,18,381.75,Freitag,January
Friday,1,19,347.25,Freitag,January
Friday,1,20,331.0,Freitag,January
Friday,1,21,289.25,Freitag,January
Friday,1,22,324.5,Freitag,January
Friday,1,23,275.75,Freitag,January
Friday,2,0,101.25,Freitag,February
Friday,2,1,65.75,Freitag,February
Friday,2,2,45.25,Freitag,February
Friday,2,3,45.0,Freitag,February
Friday,2,4,81.0,Freitag,February
Friday,2,5,187.5,Freitag,February
Friday,2,6,353.0,Freitag,February
Friday,2,7,387.75,Freitag,February
Friday,2,8,363.25,Freitag,February
Friday,2,9,338.5,Freitag,February
Friday,2,10,325.0,Freitag,February
Friday,2,11,362.5,Freitag,February
Friday,2,12,366.5,Freitag,February
Friday,2,13,363.75,Freitag,February
Friday,2,14,353.0,Freitag,February
Friday,2,15,391.75,Freitag,February
Friday,2,16,400.75,Freitag,February
Friday,2,17,395.25,Freitag,February
Friday,2,18,434.25,Freitag,February
Friday,2,19,357.25,Freitag,February
Friday,2,20,336.5,Freitag,February
Friday,2,21,298.25,Freitag,February
Friday,2,22,325.75,Freitag,February
Friday,2,23,275.75,Freitag,February
Friday,3,0,95.25,Freitag,March
Friday,3,1,61.75,Freitag,March
Friday,3,2,39.75,Freitag,March
Friday,3,3,44.75,Freitag,March
Friday,3,4,88.0,Freitag,March
Friday,3,5,193.5,Freitag,March
Friday,3,6,352.6666666666667,Freitag,March
Friday,3,7,399.6666666666667,Freitag,March
Friday,3,8,342.0,Freitag,March
Friday,3,9,324.25,Freitag,March
Friday,3,10,337.5,Freitag,March
Friday,3,11,336.0,Freitag,March
Friday,3,12,353.75,Freitag,March
Friday,3,13,342.25,Freitag,March
Friday,3,14,358.0,Freitag,March
Friday,3,15,401.25,Freitag,March
Friday,3,16,405.5,Freitag,March
Friday,3,17,350.25,Freitag,March
Friday,3,18,395.75,Freitag,March
Friday,3,19,362.25,Freitag,March
