weekday,month,hour,vehicles,weekday_de,month_name
Friday,1,0,50.25,Freitag,January
Friday,1,1,40.25,Freitag,January
Friday,1,2,36.75,Freitag,January
Friday,1,3,31.75,Freitag,January
Friday,1,4,28.25,Freitag,January
Friday,1,5,51.0,Freitag,January
Friday,1,6,148.75,Freitag,January
Friday,1,7,262.5,Freitag,January
Friday,1,8,302.0,Freitag,January
Friday,1,9,261.0,Freitag,January
Friday,1,10,277.25,Freitag,January
Friday,1,11,277.5,Freitag,January
Friday,1,12,236.75,Freitag,January
Friday,1,13,271.0,Freitag,January
Friday,1,14,267.5,Freitag,January
Friday,1,15,260.75,Freitag,January
Friday,1,16,286.5,Freitag,January
Friday,1,17,292.75,Freitag,January
Friday,1,18,264.75,Freitag,January
Friday,1,19,185.25,Freitag,January
Friday,1,20,157.0,Freitag,January
Friday,1,21,144.75,Freitag,January
Friday,1,22,176.5,Freitag,January
Friday,1,23,143.5,Freitag,January
Friday,2,0,57.5,Freitag,February
Friday,2,1,47.25,Freitag,February
Friday,2,2,39.25,Freitag,February
Friday,2,3,28.5,Freitag,February
Friday,2,4,40.5,Freitag,February
Friday,2,5,56.5,Freitag,February
Friday,2,6,177.25,Freitag,February
Friday,2,7,294.0,Freitag,February
Friday,2,8,336.75,Freitag,February
Friday,2,9,274.75,Freitag,February
Friday,2,10,295.5,Freitag,February
Friday,2,11,284.0,Freitag,February
Friday,2,12,248.75,Freitag,February
Friday,2,13,277.5,Freitag,February
Friday,2,14,259.25,Freitag,February
Friday,2,15,263.75,Freitag,February
Friday,2,16,298.25,Freitag,February
Friday,2,17,290.75,Freitag,February
Friday,2,18,270.25,Freitag,February
Friday,2,19,196.25,Freitag,February
Friday,2,20,177.25,Freitag,February
Friday,2,21,162.25,Freitag,February
Friday,2,22,171.75,Freitag,February
Friday,2,23,152.75,Freitag,February
Friday,3,0,61.0,Freitag,March
Friday,3,1,52.75,Freitag,March
Friday,3,2,45.0,Freitag,March
Friday,3,3,32.5,Freitag,March
Friday,3,4,34.25,Freitag,March
Friday,3,5,54.0,Freitag,March
Friday,3,6,193.25,Freitag,March
Friday,3,7,312.75,Freitag,March
Friday,3,8,352.5,Freitag,March
Friday,3,9,296.75,Freitag,March
Friday,3,10,290.0,Freitag,March
Friday,3,11,297.75,Freitag,March
Friday,3,12,265.5,Freitag,March
