weekday,month,hour,vehicles,weekday_de,month_name
Friday,1,0,61.75,Freitag,January
Friday,1,1,40.25,Freitag,January
Friday,1,2,35.25,Freitag,January
Friday,1,3,26.25,Freitag,January
Friday,1,4,24.75,Freitag,January
Friday,1,5,65.25,Freitag,January
Friday,1,6,194.75,Freitag,January
Friday,1,7,304.75,Freitag,January
Friday,1,8,330.5,Freitag,January
Friday,1,9,289.75,Freitag,January
Friday,1,10,307.75,Freitag,January
Friday,1,11,331.75,Freitag,January
Friday,1,12,302.5,Freitag,January
Friday,1,13,313.75,Freitag,January
Friday,1,14,359.5,Freitag,January
Friday,1,15,323.75,Freitag,January
Friday,1,16,363.5,Freitag,January
Friday,1,17,370.25,Freitag,January
Friday,1,18,368.0,Freitag,January
Friday,1,19,255.5,Freitag,January
Friday,1,20,177.25,Freitag,January
Friday,1,21,155.25,Freitag,January
Friday,1,22,130.75,Freitag,January
Friday,1,23,124.25,Freitag,January
Friday,2,0,61.25,Freitag,February
Friday,2,1,41.75,Freitag,February
Friday,2,2,31.75,Freitag,February
Friday,2,3,34.75,Freitag,February
Friday,2,4,33.75,Freitag,February
Friday,2,5,72.25,Freitag,February
Friday,2,6,204.75,Freitag,February
Friday,2,7,347.75,Freitag,February
Friday,2,8,342.5,Freitag,February
Friday,2,9,304.75,Freitag,February
Friday,2,10,313.0,Freitag,February
Friday,2,11,346.25,Freitag,February
Friday,2,12,313.0,Freitag,February
Friday,2,13,319.5,Freitag,February
Friday,2,14,347.75,Freitag,February
Friday,2,15,361.5,Freitag,February
Friday,2,16,385.25,Freitag,February
Friday,2,17,381.5,Freitag,February
Friday,2,18,337.5,Freitag,February
Friday,2,19,269.75,Freitag,February
Friday,2,20,205.5,Freitag,February
Friday,2,21,157.25,Freitag,February
Friday,2,22,166.75,Freitag,February
Friday,2,23,137.25,Freitag,February
Friday,3,0,72.5,Freitag,March
Friday,3,1,50.25,Freitag,March
Friday,3,2,46.5,Freitag,March
Friday,3,3,31.75,Freitag,March
Friday,3,4,28.75,Freitag,March
Friday,3,5,79.75,Freitag,March
Friday,3,6,233.25,Freitag,March
Friday,3,7,379.0,Freitag,March
Friday,3,8,399.0,Freitag,March
Friday,3,9,335.25,Freitag,March
Friday,3,10,325.5,Freitag,March
Friday,3,11,395.75,Freitag,March
Friday,3,12,357.75,Freitag,March
Friday,3,13,358.0,Freitag,March
Friday,3,14,363.75,Freitag,March
Friday,3,15,379.75,Freitag,March
Friday,3,16,405.75,Freitag,March
Friday,3,17,390.5,Freitag,March
Friday,3,18,378.75,Freitag,March
Friday,3,19,282.75,Freitag,March
Friday,3,20,222.25,Freitag,March
Friday,3,21,157.0,Freitag,March
Friday,3,22,168.0,Freitag,March
Friday,3,23,148.5,Freitag,March
Friday,4,0,67.75,Freitag,April
Friday,4,1,51.0,Freitag,April
Friday,4,2,37.25,Freitag,April
Friday,4,3,31.25,Freitag,April
Friday,4,4,31.75,Freitag,April
Friday,4,5,80.25,Freitag,April
Friday,4,6,242.75,Freitag,April
Friday,4,7,383.25,Freitag,April
Friday,4,8,362.5,Freitag,April
Friday,4,9,323.5,Freitag,April
Friday,4,10,337.0,Freitag,April
Friday,4,11,370.5,Freitag,April
Friday,4,12,356.5,Freitag,April
Friday,4,13,348.75,Freitag,April
Friday,4,14,377.5,Freitag,April
Friday,4,15,379.0,Freitag,April
Friday,4,16,382.75,Freitag,April
Friday,4,17,393.25,Freitag,April
Friday,4,18,351.25,Freitag,April
Friday,4,19,296.5,Freitag,April
Friday,4,20,201.25,Freitag,April
Friday,4,21,182.5,Freitag,April
Friday,4,22,171.75,Freitag,April
Friday,4,23,152.0,Freitag,April
Friday,5,0,73.4,Freitag,May
Friday,5,1,49.4,Freitag,May
Friday,5,2,40.0,Freitag,May
Friday,5,3,28.0,Freitag,May
Friday,5,4,30.8,Freitag,May
Friday,5,5,70.4,Freitag,May
Friday,5,6,214.6,Freitag,May
Friday,5,7,333.2,Freitag,May
Friday,5,8,345.8,Freitag,May
Friday,5,9,335.2,Freitag,May
Friday,5,10,347.4,Freitag,May
Friday,5,11,367.2,Freitag,May
Friday,5,12,373.6,Freitag,May
Friday,5,13,362.2,Freitag,May
Friday,5,14,379.2,Freitag,May
Friday,5,15,362.8,Freitag,May
Friday,5,16,332.8,Freitag,May
Friday,5,17,331.6,Freitag,May
Friday,5,18,350.4,Freitag,May
Friday,5,19,277.8,Freitag,May
Friday,5,20,208.4,Freitag,May
Friday,5,21,165.2,Freitag,May
Friday,5,22,173.0,Freitag,May
Friday,5,23,148.2,Freitag,May
Friday,6,0,57.25,Freitag,June
Friday,6,1,43.75,Freitag,June
Friday,6,2,49.5,Freitag,June
Friday,6,3,32.75,Freitag,June
Friday,6,4,35.5,Freitag,June
Friday,6,5,80.25,Freitag,June
Friday,6,6,248.75,Freitag,June
Friday,6,7,374.5,Freitag,June
Friday,6,8,370.75,Freitag,June
Friday,6,9,349.75,Freitag,June
Friday,6,10,371.75,Freitag,June
Friday,6,11,420.0,Freitag,June
Friday,6,12,371.0,Freitag,June
Friday,6,13,380.5,Freitag,June
Friday,6,14,407.5,Freitag,June
Friday,6,15,359.5,Freitag,June
Friday,6,16,383.0,Freitag,June
Friday,6,17,366.25,Freitag,June
Friday,6,18,356.0,Freitag,June
Friday,6,19,297.25,Freitag,June
Friday,6,20,196.75,Freitag,June
Friday,6,21,160.0,Freitag,June
Friday,6,22,172.0,Freitag,June
Friday,6,23,162.5,Freitag,June
Friday,7,0,60.0,Freitag,July
Friday,7,1,51.333333333333336,Freitag,July
Friday,7,2,40.0,Freitag,July
Friday,7,3,35.333333333333336,Freitag,July
Friday,7,4,33.333333333333336,Freitag,July
Friday,7,5,67.66666666666667,Freitag,July
Friday,7,6,224.66666666666666,Freitag,July
Friday,7,7,321.3333333333333,Freitag,July
Friday,7,8,306.6666666666667,Freitag,July
Friday,7,9,298.6666666666667,Freitag,July
Friday,7,10,323.6666666666667,Freitag,July
Friday,7,11,384.6666666666667,Freitag,July
Friday,7,12,343.0,Freitag,July
Friday,7,13,330.0,Freitag,July
Friday,7,14,354.6666666666667,Freitag,July
Friday,7,15,362.6666666666667,Freitag,July
Friday,7,16,388.3333333333333,Freitag,July
Friday,7,17,360.3333333333333,Freitag,July
Friday,7,18,305.0,Freitag,July
Friday,7,19,227.33333333333334,Freitag,July
Friday,7,20,168.66666666666666,Freitag,July
Friday,7,21,146.0,Freitag,July
Friday,7,22,154.33333333333334,Freitag,July
Friday,7,23,138.0,Freitag,July
Friday,8,0,70.0,Freitag,August
Friday,8,1,47.4,Freitag,August
Friday,8,2,37.8,Freitag,August
Friday,8,3,32.0,Freitag,August
Friday,8,4,31.0,Freitag,August
Friday,8,5,66.0,Freitag,August
