weekday,month,hour,vehicles,weekday_de,month_name
Friday,1,0,159.5,Freitag,January
Friday,1,1,99.75,Freitag,January
Friday,1,2,79.75,Freitag,January
Friday,1,3,64.5,Freitag,January
Friday,1,4,70.0,Freitag,January
Friday,1,5,127.25,Freitag,January
Friday,1,6,356.75,Freitag,January
Friday,1,7,581.0,Freitag,January
Friday,1,8,612.25,Freitag,January
Friday,1,9,618.5,Freitag,January
Friday,1,10,712.75,Freitag,January
Friday,1,11,833.75,Freitag,January
Friday,1,12,866.25,Freitag,January
Friday,1,13,906.25,Freitag,January
Friday,1,14,1036.5,Freitag,January
Friday,1,15,1181.5,Freitag,January
Friday,1,16,1408.25,Freitag,January
Friday,1,17,1476.5,Freitag,January
Friday,1,18,1186.75,Freitag,January
Friday,1,19,802.0,Freitag,January
Friday,1,20,626.5,Freitag,January
Friday,1,21,517.0,Freitag,January
Friday,1,22,638.5,Freitag,January
Friday,1,23,615.75,Freitag,January
Friday,2,0,162.0,Freitag,February
Friday,2,1,99.25,Freitag,February
Friday,2,2,74.5,Freitag,February
Friday,2,3,61.25,Freitag,February
Friday,2,4,72.75,Freitag,February
Friday,2,5,143.0,Freitag,February
Friday,2,6,379.5,Freitag,February
Friday,2,7,595.0,Freitag,February
Friday,2,8,632.0,Freitag,February
Friday,2,9,649.5,Freitag,February
Friday,2,10,776.0,Freitag,February
Friday,2,11,912.5,Freitag,February
Friday,2,12,860.75,Freitag,February
Friday,2,13,918.0,Freitag,February
Friday,2,14,1057.25,Freitag,February
Friday,2,15,1198.75,Freitag,February
Friday,2,16,1489.5,Freitag,February
Friday,2,17,1460.5,Freitag,February
Friday,2,18,1197.75,Freitag,February
Friday,2,19,819.5,Freitag,February
Friday,2,20,641.75,Freitag,February
Friday,2,21,543.0,Freitag,February
Friday,2,22,628.0,Freitag,February
Friday,2,23,621.25,Freitag,February
Friday,3,0,170.25,Freitag,March
Friday,3,1,100.0,Freitag,March
Friday,3,2,87.75,Freitag,March
Friday,3,3,66.75,Freitag,March
Friday,3,4,88.5,Freitag,March
Friday,3,5,157.75,Freitag,March
Friday,3,6,421.75,Freitag,March
Friday,3,7,639.25,Freitag,March
Friday,3,8,667.5,Freitag,March
Friday,3,9,685.0,Freitag,March
Friday,3,10,796.75,Freitag,March
Friday,3,11,951.25,Freitag,March
Friday,3,12,932.5,Freitag,March
Friday,3,13,959.0,Freitag,March
Friday,3,14,1113.5,Freitag,March
Friday,3,15,1305.5,Freitag,March
Friday,3,16,1484.5,Freitag,March
Friday,3,17,1565.75,Freitag,March
Friday,3,18,1331.25,Freitag,March
Friday,3,19,825.25,Freitag,March
Friday,3,20,715.5,Freitag,March
Friday,3,21,592.0,Freitag,March
Friday,3,22,678.0,Freitag,March
Friday,3,23,698.0,Freitag,March
Friday,4,0,167.5,Freitag,April
Friday,4,1,95.5,Freitag,April
Friday,4,2,82.5,Freitag,April
Friday,4,3,64.0,Freitag,April
Friday,4,4,74.0,Freitag,April
Friday,4,5,168.0,Freitag,April
Friday,4,6,401.5,Freitag,April
Friday,4,7,604.5,Freitag,April
Friday,4,8,661.75,Freitag,April
Friday,4,9,710.25,Freitag,April
Friday,4,10,797.25,Freitag,April
Friday,4,11,921.0,Freitag,April
Friday,4,12,913.25,Freitag,April
Friday,4,13,964.25,Freitag,April
Friday,4,14,1070.0,Freitag,April
Friday,4,15,1169.75,Freitag,April
Friday,4,16,1486.0,Freitag,April
Friday,4,17,1422.5,Freitag,April
Friday,4,18,1208.25,Freitag,April
Friday,4,19,835.5,Freitag,April
Friday,4,20,710.0,Freitag,April
Friday,4,21,615.5,Freitag,April
Friday,4,22,666.5,Freitag,April
Friday,4,23,665.25,Freitag,April
Friday,5,0,178.75,Freitag,May
Friday,5,1,106.0,Freitag,May
Friday,5,2,92.5,Freitag,May
Friday,5,3,64.25,Freitag,May
Friday,5,4,76.0,Freitag,May
Friday,5,5,161.5,Freitag,May
Friday,5,6,374.25,Freitag,May
Friday,5,7,588.25,Freitag,May
Friday,5,8,655.0,Freitag,May
Friday,5,9,729.75,Freitag,May
Friday,5,10,807.25,Freitag,May
Friday,5,11,917.25,Freitag,May
Friday,5,12,936.25,Freitag,May
Friday,5,13,876.25,Freitag,May
Friday,5,14,1065.25,Freitag,May
Friday,5,15,1206.25,Freitag,May
Friday,5,16,1436.75,Freitag,May
Friday,5,17,1398.25,Freitag,May
Friday,5,18,1197.5,Freitag,May
Friday,5,19,839.0,Freitag,May
Friday,5,20,710.5,Freitag,May
Friday,5,21,589.25,Freitag,May
Friday,5,22,659.75,Freitag,May
Friday,5,23,615.5,Freitag,May
Friday,6,0,231.25,Freitag,June
Friday,6,1,121.5,Freitag,June
Friday,6,2,98.0,Freitag,June
Friday,6,3,69.25,Freitag,June
Friday,6,4,85.25,Freitag,June
Friday,6,5,194.0,Freitag,June
Friday,6,6,430.25,Freitag,June
Friday,6,7,604.0,Freitag,June
Friday,6,8,680.0,Freitag,June
Friday,6,9,729.75,Freitag,June
Friday,6,10,818.5,Freitag,June
Friday,6,11,939.25,Freitag,June
Friday,6,12,981.0,Freitag,June
Friday,6,13,948.0,Freitag,June
Friday,6,14,1094.75,Freitag,June
Friday,6,15,1297.0,Freitag,June
Friday,6,16,1480.5,Freitag,June
Friday,6,17,1453.25,Freitag,June
Friday,6,18,1192.0,Freitag,June
Friday,6,19,841.75,Freitag,June
Friday,6,20,681.5,Freitag,June
Friday,6,21,598.5,Freitag,June
Friday,6,22,699.25,Freitag,June
Friday,6,23,725.0,Freitag,June
Friday,7,0,229.33333333333334,Freitag,July
Friday,7,1,124.66666666666667,Freitag,July
Friday,7,2,86.66666666666667,Freitag,July
Friday,7,3,77.66666666666667,Freitag,July
Friday,7,4,95.33333333333333,Freitag,July
Friday,7,5,176.66666666666666,Freitag,July
Friday,7,6,417.6666666666667,Freitag,July
Friday,7,7,596.0,Freitag,July
Friday,7,8,651.3333333333334,Freitag,July
Friday,7,9,709.0,Freitag,July
Friday,7,10,809.0,Freitag,July
Friday,7,11,942.3333333333334,Freitag,July
Friday,7,12,920.0,Freitag,July
Friday,7,13,922.6666666666666,Freitag,July
Friday,7,14,1057.3333333333333,Freitag,July
Friday,7,15,1165.0,Freitag,July
Friday,7,16,1305.0,Freitag,July
Friday,7,17,1244.0,Freitag,July
Friday,7,18,1093.6666666666667,Freitag,July
Friday,7,19,763.3333333333334,Freitag,July
Friday,7,20,651.6666666666666,Freitag,July
Friday,7,21,586.0,Freitag,July
Friday,7,22,626.0,Freitag,July
Friday,7,23,586.3333333333334,Freitag,July
Friday,8,0,240.4,Freitag,August
Friday,8,1,127.0,Freitag,August
Friday,8,2,90.2,Freitag,August
Friday,8,3,70.4,Freitag,August
Friday,8,4,78.4,Freitag,August
Friday,8,5,149.4,Freitag,August
Friday,8,6,365.0,Freitag,August
Friday,8,7,551.0,Freitag,August
Friday,8,8,612.8,Freitag,August
Friday,8,9,717.2,Freitag,August
Friday,8,10,849.0,Freitag,August
Friday,8,11,916.8,Freitag,August
Friday,8,12,925.8,Freitag,August
Friday,8,13,930.2,Freitag,August
Friday,8,14,1017.6,Freitag,August
Friday,8,15,1159.0,Freitag,August
Friday,8,16,1332.6,Freitag,August
Friday,8,17,1268.2,Freitag,August
Friday,8,18,1085.0,Freitag,August
Friday,8,19,756.8,Freitag,August
Friday,8,20,657.8,Freitag,August
Friday,8,21,619.6,Freitag,August
Friday,8,22,640.2,Freitag,August
Friday,8,23,635.0,Freitag,August
Friday,9,0,203.5,Freitag,September
Friday,9,1,108.75,Freitag,September
Friday,9,2,75.75,Freitag,September
Friday,9,3,58.25,Freitag,September
Friday,9,4,79.0,Freitag,September
Friday,9,5,156.0,Freitag,September
Friday,9,6,401.75,Freitag,September
Friday,9,7,572.75,Freitag,September
Friday,9,8,658.0,Freitag,September
Friday,9,9,706.5,Freitag,September
Friday,9,10,820.25,Freitag,September
Friday,9,11,905.25,Freitag,September
Friday,9,12,866.0,Freitag,September
Friday,9,13,889.25,Freitag,September
Friday,9,14,1021.5,Freitag,September
Friday,9,15,1167.25,Freitag,September
Friday,9,16,1388.5,Freitag,September
Friday,9,17,1420.75,Freitag,September
Friday,9,18,1224.5,Freitag,September
Friday,9,19,856.5,Freitag,September
Friday,9,20,727.0,Freitag,September
Friday,9,21,592.0,Freitag,September
Friday,9,22,639.25,Freitag,September
Friday,9,23,687.75,Freitag,September
Friday,10,0,200.25,Freitag,October
Friday,10,1,117.75,Freitag,October
Friday,10,2,76.25,Freitag,October
Friday,10,3,54.75,Freitag,October
Friday,10,4,72.25,Freitag,October
Friday,10,5,153.75,Freitag,October
