weekday,month,hour,vehicles,weekday_de,month_name
Friday,1,0,149.5,Freitag,January
Friday,1,1,94.5,Freitag,January
Friday,1,2,69.0,Freitag,January
Friday,1,3,74.5,Freitag,January
Friday,1,4,70.75,Freitag,January
Friday,1,5,159.0,Freitag,January
Friday,1,6,447.25,Freitag,January
Friday,1,7,662.75,Freitag,January
Friday,1,8,648.0,Freitag,January
Friday,1,9,632.75,Freitag,January
Friday,1,10,726.0,Freitag,January
Friday,1,11,851.25,Freitag,January
Friday,1,12,870.5,Freitag,January
Friday,1,13,943.25,Freitag,January
Friday,1,14,1043.5,Freitag,January
Friday,1,15,1199.75,Freitag,January
Friday,1,16,1397.75,Freitag,January
Friday,1,17,1470.0,Freitag,January
Friday,1,18,1245.25,Freitag,January
Friday,1,19,912.25,Freitag,January
Friday,1,20,726.75,Freitag,January
Friday,1,21,557.0,Freitag,January
Friday,1,22,669.25,Freitag,January
Friday,1,23,607.5,Freitag,January
Friday,2,0,172.5,Freitag,February
Friday,2,1,90.5,Freitag,February
Friday,2,2,73.5,Freitag,February
Friday,2,3,70.25,Freitag,February
Friday,2,4,67.5,Freitag,February
Friday,2,5,160.5,Freitag,February
Friday,2,6,480.25,Freitag,February
Friday,2,7,649.5,Freitag,February
Friday,2,8,656.25,Freitag,February
Friday,2,9,649.25,Freitag,February
Friday,2,10,724.25,Freitag,February
Friday,2,11,854.75,Freitag,February
Friday,2,12,869.25,Freitag,February
Friday,2,13,993.25,Freitag,February
Friday,2,14,1063.25,Freitag,February
Friday,2,15,1244.25,Freitag,February
Friday,2,16,1438.5,Freitag,February
Friday,2,17,1507.0,Freitag,February
Friday,2,18,1285.0,Freitag,February
Friday,2,19,927.5,Freitag,February
Friday,2,20,701.75,Freitag,February
Friday,2,21,568.5,Freitag,February
Friday,2,22,647.25,Freitag,February
Friday,2,23,607.0,Freitag,February
Friday,3,0,160.75,Freitag,March
Friday,3,1,90.5,Freitag,March
Friday,3,2,70.75,Freitag,March
Friday,3,3,66.75,Freitag,March
Friday,3,4,75.75,Freitag,March
Friday,3,5,178.0,Freitag,March
Friday,3,6,515.0,Freitag,March
Friday,3,7,722.0,Freitag,March
Friday,3,8,695.0,Freitag,March
Friday,3,9,643.5,Freitag,March
Friday,3,10,724.0,Freitag,March
Friday,3,11,857.75,Freitag,March
Friday,3,12,923.25,Freitag,March
Friday,3,13,957.5,Freitag,March
Friday,3,14,1060.5,Freitag,March
Friday,3,15,1270.75,Freitag,March
Friday,3,16,1476.75,Freitag,March
Friday,3,17,1564.5,Freitag,March
Friday,3,18,1347.0,Freitag,March
Friday,3,19,884.25,Freitag,March
Friday,3,20,772.25,Freitag,March
Friday,3,21,643.0,Freitag,March
Friday,3,22,637.75,Freitag,March
Friday,3,23,654.5,Freitag,March
Friday,4,0,183.0,Freitag,April
Friday,4,1,97.5,Freitag,April
Friday,4,2,67.25,Freitag,April
Friday,4,3,70.0,Freitag,April
Friday,4,4,73.5,Freitag,April
Friday,4,5,188.5,Freitag,April
Friday,4,6,533.75,Freitag,April
Friday,4,7,667.75,Freitag,April
Friday,4,8,591.75,Freitag,April
Friday,4,9,619.0,Freitag,April
Friday,4,10,726.75,Freitag,April
Friday,4,11,817.0,Freitag,April
Friday,4,12,873.0,Freitag,April
Friday,4,13,918.25,Freitag,April
Friday,4,14,1014.75,Freitag,April
Friday,4,15,1193.0,Freitag,April
Friday,4,16,1384.5,Freitag,April
Friday,4,17,1409.75,Freitag,April
Friday,4,18,1256.25,Freitag,April
Friday,4,19,889.75,Freitag,April
Friday,4,20,719.5,Freitag,April
Friday,4,21,624.5,Freitag,April
Friday,4,22,649.25,Freitag,April
Friday,4,23,636.0,Freitag,April
Friday,5,0,174.2,Freitag,May
Friday,5,1,99.0,Freitag,May
Friday,5,2,73.0,Freitag,May
Friday,5,3,64.0,Freitag,May
Friday,5,4,81.4,Freitag,May
Friday,5,5,175.4,Freitag,May
Friday,5,6,475.0,Freitag,May
Friday,5,7,586.2,Freitag,May
Friday,5,8,588.2,Freitag,May
Friday,5,9,597.0,Freitag,May
Friday,5,10,735.0,Freitag,May
Friday,5,11,837.0,Freitag,May
Friday,5,12,878.8,Freitag,May
Friday,5,13,936.4,Freitag,May
Friday,5,14,992.6,Freitag,May
Friday,5,15,1156.4,Freitag,May
Friday,5,16,1353.2,Freitag,May
Friday,5,17,1354.4,Freitag,May
Friday,5,18,1172.6,Freitag,May
Friday,5,19,854.6,Freitag,May
Friday,5,20,697.2,Freitag,May
Friday,5,21,572.2,Freitag,May
Friday,5,22,606.2,Freitag,May
Friday,5,23,603.4,Freitag,May
Friday,6,0,221.0,Freitag,June
Friday,6,1,116.5,Freitag,June
Friday,6,2,86.75,Freitag,June
Friday,6,3,72.5,Freitag,June
Friday,6,4,78.0,Freitag,June
Friday,6,5,201.25,Freitag,June
Friday,6,6,533.25,Freitag,June
Friday,6,7,643.75,Freitag,June
Friday,6,8,616.25,Freitag,June
Friday,6,9,590.0,Freitag,June
Friday,6,10,735.0,Freitag,June
Friday,6,11,857.75,Freitag,June
Friday,6,12,884.5,Freitag,June
Friday,6,13,930.75,Freitag,June
Friday,6,14,1043.0,Freitag,June
Friday,6,15,1185.0,Freitag,June
Friday,6,16,1359.5,Freitag,June
Friday,6,17,1402.25,Freitag,June
Friday,6,18,1148.75,Freitag,June
Friday,6,19,804.75,Freitag,June
Friday,6,20,701.75,Freitag,June
Friday,6,21,556.5,Freitag,June
Friday,6,22,621.5,Freitag,June
Friday,6,23,631.75,Freitag,June
Friday,7,0,187.0,Freitag,July
Friday,7,1,122.33333333333333,Freitag,July
Friday,7,2,92.0,Freitag,July
Friday,7,3,73.33333333333333,Freitag,July
Friday,7,4,79.0,Freitag,July
Friday,7,5,194.66666666666666,Freitag,July
Friday,7,6,486.6666666666667,Freitag,July
Friday,7,7,580.0,Freitag,July
Friday,7,8,602.3333333333334,Freitag,July
Friday,7,9,641.0,Freitag,July
Friday,7,10,730.0,Freitag,July
Friday,7,11,839.3333333333334,Freitag,July
Friday,7,12,892.6666666666666,Freitag,July
Friday,7,13,939.6666666666666,Freitag,July
Friday,7,14,1015.6666666666666,Freitag,July
Friday,7,15,1171.6666666666667,Freitag,July
Friday,7,16,1286.0,Freitag,July
Friday,7,17,1314.0,Freitag,July
Friday,7,18,1098.6666666666667,Freitag,July
Friday,7,19,765.0,Freitag,July
Friday,7,20,639.3333333333334,Freitag,July
Friday,7,21,556.0,Freitag,July
Friday,7,22,528.6666666666666,Freitag,July
Friday,7,23,543.0,Freitag,July
Friday,8,0,213.2,Freitag,August
Friday,8,1,126.6,Freitag,August
Friday,8,2,82.6,Freitag,August
Friday,8,3,73.2,Freitag,August
Friday,8,4,78.2,Freitag,August
Friday,8,5,166.6,Freitag,August
Friday,8,6,426.4,Freitag,August
Friday,8,7,563.2,Freitag,August
Friday,8,8,535.6,Freitag,August
Friday,8,9,626.6,Freitag,August
Friday,8,10,740.6,Freitag,August
Friday,8,11,846.0,Freitag,August
Friday,8,12,855.4,Freitag,August
Friday,8,13,862.8,Freitag,August
Friday,8,14,975.4,Freitag,August
Friday,8,15,1132.4,Freitag,August
Friday,8,16,1313.4,Freitag,August
Friday,8,17,1338.4,Freitag,August
Friday,8,18,1086.0,Freitag,August
Friday,8,19,763.6,Freitag,August
Friday,8,20,613.6,Freitag,August
Friday,8,21,517.8,Freitag,August
Friday,8,22,520.6,Freitag,August
Friday,8,23,522.6,Freitag,August
Friday,9,0,193.75,Freitag,September
Friday,9,1,110.25,Freitag,September
Friday,9,2,81.25,Freitag,September
Friday,9,3,73.5,Freitag,September
Friday,9,4,83.75,Freitag,September
Friday,9,5,190.0,Freitag,September
Friday,9,6,522.0,Freitag,September
Friday,9,7,658.5,Freitag,September
Friday,9,8,634.75,Freitag,September
Friday,9,9,643.75,Freitag,September
Friday,9,10,767.5,Freitag,September
Friday,9,11,862.75,Freitag,September
Friday,9,12,901.25,Freitag,September
Friday,9,13,928.75,Freitag,September
Friday,9,14,1044.75,Freitag,September
Friday,9,15,1249.5,Freitag,September
Friday,9,16,1422.5,Freitag,September
Friday,9,17,1466.75,Freitag,September
Friday,9,18,1248.5,Freitag,September
Friday,9,19,924.5,Freitag,September
Friday,9,20,699.25,Freitag,September
Friday,9,21,597.5,Freitag,September
Friday,9,22,660.0,Freitag,September
Friday,9,23,637.25,Freitag,September
Friday,10,0,182.5,Freitag,October
Friday,10,1,104.75,Freitag,October
Friday,10,2,75.75,Freitag,October
Friday,10,3,66.5,Freitag,October
Friday,10,4,86.75,Freitag,October
Friday,10,5,176.75,Freitag,October
Friday,10,6,488.5,Freitag,October
Friday,10,7,615.0,Freitag,October
Friday,10,8,597.5,Freitag,October
Friday,10,9,584.75,Freitag,October
Friday,10,10,694.25,Freitag,October
Friday,10,11,827.5,Freitag,October
Friday,10,12,875.5,Freitag,October
Friday,10,13,915.0,Freitag,October
Friday,10,14,1056.5,Freitag,October
Friday,10,15,1206.0,Freitag,October
Friday,10,16,1386.75,Freitag,October
Friday,10,17,1384.5,Freitag,October
Friday,10,18,1174.5,Freitag,October
Friday,10,19,866.75,Freitag,October
Friday,10,20,696.5,Freitag,October
Friday,10,21,593.75,Freitag,October
Friday,10,22,679.25,Freitag,October
Friday,10,23,640.5,Freitag,October
Friday,11,0,211.6,Freitag,November
Friday,11,1,120.2,Freitag,November
Friday,11,2,93.0,Freitag,November
Friday,11,3,82.4,Freitag,November
Friday,11,4,80.4,Freitag,November
Friday,11,5,174.6,Freitag,November
Friday,11,6,477.0,Freitag,November
Friday,11,7,615.0,Freitag,November
Friday,11,8,611.0,Freitag,November
Friday,11,9,634.0,Freitag,November
Friday,11,10,757.8,Freitag,November
Friday,11,11,872.0,Freitag,November
Friday,11,12,911.6,Freitag,November
Friday,11,13,941.0,Freitag,November
Friday,11,14,1052.0,Freitag,November
Friday,11,15,1185.0,Freitag,November
Friday,11,16,1383.8,Freitag,November
Friday,11,17,1378.0,Freitag,November
Friday,11,18,1160.4,Freitag,November
Friday,11,19,876.0,Freitag,November
Friday,11,20,725.0,Freitag,November
Friday,11,21,629.0,Freitag,November
Friday,11,22,770.8,Freitag,November
Friday,11,23,817.2,Freitag,November
Friday,12,0,242.0,Freitag,December
Friday,12,1,153.25,Freitag,December
Friday,12,2,104.5,Freitag,December
Friday,12,3,83.75,Freitag,December
Friday,12,4,88.25,Freitag,December
Friday,12,5,158.75,Freitag,December
Friday,12,6,438.75,Freitag,December
Friday,12,7,624.75,Freitag,December
Friday,12,8,627.25,Freitag,December
Friday,12,9,632.5,Freitag,December
Friday,12,10,797.75,Freitag,December
Friday,12,11,905.5,Freitag,December
Friday,12,12,963.0,Freitag,December
Friday,12,13,1031.0,Freitag,December
Friday,12,14,1100.75,Freitag,December
Friday,12,15,1234.75,Freitag,December
Friday,12,16,1387.0,Freitag,December
Friday,12,17,1320.75,Freitag,December
Friday,12,18,1073.5,Freitag,December
Friday,12,19,822.5,Freitag,December
Friday,12,20,715.0,Freitag,December
Friday,12,21,586.25,Freitag,December
Friday,12,22,664.25,Freitag,December
Friday,12,23,682.75,Freitag,December
Monday,1,0,92.66666666666667,Montag,January
Monday,1,1,58.333333333333336,Montag,January
Monday,1,2,51.0,Montag,January
Monday,1,3,45.333333333333336,Montag,January
Monday,1,4,63.333333333333336,Montag,January
Monday,1,5,157.66666666666666,Montag,January
Monday,1,6,506.3333333333333,Montag,January
Monday,1,7,648.0,Montag,January
Monday,1,8,646.6666666666666,Montag,January
Monday,1,9,565.6666666666666,Montag,January
Monday,1,10,634.3333333333334,Montag,January
Monday,1,11,748.3333333333334,Montag,January
Monday,1,12,759.0,Montag,January
Monday,1,13,775.0,Montag,January
Monday,1,14,870.0,Montag,January
Monday,1,15,1062.75,Montag,January
Monday,1,16,1411.75,Montag,January
Monday,1,17,1586.0,Montag,January
Monday,1,18,1395.25,Montag,January
Monday,1,19,844.75,Montag,January
Monday,1,20,613.75,Montag,January
Monday,1,21,452.75,Montag,January
Monday,1,22,371.75,Montag,January
Monday,1,23,198.0,Montag,January
Monday,2,0,95.5,Montag,February
Monday,2,1,62.75,Montag,February
Monday,2,2,51.25,Montag,February
Monday,2,3,48.5,Montag,February
Monday,2,4,62.75,Montag,February
Monday,2,5,162.0,Montag,February
Monday,2,6,496.5,Montag,February
Monday,2,7,633.75,Montag,February
Monday,2,8,614.25,Montag,February
Monday,2,9,555.0,Montag,February
Monday,2,10,601.75,Montag,February
Monday,2,11,689.0,Montag,February
Monday,2,12,724.0,Montag,February
Monday,2,13,751.0,Montag,February
Monday,2,14,834.0,Montag,February
Monday,2,15,1026.75,Montag,February
Monday,2,16,1391.25,Montag,February
Monday,2,17,1548.0,Montag,February
Monday,2,18,1280.5,Montag,February
Monday,2,19,819.75,Montag,February
Monday,2,20,581.25,Montag,February
Monday,2,21,436.25,Montag,February
Monday,2,22,353.5,Montag,February
Monday,2,23,180.75,Montag,February
Monday,3,0,88.0,Montag,March
Monday,3,1,55.75,Montag,March
Monday,3,2,55.25,Montag,March
Monday,3,3,55.0,Montag,March
Monday,3,4,57.5,Montag,March
Monday,3,5,178.75,Montag,March
Monday,3,6,518.5,Montag,March
Monday,3,7,656.25,Montag,March
Monday,3,8,618.75,Montag,March
Monday,3,9,584.25,Montag,March
Monday,3,10,617.0,Montag,March
Monday,3,11,748.5,Montag,March
Monday,3,12,760.0,Montag,March
Monday,3,13,792.5,Montag,March
Monday,3,14,881.5,Montag,March
Monday,3,15,1064.25,Montag,March
Monday,3,16,1410.0,Montag,March
Monday,3,17,1599.5,Montag,March
Monday,3,18,1417.75,Montag,March
Monday,3,19,876.75,Montag,March
Monday,3,20,617.75,Montag,March
Monday,3,21,515.0,Montag,March
Monday,3,22,450.0,Montag,March
Monday,3,23,233.25,Montag,March
Monday,4,0,102.25,Montag,April
Monday,4,1,59.5,Montag,April
Monday,4,2,59.5,Montag,April
Monday,4,3,50.25,Montag,April
Monday,4,4,62.75,Montag,April
Monday,4,5,195.5,Montag,April
Monday,4,6,551.5,Montag,April
Monday,4,7,662.5,Montag,April
Monday,4,8,620.25,Montag,April
Monday,4,9,568.0,Montag,April
Monday,4,10,654.25,Montag,April
Monday,4,11,738.25,Montag,April
Monday,4,12,773.0,Montag,April
Monday,4,13,772.0,Montag,April
Monday,4,14,849.75,Montag,April
Monday,4,15,992.5,Montag,April
Monday,4,16,1315.0,Montag,April
Monday,4,17,1455.75,Montag,April
