weekday,month,hour,vehicles,weekday_de,month_name
Friday,1,0,30.25,Freitag,January
Friday,1,1,28.25,Freitag,January
Friday,1,2,14.25,Freitag,January
Friday,1,3,16.0,Freitag,January
Friday,1,4,25.25,Freitag,January
Friday,1,5,57.25,Freitag,January
Friday,1,6,193.25,Freitag,January
Friday,1,7,289.75,Freitag,January
Friday,1,8,327.5,Freitag,January
Friday,1,9,286.75,Freitag,January
Friday,1,10,246.5,Freitag,January
Friday,1,11,243.25,Freitag,January
Friday,1,12,239.25,Freitag,January
Friday,1,13,256.0,Freitag,January
Friday,1,14,235.25,Freitag,January
Friday,1,15,187.0,Freitag,January
Friday,1,16,180.5,Freitag,January
Friday,1,17,188.0,Freitag,January
Friday,1,18,170.5,Freitag,January
Friday,1,19,158.25,Freitag,January
Friday,1,20,123.75,Freitag,January
Friday,1,21,86.5,Freitag,January
Friday,1,22,87.0,Freitag,January
Friday,1,23,77.5,Freitag,January
Friday,2,0,33.0,Freitag,February
Friday,2,1,27.5,Freitag,February
Friday,2,2,14.25,Freitag,February
Friday,2,3,14.5,Freitag,February
Friday,2,4,23.25,Freitag,February
Friday,2,5,56.0,Freitag,February
Friday,2,6,203.5,Freitag,February
Friday,2,7,315.75,Freitag,February
Friday,2,8,326.25,Freitag,February
Friday,2,9,298.75,Freitag,February
Friday,2,10,270.5,Freitag,February
Friday,2,11,223.75,Freitag,February
Friday,2,12,239.5,Freitag,February
Friday,2,13,235.5,Freitag,February
Friday,2,14,210.75,Freitag,February
Friday,2,15,192.5,Freitag,February
Friday,2,16,173.5,Freitag,February
Friday,2,17,177.0,Freitag,February
Friday,2,18,164.25,Freitag,February
Friday,2,19,148.5,Freitag,February
Friday,2,20,125.25,Freitag,February
Friday,2,21,104.75,Freitag,February
Friday,2,22,89.25,Freitag,February
Friday,2,23,75.75,Freitag,February
Friday,3,0,32.5,Freitag,March
Friday,3,1,27.25,Freitag,March
Friday,3,2,16.75,Freitag,March
Friday,3,3,16.0,Freitag,March
Friday,3,4,22.75,Freitag,March
Friday,3,5,60.75,Freitag,March
Friday,3,6,220.5,Freitag,March
Friday,3,7,311.75,Freitag,March
Friday,3,8,328.0,Freitag,March
Friday,3,9,287.75,Freitag,March
Friday,3,10,267.0,Freitag,March
Friday,3,11,239.75,Freitag,March
Friday,3,12,236.75,Freitag,March
Friday,3,13,238.75,Freitag,March
Friday,3,14,212.25,Freitag,March
Friday,3,15,176.5,Freitag,March
Friday,3,16,146.5,Freitag,March
Friday,3,17,150.75,Freitag,March
Friday,3,18,166.5,Freitag,March
Friday,3,19,140.5,Freitag,March
Friday,3,20,128.25,Freitag,March
Friday,3,21,106.25,Freitag,March
Friday,3,22,90.0,Freitag,March
Friday,3,23,79.0,Freitag,March
Friday,4,0,31.5,Freitag,April
Friday,4,1,26.75,Freitag,April
Friday,4,2,19.0,Freitag,April
Friday,4,3,15.5,Freitag,April
Friday,4,4,25.0,Freitag,April
Friday,4,5,64.5,Freitag,April
Friday,4,6,199.25,Freitag,April
Friday,4,7,303.75,Freitag,April
Friday,4,8,323.0,Freitag,April
Friday,4,9,268.25,Freitag,April
Friday,4,10,241.75,Freitag,April
Friday,4,11,236.0,Freitag,April
Friday,4,12,225.0,Freitag,April
Friday,4,13,234.0,Freitag,April
Friday,4,14,195.75,Freitag,April
Friday,4,15,185.75,Freitag,April
Friday,4,16,152.25,Freitag,April
Friday,4,17,170.0,Freitag,April
Friday,4,18,154.0,Freitag,April
Friday,4,19,149.0,Freitag,April
