weekday,month,hour,vehicles,weekday_de,month_name
Friday,1,0,95.75,Freitag,January
Friday,1,1,69.25,Freitag,January
Friday,1,2,54.0,Freitag,January
Friday,1,3,46.75,Freitag,January
Friday,1,4,63.0,Freitag,January
Friday,1,5,128.5,Freitag,January
Friday,1,6,392.0,Freitag,January
Friday,1,7,542.25,Freitag,January
Friday,1,8,541.75,Freitag,January
Friday,1,9,551.25,Freitag,January
Friday,1,10,584.25,Freitag,January
Friday,1,11,603.5,Freitag,January
Friday,1,12,624.25,Freitag,January
Friday,1,13,610.5,Freitag,January
Friday,1,14,662.0,Freitag,January
Friday,1,15,672.25,Freitag,January
Friday,1,16,721.75,Freitag,January
Friday,1,17,727.75,Freitag,January
Friday,1,18,695.5,Freitag,January
Friday,1,19,545.0,Freitag,January
Friday,1,20,408.0,Freitag,January
Friday,1,21,375.75,Freitag,January
Friday,1,22,424.75,Freitag,January
Friday,1,23,370.0,Freitag,January
Friday,2,0,103.75,Freitag,February
Friday,2,1,62.5,Freitag,February
Friday,2,2,47.25,Freitag,February
Friday,2,3,45.5,Freitag,February
Friday,2,4,61.5,Freitag,February
Friday,2,5,143.75,Freitag,February
Friday,2,6,454.0,Freitag,February
Friday,2,7,597.25,Freitag,February
Friday,2,8,591.0,Freitag,February
Friday,2,9,585.0,Freitag,February
Friday,2,10,608.0,Freitag,February
Friday,2,11,642.75,Freitag,February
Friday,2,12,638.25,Freitag,February
Friday,2,13,652.25,Freitag,February
Friday,2,14,710.75,Freitag,February
Friday,2,15,731.0,Freitag,February
Friday,2,16,743.0,Freitag,February
Friday,2,17,753.0,Freitag,February
Friday,2,18,706.5,Freitag,February
Friday,2,19,560.5,Freitag,February
Friday,2,20,431.75,Freitag,February
Friday,2,21,401.0,Freitag,February
Friday,2,22,473.25,Freitag,February
Friday,2,23,390.5,Freitag,February
Friday,3,0,121.25,Freitag,March
Friday,3,1,71.5,Freitag,March
Friday,3,2,45.5,Freitag,March
Friday,3,3,46.0,Freitag,March
Friday,3,4,64.0,Freitag,March
Friday,3,5,149.0,Freitag,March
Friday,3,6,483.5,Freitag,March
Friday,3,7,683.0,Freitag,March
Friday,3,8,585.75,Freitag,March
Friday,3,9,611.75,Freitag,March
Friday,3,10,651.75,Freitag,March
Friday,3,11,677.25,Freitag,March
Friday,3,12,671.0,Freitag,March
Friday,3,13,643.5,Freitag,March
Friday,3,14,683.75,Freitag,March
Friday,3,15,739.75,Freitag,March
Friday,3,16,716.0,Freitag,March
Friday,3,17,722.5,Freitag,March
Friday,3,18,718.75,Freitag,March
Friday,3,19,548.25,Freitag,March
Friday,3,20,464.25,Freitag,March
Friday,3,21,424.0,Freitag,March
Friday,3,22,499.0,Freitag,March
Friday,3,23,466.5,Freitag,March
Friday,4,0,117.75,Freitag,April
Friday,4,1,69.0,Freitag,April
Friday,4,2,57.0,Freitag,April
Friday,4,3,46.75,Freitag,April
Friday,4,4,59.75,Freitag,April
Friday,4,5,151.25,Freitag,April
Friday,4,6,463.25,Freitag,April
Friday,4,7,656.5,Freitag,April
Friday,4,8,613.0,Freitag,April
Friday,4,9,613.0,Freitag,April
Friday,4,10,671.0,Freitag,April
Friday,4,11,664.0,Freitag,April
Friday,4,12,661.0,Freitag,April
Friday,4,13,635.25,Freitag,April
Friday,4,14,686.75,Freitag,April
Friday,4,15,734.75,Freitag,April
Friday,4,16,700.5,Freitag,April
Friday,4,17,703.5,Freitag,April
Friday,4,18,667.25,Freitag,April
Friday,4,19,581.75,Freitag,April
Friday,4,20,472.5,Freitag,April
Friday,4,21,439.75,Freitag,April
Friday,4,22,490.75,Freitag,April
Friday,4,23,463.25,Freitag,April
Friday,5,0,136.6,Freitag,May
Friday,5,1,79.2,Freitag,May
Friday,5,2,59.2,Freitag,May
Friday,5,3,39.2,Freitag,May
Friday,5,4,59.4,Freitag,May
Friday,5,5,132.6,Freitag,May
Friday,5,6,444.6,Freitag,May
Friday,5,7,567.2,Freitag,May
Friday,5,8,554.8,Freitag,May
Friday,5,9,597.6,Freitag,May
Friday,5,10,640.0,Freitag,May
Friday,5,11,650.2,Freitag,May
Friday,5,12,652.6,Freitag,May
Friday,5,13,617.6,Freitag,May
Friday,5,14,637.4,Freitag,May
Friday,5,15,675.0,Freitag,May
Friday,5,16,698.6,Freitag,May
Friday,5,17,696.0,Freitag,May
Friday,5,18,671.2,Freitag,May
Friday,5,19,552.0,Freitag,May
Friday,5,20,460.4,Freitag,May
Friday,5,21,437.4,Freitag,May
Friday,5,22,486.8,Freitag,May
Friday,5,23,471.2,Freitag,May
Friday,6,0,75.0,Freitag,June
Friday,6,1,43.5,Freitag,June
Friday,6,2,37.5,Freitag,June
Friday,6,3,34.5,Freitag,June
Friday,6,4,58.0,Freitag,June
Friday,6,5,160.5,Freitag,June
Friday,6,6,491.0,Freitag,June
Friday,6,7,614.0,Freitag,June
Friday,6,8,576.5,Freitag,June
Friday,6,9,605.5,Freitag,June
Friday,6,10,661.0,Freitag,June
Friday,6,11,663.5,Freitag,June
Friday,6,12,648.0,Freitag,June
Friday,6,13,622.0,Freitag,June
Friday,6,14,686.5,Freitag,June
Friday,6,15,719.0,Freitag,June
Friday,6,16,723.5,Freitag,June
Friday,6,17,695.5,Freitag,June
Friday,6,18,665.0,Freitag,June
Friday,6,19,537.0,Freitag,June
Friday,6,20,489.5,Freitag,June
Friday,6,21,479.0,Freitag,June
Friday,6,22,613.5,Freitag,June
Friday,6,23,593.5,Freitag,June
Friday,7,0,3688.6666666666665,Freitag,July
Friday,7,1,1277.0,Freitag,July
Friday,7,2,1980.6666666666667,Freitag,July
Friday,7,3,2197.0,Freitag,July
Friday,7,4,1715.3333333333333,Freitag,July
Friday,7,5,1587.3333333333333,Freitag,July
Friday,7,6,1890.6666666666667,Freitag,July
Friday,7,7,2376.3333333333335,Freitag,July
Friday,7,8,2405.6666666666665,Freitag,July
Friday,7,9,2935.0,Freitag,July
Friday,7,10,3909.6666666666665,Freitag,July
Friday,7,11,3324.3333333333335,Freitag,July
Friday,7,12,1982.6666666666667,Freitag,July
Friday,7,13,1024.6666666666667,Freitag,July
Friday,7,14,1514.0,Freitag,July
Friday,7,15,1002.6666666666666,Freitag,July
Friday,7,16,1184.0,Freitag,July
Friday,7,17,1178.6666666666667,Freitag,July
Friday,7,18,718.0,Freitag,July
Friday,7,19,1307.6666666666667,Freitag,July
Friday,7,20,2503.0,Freitag,July
Friday,7,21,2451.0,Freitag,July
Friday,7,22,2443.0,Freitag,July
Friday,7,23,2645.6666666666665,Freitag,July
Friday,8,0,611.8,Freitag,August
Friday,8,1,790.6,Freitag,August
Friday,8,2,722.8,Freitag,August
Friday,8,3,299.8,Freitag,August
Friday,8,4,602.4,Freitag,August
Friday,8,5,716.4,Freitag,August
Friday,8,6,910.6,Freitag,August
Friday,8,7,1665.8,Freitag,August
Friday,8,8,2384.0,Freitag,August
Friday,8,9,2752.8,Freitag,August
Friday,8,10,2807.8,Freitag,August
Friday,8,11,2262.4,Freitag,August
Friday,8,12,1722.4,Freitag,August
Friday,8,13,2350.0,Freitag,August
Friday,8,14,2050.0,Freitag,August
Friday,8,15,1724.2,Freitag,August
Friday,8,16,1755.8,Freitag,August
