weekday,month,hour,vehicles,weekday_de,month_name
Friday,1,0,70.5,Freitag,January
Friday,1,1,42.25,Freitag,January
Friday,1,2,37.75,Freitag,January
Friday,1,3,38.25,Freitag,January
Friday,1,4,34.25,Freitag,January
Friday,1,5,67.75,Freitag,January
Friday,1,6,142.5,Freitag,January
Friday,1,7,192.75,Freitag,January
Friday,1,8,200.75,Freitag,January
Friday,1,9,217.5,Freitag,January
Friday,1,10,264.0,Freitag,January
Friday,1,11,306.75,Freitag,January
Friday,1,12,270.75,Freitag,January
Friday,1,13,298.0,Freitag,January
Friday,1,14,334.25,Freitag,January
Friday,1,15,377.75,Freitag,January
Friday,1,16,392.0,Freitag,January
Friday,1,17,391.0,Freitag,January
Friday,1,18,324.5,Freitag,January
Friday,1,19,273.0,Freitag,January
Friday,1,20,230.5,Freitag,January
Friday,1,21,203.5,Freitag,January
Friday,1,22,203.75,Freitag,January
Friday,1,23,180.25,Freitag,January
Friday,2,0,70.0,Freitag,February
Friday,2,1,50.75,Freitag,February
Friday,2,2,42.25,Freitag,February
Friday,2,3,39.75,Freitag,February
Friday,2,4,41.25,Freitag,February
Friday,2,5,65.5,Freitag,February
Friday,2,6,150.75,Freitag,February
Friday,2,7,203.25,Freitag,February
Friday,2,8,214.75,Freitag,February
Friday,2,9,224.5,Freitag,February
Friday,2,10,284.0,Freitag,February
Friday,2,11,319.75,Freitag,February
Friday,2,12,295.25,Freitag,February
Friday,2,13,309.75,Freitag,February
Friday,2,14,373.25,Freitag,February
Friday,2,15,396.5,Freitag,February
Friday,2,16,458.75,Freitag,February
Friday,2,17,412.5,Freitag,February
Friday,2,18,338.0,Freitag,February
Friday,2,19,272.0,Freitag,February
Friday,2,20,238.5,Freitag,February
Friday,2,21,212.75,Freitag,February
Friday,2,22,198.75,Freitag,February
Friday,2,23,192.5,Freitag,February
Friday,3,0,80.25,Freitag,March
Friday,3,1,58.5,Freitag,March
Friday,3,2,44.0,Freitag,March
Friday,3,3,37.75,Freitag,March
Friday,3,4,37.0,Freitag,March
Friday,3,5,75.75,Freitag,March
Friday,3,6,167.0,Freitag,March
Friday,3,7,217.5,Freitag,March
Friday,3,8,220.0,Freitag,March
Friday,3,9,231.75,Freitag,March
Friday,3,10,292.25,Freitag,March
Friday,3,11,308.25,Freitag,March
Friday,3,12,300.25,Freitag,March
Friday,3,13,324.0,Freitag,March
Friday,3,14,373.0,Freitag,March
Friday,3,15,436.0,Freitag,March
Friday,3,16,438.5,Freitag,March
