weekday,month,hour,vehicles,weekday_de,month_name
Friday,1,0,20.0,Freitag,January
Friday,1,1,13.0,Freitag,January
Friday,1,2,7.0,Freitag,January
Friday,1,3,11.5,Freitag,January
Friday,1,4,19.5,Freitag,January
Friday,1,5,57.5,Freitag,January
Friday,1,6,115.5,Freitag,January
Friday,1,7,200.25,Freitag,January
Friday,1,8,205.5,Freitag,January
Friday,1,9,179.75,Freitag,January
Friday,1,10,181.5,Freitag,January
Friday,1,11,183.0,Freitag,January
Friday,1,12,183.0,Freitag,January
Friday,1,13,199.25,Freitag,January
Friday,1,14,217.5,Freitag,January
Friday,1,15,217.5,Freitag,January
Friday,1,16,241.5,Freitag,January
Friday,1,17,232.5,Freitag,January
Friday,1,18,195.5,Freitag,January
Friday,1,19,151.75,Freitag,January
Friday,1,20,125.25,Freitag,January
Friday,1,21,83.0,Freitag,January
Friday,1,22,79.25,Freitag,January
Friday,1,23,61.25,Freitag,January
Friday,2,0,24.5,Freitag,February
Friday,2,1,12.75,Freitag,February
Friday,2,2,9.5,Freitag,February
Friday,2,3,9.0,Freitag,February
Friday,2,4,15.75,Freitag,February
Friday,2,5,61.25,Freitag,February
Friday,2,6,129.75,Freitag,February
Friday,2,7,212.0,Freitag,February
Friday,2,8,220.5,Freitag,February
Friday,2,9,205.25,Freitag,February
Friday,2,10,206.25,Freitag,February
Friday,2,11,198.75,Freitag,February
Friday,2,12,184.75,Freitag,February
Friday,2,13,205.0,Freitag,February
Friday,2,14,225.0,Freitag,February
Friday,2,15,229.25,Freitag,February
Friday,2,16,250.25,Freitag,February
Friday,2,17,245.75,Freitag,February
Friday,2,18,221.25,Freitag,February
Friday,2,19,163.25,Freitag,February
Friday,2,20,107.75,Freitag,February
Friday,2,21,86.0,Freitag,February
Friday,2,22,81.5,Freitag,February
Friday,2,23,64.0,Freitag,February
Friday,3,0,24.25,Freitag,March
Friday,3,1,12.5,Freitag,March
Friday,3,2,12.25,Freitag,March
Friday,3,3,8.5,Freitag,March
Friday,3,4,15.5,Freitag,March
Friday,3,5,68.25,Freitag,March
Friday,3,6,147.0,Freitag,March
Friday,3,7,226.0,Freitag,March
Friday,3,8,245.75,Freitag,March
Friday,3,9,209.5,Freitag,March
Friday,3,10,212.5,Freitag,March
Friday,3,11,212.0,Freitag,March
Friday,3,12,195.0,Freitag,March
Friday,3,13,208.75,Freitag,March
Friday,3,14,216.75,Freitag,March
Friday,3,15,214.0,Freitag,March
Friday,3,16,243.0,Freitag,March
Friday,3,17,265.25,Freitag,March
Friday,3,18,230.25,Freitag,March
Friday,3,19,181.0,Freitag,March
Friday,3,20,134.25,Freitag,March
Friday,3,21,90.75,Freitag,March
Friday,3,22,89.5,Freitag,March
Friday,3,23,68.75,Freitag,March
Friday,4,0,22.25,Freitag,April
Friday,4,1,16.75,Freitag,April
Friday,4,2,9.75,Freitag,April
Friday,4,3,7.0,Freitag,April
Friday,4,4,18.0,Freitag,April
Friday,4,5,66.75,Freitag,April
Friday,4,6,128.75,Freitag,April
Friday,4,7,221.75,Freitag,April
Friday,4,8,224.25,Freitag,April
Friday,4,9,210.25,Freitag,April
Friday,4,10,197.0,Freitag,April
Friday,4,11,198.25,Freitag,April
Friday,4,12,187.0,Freitag,April
Friday,4,13,213.25,Freitag,April
Friday,4,14,211.5,Freitag,April
Friday,4,15,217.5,Freitag,April
Friday,4,16,249.5,Freitag,April
Friday,4,17,241.25,Freitag,April
Friday,4,18,220.0,Freitag,April
Friday,4,19,160.75,Freitag,April
Friday,4,20,131.0,Freitag,April
Friday,4,21,97.0,Freitag,April
Friday,4,22,84.25,Freitag,April
Friday,4,23,65.25,Freitag,April
Friday,5,0,27.8,Freitag,May
