weekday,month,hour,vehicles,weekday_de,month_name
Friday,1,0,128.25,Freitag,January
Friday,1,1,85.25,Freitag,January
Friday,1,2,64.75,Freitag,January
Friday,1,3,92.25,Freitag,January
Friday,1,4,146.25,Freitag,January
Friday,1,5,105.0,Freitag,January
Friday,1,6,248.5,Freitag,January
Friday,1,7,282.25,Freitag,January
Friday,1,8,265.5,Freitag,January
Friday,1,9,224.5,Freitag,January
Friday,1,10,254.75,Freitag,January
Friday,1,11,292.25,Freitag,January
Friday,1,12,315.75,Freitag,January
Friday,1,13,294.75,Freitag,January
Friday,1,14,307.0,Freitag,January
Friday,1,15,333.75,Freitag,January
Friday,1,16,356.5,Freitag,January
Friday,1,17,356.5,Freitag,January
Friday,1,18,350.75,Freitag,January
Friday,1,19,279.5,Freitag,January
Friday,1,20,253.5,Freitag,January
Friday,1,21,167.75,Freitag,January
Friday,1,22,161.75,Freitag,January
Friday,1,23,122.0,Freitag,January
Friday,2,0,122.25,Freitag,February
Friday,2,1,88.5,Freitag,February
Friday,2,2,75.5,Freitag,February
Friday,2,3,113.5,Freitag,February
Friday,2,4,199.25,Freitag,February
Friday,2,5,150.75,Freitag,February
Friday,2,6,346.25,Freitag,February
Friday,2,7,344.5,Freitag,February
Friday,2,8,284.75,Freitag,February
Friday,2,9,275.75,Freitag,February
Friday,2,10,298.25,Freitag,February
Friday,2,11,334.5,Freitag,February
Friday,2,12,341.75,Freitag,February
Friday,2,13,346.75,Freitag,February
Friday,2,14,338.25,Freitag,February
Friday,2,15,370.25,Freitag,February
Friday,2,16,394.0,Freitag,February
Friday,2,17,393.75,Freitag,February
Friday,2,18,372.25,Freitag,February
Friday,2,19,329.25,Freitag,February
Friday,2,20,279.25,Freitag,February
Friday,2,21,221.75,Freitag,February
Friday,2,22,176.25,Freitag,February
Friday,2,23,149.25,Freitag,February
Friday,3,0,136.75,Freitag,March
Friday,3,1,102.75,Freitag,March
Friday,3,2,84.5,Freitag,March
Friday,3,3,108.25,Freitag,March
Friday,3,4,209.0,Freitag,March
Friday,3,5,157.75,Freitag,March
Friday,3,6,329.0,Freitag,March
Friday,3,7,361.75,Freitag,March
Friday,3,8,321.75,Freitag,March
Friday,3,9,289.0,Freitag,March
Friday,3,10,279.0,Freitag,March
Friday,3,11,316.75,Freitag,March
Friday,3,12,332.0,Freitag,March
Friday,3,13,329.75,Freitag,March
Friday,3,14,341.0,Freitag,March
Friday,3,15,353.0,Freitag,March
Friday,3,16,395.5,Freitag,March
Friday,3,17,391.0,Freitag,March
Friday,3,18,380.25,Freitag,March
Friday,3,19,328.5,Freitag,March
Friday,3,20,270.25,Freitag,March
Friday,3,21,211.5,Freitag,March
Friday,3,22,180.25,Freitag,March
Friday,3,23,161.5,Freitag,March
Friday,4,0,126.5,Freitag,April
Friday,4,1,102.25,Freitag,April
Friday,4,2,70.0,Freitag,April
Friday,4,3,95.0,Freitag,April
Friday,4,4,163.25,Freitag,April
Friday,4,5,118.75,Freitag,April
Friday,4,6,269.25,Freitag,April
Friday,4,7,284.0,Freitag,April
Friday,4,8,250.0,Freitag,April
Friday,4,9,235.0,Freitag,April
Friday,4,10,278.25,Freitag,April
Friday,4,11,286.25,Freitag,April
Friday,4,12,311.0,Freitag,April
Friday,4,13,326.75,Freitag,April
Friday,4,14,331.5,Freitag,April
Friday,4,15,361.25,Freitag,April
Friday,4,16,380.25,Freitag,April
Friday,4,17,370.25,Freitag,April
Friday,4,18,341.0,Freitag,April
Friday,4,19,292.75,Freitag,April
Friday,4,20,265.5,Freitag,April
Friday,4,21,232.5,Freitag,April
Friday,4,22,188.75,Freitag,April
Friday,4,23,150.75,Freitag,April
Friday,5,0,119.8,Freitag,May
Friday,5,1,99.2,Freitag,May
Friday,5,2,71.4,Freitag,May
Friday,5,3,85.2,Freitag,May
Friday,5,4,166.0,Freitag,May
Friday,5,5,99.2,Freitag,May
Friday,5,6,248.6,Freitag,May
Friday,5,7,261.2,Freitag,May
Friday,5,8,258.8,Freitag,May
Friday,5,9,253.8,Freitag,May
Friday,5,10,269.2,Freitag,May
Friday,5,11,315.6,Freitag,May
Friday,5,12,322.0,Freitag,May
Friday,5,13,340.0,Freitag,May
Friday,5,14,330.4,Freitag,May
Friday,5,15,347.6,Freitag,May
Friday,5,16,361.4,Freitag,May
Friday,5,17,368.8,Freitag,May
Friday,5,18,345.0,Freitag,May
Friday,5,19,306.0,Freitag,May
