weekday,month,hour,vehicles,weekday_de,month_name
Friday,1,0,53.0,Freitag,January
Friday,1,1,43.75,Freitag,January
Friday,1,2,24.0,Freitag,January
Friday,1,3,23.0,Freitag,January
Friday,1,4,28.0,Freitag,January
Friday,1,5,85.25,Freitag,January
Friday,1,6,271.0,Freitag,January
Friday,1,7,545.75,Freitag,January
Friday,1,8,641.5,Freitag,January
Friday,1,9,554.75,Freitag,January
Friday,1,10,490.25,Freitag,January
Friday,1,11,548.0,Freitag,January
Friday,1,12,456.5,Freitag,January
Friday,1,13,471.5,Freitag,January
Friday,1,14,471.0,Freitag,January
Friday,1,15,462.5,Freitag,January
Friday,1,16,530.25,Freitag,January
Friday,1,17,564.5,Freitag,January
Friday,1,18,449.0,Freitag,January
Friday,1,19,281.5,Freitag,January
Friday,1,20,194.25,Freitag,January
Friday,1,21,153.0,Freitag,January
Friday,1,22,147.0,Freitag,January
Friday,1,23,116.75,Freitag,January
Friday,2,0,61.0,Freitag,February
Friday,2,1,39.25,Freitag,February
Friday,2,2,18.75,Freitag,February
Friday,2,3,20.0,Freitag,February
Friday,2,4,22.25,Freitag,February
Friday,2,5,83.0,Freitag,February
Friday,2,6,282.25,Freitag,February
Friday,2,7,589.75,Freitag,February
Friday,2,8,646.0,Freitag,February
Friday,2,9,538.5,Freitag,February
Friday,2,10,517.25,Freitag,February
Friday,2,11,502.5,Freitag,February
Friday,2,12,469.5,Freitag,February
Friday,2,13,488.25,Freitag,February
Friday,2,14,473.25,Freitag,February
Friday,2,15,480.75,Freitag,February
Friday,2,16,531.5,Freitag,February
Friday,2,17,545.0,Freitag,February
Friday,2,18,447.5,Freitag,February
Friday,2,19,314.25,Freitag,February
Friday,2,20,215.25,Freitag,February
Friday,2,21,170.0,Freitag,February
Friday,2,22,150.5,Freitag,February
Friday,2,23,116.25,Freitag,February
Friday,3,0,60.25,Freitag,March
Friday,3,1,46.75,Freitag,March
Friday,3,2,27.75,Freitag,March
Friday,3,3,20.0,Freitag,March
Friday,3,4,27.5,Freitag,March
Friday,3,5,89.5,Freitag,March
Friday,3,6,306.75,Freitag,March
Friday,3,7,589.25,Freitag,March
Friday,3,8,672.25,Freitag,March
Friday,3,9,538.75,Freitag,March
Friday,3,10,522.75,Freitag,March
Friday,3,11,521.25,Freitag,March
Friday,3,12,449.5,Freitag,March
Friday,3,13,479.75,Freitag,March
Friday,3,14,496.5,Freitag,March
Friday,3,15,470.25,Freitag,March
Friday,3,16,531.5,Freitag,March
Friday,3,17,562.5,Freitag,March
Friday,3,18,495.75,Freitag,March
Friday,3,19,324.25,Freitag,March
Friday,3,20,220.0,Freitag,March
Friday,3,21,183.25,Freitag,March
Friday,3,22,171.0,Freitag,March
Friday,3,23,155.25,Freitag,March
Friday,4,0,58.0,Freitag,April
Friday,4,1,51.0,Freitag,April
Friday,4,2,30.5,Freitag,April
Friday,4,3,22.25,Freitag,April
Friday,4,4,22.5,Freitag,April
Friday,4,5,90.5,Freitag,April
Friday,4,6,289.0,Freitag,April
Friday,4,7,602.75,Freitag,April
Friday,4,8,655.5,Freitag,April
Friday,4,9,553.75,Freitag,April
Friday,4,10,559.5,Freitag,April
Friday,4,11,535.75,Freitag,April
Friday,4,12,488.75,Freitag,April
Friday,4,13,475.75,Freitag,April
Friday,4,14,491.0,Freitag,April
Friday,4,15,506.0,Freitag,April
Friday,4,16,582.75,Freitag,April
Friday,4,17,607.0,Freitag,April
Friday,4,18,526.0,Freitag,April
Friday,4,19,345.5,Freitag,April
Friday,4,20,211.5,Freitag,April
Friday,4,21,196.0,Freitag,April
Friday,4,22,178.0,Freitag,April
Friday,4,23,141.0,Freitag,April
Friday,5,0,64.4,Freitag,May
Friday,5,1,40.0,Freitag,May
Friday,5,2,26.8,Freitag,May
Friday,5,3,17.4,Freitag,May
Friday,5,4,22.2,Freitag,May
Friday,5,5,82.4,Freitag,May
Friday,5,6,282.4,Freitag,May
Friday,5,7,573.2,Freitag,May
Friday,5,8,634.2,Freitag,May
Friday,5,9,563.2,Freitag,May
Friday,5,10,563.2,Freitag,May
Friday,5,11,579.8,Freitag,May
Friday,5,12,521.0,Freitag,May
Friday,5,13,538.6,Freitag,May
Friday,5,14,591.2,Freitag,May
Friday,5,15,612.2,Freitag,May
Friday,5,16,662.2,Freitag,May
Friday,5,17,629.8,Freitag,May
Friday,5,18,538.8,Freitag,May
Friday,5,19,348.8,Freitag,May
Friday,5,20,221.6,Freitag,May
Friday,5,21,185.8,Freitag,May
Friday,5,22,184.0,Freitag,May
Friday,5,23,143.4,Freitag,May
Friday,6,0,82.0,Freitag,June
Friday,6,1,62.5,Freitag,June
Friday,6,2,41.0,Freitag,June
Friday,6,3,28.25,Freitag,June
Friday,6,4,29.25,Freitag,June
Friday,6,5,95.0,Freitag,June
Friday,6,6,306.25,Freitag,June
Friday,6,7,622.25,Freitag,June
Friday,6,8,707.0,Freitag,June
Friday,6,9,601.0,Freitag,June
Friday,6,10,563.0,Freitag,June
Friday,6,11,601.75,Freitag,June
Friday,6,12,506.25,Freitag,June
Friday,6,13,471.25,Freitag,June
Friday,6,14,559.75,Freitag,June
Friday,6,15,579.0,Freitag,June
Friday,6,16,752.25,Freitag,June
Friday,6,17,678.25,Freitag,June
Friday,6,18,609.0,Freitag,June
Friday,6,19,391.25,Freitag,June
Friday,6,20,250.75,Freitag,June
Friday,6,21,180.5,Freitag,June
Friday,6,22,212.0,Freitag,June
Friday,6,23,170.75,Freitag,June
Friday,7,0,66.33333333333333,Freitag,July
Friday,7,1,48.666666666666664,Freitag,July
Friday,7,2,30.0,Freitag,July
Friday,7,3,32.0,Freitag,July
Friday,7,4,34.333333333333336,Freitag,July
Friday,7,5,93.0,Freitag,July
Friday,7,6,320.0,Freitag,July
Friday,7,7,586.6666666666666,Freitag,July
Friday,7,8,608.3333333333334,Freitag,July
Friday,7,9,549.0,Freitag,July
Friday,7,10,554.0,Freitag,July
Friday,7,11,596.0,Freitag,July
Friday,7,12,521.0,Freitag,July
Friday,7,13,479.0,Freitag,July
Friday,7,14,545.0,Freitag,July
Friday,7,15,570.6666666666666,Freitag,July
Friday,7,16,681.3333333333334,Freitag,July
Friday,7,17,640.0,Freitag,July
Friday,7,18,541.6666666666666,Freitag,July
Friday,7,19,327.3333333333333,Freitag,July
Friday,7,20,227.0,Freitag,July
Friday,7,21,176.0,Freitag,July
Friday,7,22,183.33333333333334,Freitag,July
Friday,7,23,138.33333333333334,Freitag,July
Friday,8,0,67.4,Freitag,August
Friday,8,1,49.0,Freitag,August
Friday,8,2,36.4,Freitag,August
Friday,8,3,24.6,Freitag,August
Friday,8,4,26.2,Freitag,August
Friday,8,5,79.8,Freitag,August
Friday,8,6,278.2,Freitag,August
Friday,8,7,545.6,Freitag,August
Friday,8,8,595.8,Freitag,August
Friday,8,9,544.6,Freitag,August
Friday,8,10,516.0,Freitag,August
Friday,8,11,547.2,Freitag,August
Friday,8,12,460.0,Freitag,August
Friday,8,13,464.0,Freitag,August
Friday,8,14,515.6,Freitag,August
Friday,8,15,503.2,Freitag,August
Friday,8,16,601.0,Freitag,August
Friday,8,17,605.0,Freitag,August
Friday,8,18,481.0,Freitag,August
Friday,8,19,333.0,Freitag,August
