weekday,month,hour,vehicles,weekday_de,month_name
Friday,1,0,48.75,Freitag,January
Friday,1,1,30.5,Freitag,January
Friday,1,2,21.0,Freitag,January
Friday,1,3,16.5,Freitag,January
Friday,1,4,19.0,Freitag,January
Friday,1,5,37.25,Freitag,January
Friday,1,6,101.0,Freitag,January
Friday,1,7,145.75,Freitag,January
Friday,1,8,170.5,Freitag,January
Friday,1,9,186.0,Freitag,January
Friday,1,10,195.75,Freitag,January
Friday,1,11,244.0,Freitag,January
Friday,1,12,268.0,Freitag,January
Friday,1,13,229.5,Freitag,January
Friday,1,14,253.25,Freitag,January
Friday,1,15,294.25,Freitag,January
Friday,1,16,300.25,Freitag,January
Friday,1,17,291.5,Freitag,January
Friday,1,18,243.0,Freitag,January
Friday,1,19,201.25,Freitag,January
Friday,1,20,151.25,Freitag,January
Friday,1,21,133.25,Freitag,January
Friday,1,22,139.0,Freitag,January
Friday,1,23,102.25,Freitag,January
Friday,2,0,65.25,Freitag,February
Friday,2,1,40.0,Freitag,February
Friday,2,2,25.0,Freitag,February
Friday,2,3,20.0,Freitag,February
Friday,2,4,25.5,Freitag,February
Friday,2,5,43.75,Freitag,February
Friday,2,6,122.75,Freitag,February
Friday,2,7,165.25,Freitag,February
Friday,2,8,185.75,Freitag,February
Friday,2,9,208.75,Freitag,February
Friday,2,10,210.5,Freitag,February
Friday,2,11,263.25,Freitag,February
Friday,2,12,273.5,Freitag,February
Friday,2,13,254.25,Freitag,February
Friday,2,14,275.25,Freitag,February
Friday,2,15,300.75,Freitag,February
Friday,2,16,319.5,Freitag,February
Friday,2,17,312.5,Freitag,February
Friday,2,18,270.25,Freitag,February
Friday,2,19,214.25,Freitag,February
Friday,2,20,154.25,Freitag,February
Friday,2,21,143.75,Freitag,February
Friday,2,22,119.25,Freitag,February
Friday,2,23,99.5,Freitag,February
Friday,3,0,65.5,Freitag,March
Friday,3,1,39.5,Freitag,March
Friday,3,2,26.25,Freitag,March
Friday,3,3,24.75,Freitag,March
Friday,3,4,26.75,Freitag,March
Friday,3,5,53.5,Freitag,March
Friday,3,6,134.5,Freitag,March
Friday,3,7,197.75,Freitag,March
Friday,3,8,226.5,Freitag,March
Friday,3,9,227.0,Freitag,March
Friday,3,10,265.25,Freitag,March
Friday,3,11,290.75,Freitag,March
Friday,3,12,298.25,Freitag,March
Friday,3,13,271.75,Freitag,March
Friday,3,14,297.75,Freitag,March
Friday,3,15,350.0,Freitag,March
Friday,3,16,384.25,Freitag,March
Friday,3,17,395.0,Freitag,March
Friday,3,18,322.0,Freitag,March
Friday,3,19,254.75,Freitag,March
Friday,3,20,186.5,Freitag,March
Friday,3,21,167.0,Freitag,March
Friday,3,22,168.25,Freitag,March
Friday,3,23,144.75,Freitag,March
Friday,4,0,52.0,Freitag,April
Friday,4,1,32.75,Freitag,April
Friday,4,2,23.5,Freitag,April
Friday,4,3,18.5,Freitag,April
Friday,4,4,22.25,Freitag,April
Friday,4,5,55.0,Freitag,April
Friday,4,6,125.0,Freitag,April
Friday,4,7,182.25,Freitag,April
Friday,4,8,209.5,Freitag,April
Friday,4,9,224.0,Freitag,April
Friday,4,10,247.75,Freitag,April
Friday,4,11,272.75,Freitag,April
Friday,4,12,261.0,Freitag,April
Friday,4,13,281.75,Freitag,April
Friday,4,14,279.5,Freitag,April
Friday,4,15,327.0,Freitag,April
Friday,4,16,370.5,Freitag,April
Friday,4,17,329.75,Freitag,April
Friday,4,18,271.75,Freitag,April
Friday,4,19,222.75,Freitag,April
Friday,4,20,179.0,Freitag,April
Friday,4,21,171.5,Freitag,April
Friday,4,22,139.0,Freitag,April
Friday,4,23,102.25,Freitag,April
Friday,5,0,62.8,Freitag,May
Friday,5,1,44.8,Freitag,May
Friday,5,2,36.4,Freitag,May
Friday,5,3,21.4,Freitag,May
Friday,5,4,27.2,Freitag,May
Friday,5,5,50.2,Freitag,May
Friday,5,6,112.0,Freitag,May
Friday,5,7,168.2,Freitag,May
