weekday,month,hour,vehicles,weekday_de,month_name
Friday,1,0,5.333333333333333,Freitag,January
Friday,1,1,5.333333333333333,Freitag,January
Friday,1,2,5.666666666666667,Freitag,January
Friday,1,3,4.666666666666667,Freitag,January
Friday,1,4,12.666666666666666,Freitag,January
Friday,1,5,31.333333333333332,Freitag,January
Friday,1,6,67.33333333333333,Freitag,January
Friday,1,7,121.33333333333333,Freitag,January
Friday,1,8,118.0,Freitag,January
Friday,1,9,119.66666666666667,Freitag,January
Friday,1,10,114.33333333333333,Freitag,January
Friday,1,11,117.0,Freitag,January
Friday,1,12,105.0,Freitag,January
Friday,1,13,111.33333333333333,Freitag,January
Friday,1,14,109.66666666666667,Freitag,January
Friday,1,15,124.33333333333333,Freitag,January
Friday,1,16,141.33333333333334,Freitag,January
Friday,1,17,107.66666666666667,Freitag,January
Friday,1,18,105.33333333333333,Freitag,January
Friday,1,19,66.66666666666667,Freitag,January
Friday,1,20,46.0,Freitag,January
Friday,1,21,38.0,Freitag,January
Friday,1,22,28.333333333333332,Freitag,January
Friday,1,23,25.666666666666668,Freitag,January
Friday,2,0,4.5,Freitag,February
Friday,2,1,4.5,Freitag,February
Friday,2,2,4.25,Freitag,February
Friday,2,3,3.25,Freitag,February
Friday,2,4,12.25,Freitag,February
Friday,2,5,36.75,Freitag,February
Friday,2,6,71.5,Freitag,February
Friday,2,7,118.0,Freitag,February
Friday,2,8,122.25,Freitag,February
Friday,2,9,111.0,Freitag,February
Friday,2,10,113.5,Freitag,February
Friday,2,11,116.0,Freitag,February
Friday,2,12,93.0,Freitag,February
Friday,2,13,104.5,Freitag,February
Friday,2,14,115.5,Freitag,February
Friday,2,15,112.0,Freitag,February
Friday,2,16,132.5,Freitag,February
Friday,2,17,104.75,Freitag,February
Friday,2,18,112.5,Freitag,February
Friday,2,19,72.25,Freitag,February
Friday,2,20,44.5,Freitag,February
Friday,2,21,36.0,Freitag,February
Friday,2,22,24.25,Freitag,February
Friday,2,23,24.75,Freitag,February
Friday,3,0,6.5,Freitag,March
Friday,3,1,5.75,Freitag,March
Friday,3,2,4.25,Freitag,March
Friday,3,3,4.25,Freitag,March
Friday,3,4,11.0,Freitag,March
Friday,3,5,33.5,Freitag,March
Friday,3,6,72.75,Freitag,March
Friday,3,7,127.5,Freitag,March
Friday,3,8,140.25,Freitag,March
Friday,3,9,123.25,Freitag,March
Friday,3,10,112.25,Freitag,March
Friday,3,11,101.25,Freitag,March
Friday,3,12,104.0,Freitag,March
Friday,3,13,108.75,Freitag,March
Friday,3,14,110.75,Freitag,March
Friday,3,15,126.5,Freitag,March
Friday,3,16,125.75,Freitag,March
Friday,3,17,121.0,Freitag,March
Friday,3,18,117.75,Freitag,March
Friday,3,19,73.75,Freitag,March
Friday,3,20,59.25,Freitag,March
Friday,3,21,41.25,Freitag,March
Friday,3,22,29.5,Freitag,March
Friday,3,23,23.5,Freitag,March
Friday,4,0,11.5,Freitag,April
Friday,4,1,12.25,Freitag,April
Friday,4,2,6.5,Freitag,April
Friday,4,3,4.5,Freitag,April
Friday,4,4,16.5,Freitag,April
Friday,4,5,39.75,Freitag,April
Friday,4,6,104.75,Freitag,April
Friday,4,7,147.75,Freitag,April
Friday,4,8,167.0,Freitag,April
Friday,4,9,145.75,Freitag,April
Friday,4,10,140.75,Freitag,April
Friday,4,11,148.5,Freitag,April
Friday,4,12,136.75,Freitag,April
Friday,4,13,136.0,Freitag,April
Friday,4,14,156.0,Freitag,April
Friday,4,15,164.0,Freitag,April
Friday,4,16,188.25,Freitag,April
Friday,4,17,174.0,Freitag,April
