weekday,month,hour,vehicles,weekday_de,month_name
Friday,1,0,4.5,Freitag,January
Friday,1,1,3.5,Freitag,January
Friday,1,2,0.75,Freitag,January
Friday,1,3,4.0,Freitag,January
Friday,1,4,1.25,Freitag,January
Friday,1,5,8.5,Freitag,January
Friday,1,6,35.5,Freitag,January
Friday,1,7,70.75,Freitag,January
Friday,1,8,129.75,Freitag,January
Friday,1,9,137.75,Freitag,January
Friday,1,10,159.0,Freitag,January
Friday,1,11,149.75,Freitag,January
Friday,1,12,124.75,Freitag,January
Friday,1,13,127.5,Freitag,January
Friday,1,14,165.5,Freitag,January
Friday,1,15,189.0,Freitag,January
Friday,1,16,178.25,Freitag,January
Friday,1,17,136.75,Freitag,January
Friday,1,18,91.75,Freitag,January
Friday,1,19,60.25,Freitag,January
Friday,1,20,45.25,Freitag,January
Friday,1,21,43.5,Freitag,January
Friday,1,22,41.75,Freitag,January
Friday,1,23,19.25,Freitag,January
Friday,2,0,5.25,Freitag,February
Friday,2,1,3.75,Freitag,February
Friday,2,2,2.5,Freitag,February
Friday,2,3,1.75,Freitag,February
Friday,2,4,1.75,Freitag,February
Friday,2,5,7.5,Freitag,February
Friday,2,6,28.75,Freitag,February
Friday,2,7,81.75,Freitag,February
Friday,2,8,107.75,Freitag,February
Friday,2,9,133.0,Freitag,February
Friday,2,10,149.25,Freitag,February
Friday,2,11,158.0,Freitag,February
Friday,2,12,135.75,Freitag,February
Friday,2,13,130.5,Freitag,February
Friday,2,14,151.75,Freitag,February
Friday,2,15,173.25,Freitag,February
Friday,2,16,184.0,Freitag,February
Friday,2,17,115.5,Freitag,February
Friday,2,18,89.75,Freitag,February
Friday,2,19,58.75,Freitag,February
Friday,2,20,43.5,Freitag,February
Friday,2,21,39.75,Freitag,February
Friday,2,22,39.0,Freitag,February
Friday,2,23,16.75,Freitag,February
Friday,3,0,5.0,Freitag,March
Friday,3,1,5.0,Freitag,March
Friday,3,2,1.75,Freitag,March
Friday,3,3,0.75,Freitag,March
Friday,3,4,2.0,Freitag,March
Friday,3,5,8.75,Freitag,March
Friday,3,6,37.5,Freitag,March
Friday,3,7,89.75,Freitag,March
Friday,3,8,113.0,Freitag,March
Friday,3,9,144.75,Freitag,March
Friday,3,10,156.25,Freitag,March
Friday,3,11,160.5,Freitag,March
Friday,3,12,118.25,Freitag,March
Friday,3,13,143.75,Freitag,March
Friday,3,14,168.0,Freitag,March
Friday,3,15,188.75,Freitag,March
Friday,3,16,190.0,Freitag,March
Friday,3,17,130.75,Freitag,March
Friday,3,18,96.75,Freitag,March
Friday,3,19,66.5,Freitag,March
Friday,3,20,47.25,Freitag,March
Friday,3,21,43.0,Freitag,March
Friday,3,22,39.5,Freitag,March
Friday,3,23,17.25,Freitag,March
Friday,4,0,4.0,Freitag,April
Friday,4,1,3.5,Freitag,April
Friday,4,2,1.25,Freitag,April
Friday,4,3,0.75,Freitag,April
Friday,4,4,1.25,Freitag,April
Friday,4,5,7.75,Freitag,April
Friday,4,6,32.75,Freitag,April
Friday,4,7,76.5,Freitag,April
Friday,4,8,110.5,Freitag,April
Friday,4,9,149.5,Freitag,April
Friday,4,10,154.0,Freitag,April
Friday,4,11,161.0,Freitag,April
Friday,4,12,123.75,Freitag,April
Friday,4,13,130.75,Freitag,April
Friday,4,14,166.75,Freitag,April
Friday,4,15,185.5,Freitag,April
Friday,4,16,172.75,Freitag,April
Friday,4,17,125.25,Freitag,April
Friday,4,18,93.5,Freitag,April
Friday,4,19,65.75,Freitag,April
Friday,4,20,46.75,Freitag,April
Friday,4,21,36.5,Freitag,April
Friday,4,22,38.5,Freitag,April
Friday,4,23,25.0,Freitag,April
Friday,5,0,4.6,Freitag,May
Friday,5,1,2.8,Freitag,May
Friday,5,2,2.6,Freitag,May
Friday,5,3,1.4,Freitag,May
Friday,5,4,1.8,Freitag,May
Friday,5,5,7.6,Freitag,May
Friday,5,6,28.8,Freitag,May
Friday,5,7,86.8,Freitag,May
Friday,5,8,108.6,Freitag,May
Friday,5,9,132.2,Freitag,May
Friday,5,10,149.0,Freitag,May
Friday,5,11,159.4,Freitag,May
Friday,5,12,122.2,Freitag,May
Friday,5,13,133.6,Freitag,May
Friday,5,14,146.6,Freitag,May
Friday,5,15,171.0,Freitag,May
Friday,5,16,170.2,Freitag,May
Friday,5,17,119.4,Freitag,May
Friday,5,18,87.6,Freitag,May
Friday,5,19,68.2,Freitag,May
Friday,5,20,40.8,Freitag,May
Friday,5,21,40.0,Freitag,May
Friday,5,22,43.2,Freitag,May
Friday,5,23,24.6,Freitag,May
Friday,6,0,4.75,Freitag,June
Friday,6,1,3.0,Freitag,June
Friday,6,2,1.25,Freitag,June
Friday,6,3,0.0,Freitag,June
Friday,6,4,2.0,Freitag,June
Friday,6,5,10.0,Freitag,June
Friday,6,6,36.75,Freitag,June
Friday,6,7,79.25,Freitag,June
Friday,6,8,112.25,Freitag,June
Friday,6,9,130.75,Freitag,June
Friday,6,10,160.5,Freitag,June
Friday,6,11,155.25,Freitag,June
Friday,6,12,138.25,Freitag,June
Friday,6,13,124.5,Freitag,June
Friday,6,14,154.5,Freitag,June
Friday,6,15,170.25,Freitag,June
Friday,6,16,173.0,Freitag,June
Friday,6,17,119.75,Freitag,June
Friday,6,18,89.0,Freitag,June
Friday,6,19,61.0,Freitag,June
Friday,6,20,41.5,Freitag,June
Friday,6,21,38.75,Freitag,June
Friday,6,22,40.0,Freitag,June
Friday,6,23,27.5,Freitag,June
Friday,7,0,3.0,Freitag,July
Friday,7,1,4.666666666666667,Freitag,July
Friday,7,2,1.0,Freitag,July
Friday,7,3,2.0,Freitag,July
Friday,7,4,3.3333333333333335,Freitag,July
Friday,7,5,8.666666666666666,Freitag,July
Friday,7,6,33.333333333333336,Freitag,July
Friday,7,7,80.33333333333333,Freitag,July
Friday,7,8,89.33333333333333,Freitag,July
Friday,7,9,115.0,Freitag,July
Friday,7,10,136.66666666666666,Freitag,July
Friday,7,11,147.33333333333334,Freitag,July
Friday,7,12,116.33333333333333,Freitag,July
Friday,7,13,115.33333333333333,Freitag,July
Friday,7,14,130.66666666666666,Freitag,July
Friday,7,15,169.66666666666666,Freitag,July
Friday,7,16,154.0,Freitag,July
Friday,7,17,97.5,Freitag,July
Friday,7,18,86.0,Freitag,July
Friday,7,19,51.0,Freitag,July
Friday,7,20,32.333333333333336,Freitag,July
Friday,7,21,36.333333333333336,Freitag,July
Friday,7,22,37.0,Freitag,July
Friday,7,23,20.0,Freitag,July
Friday,8,0,4.0,Freitag,August
Friday,8,1,2.8,Freitag,August
Friday,8,2,3.0,Freitag,August
Friday,8,3,1.2,Freitag,August
Friday,8,4,2.8,Freitag,August
Friday,8,5,6.4,Freitag,August
Friday,8,6,29.4,Freitag,August
Friday,8,7,69.6,Freitag,August
Friday,8,8,95.8,Freitag,August
Friday,8,9,122.2,Freitag,August
Friday,8,10,130.0,Freitag,August
Friday,8,11,141.8,Freitag,August
Friday,8,12,115.0,Freitag,August
Friday,8,13,108.8,Freitag,August
Friday,8,14,135.4,Freitag,August
Friday,8,15,154.0,Freitag,August
Friday,8,16,161.6,Freitag,August
Friday,8,17,100.4,Freitag,August
Friday,8,18,74.8,Freitag,August
Friday,8,19,52.2,Freitag,August
Friday,8,20,45.2,Freitag,August
Friday,8,21,34.8,Freitag,August
Friday,8,22,41.0,Freitag,August
Friday,8,23,20.8,Freitag,August
Friday,9,0,3.0,Freitag,September
Friday,9,1,3.5,Freitag,September
Friday,9,2,1.75,Freitag,September
Friday,9,3,3.5,Freitag,September
Friday,9,4,5.5,Freitag,September
Friday,9,5,11.25,Freitag,September
Friday,9,6,38.5,Freitag,September
Friday,9,7,80.0,Freitag,September
Friday,9,8,109.5,Freitag,September
Friday,9,9,134.0,Freitag,September
Friday,9,10,139.5,Freitag,September
Friday,9,11,141.25,Freitag,September
Friday,9,12,115.25,Freitag,September
Friday,9,13,118.75,Freitag,September
Friday,9,14,134.25,Freitag,September
Friday,9,15,163.5,Freitag,September
Friday,9,16,166.75,Freitag,September
Friday,9,17,115.75,Freitag,September
Friday,9,18,77.0,Freitag,September
Friday,9,19,66.25,Freitag,September
Friday,9,20,52.0,Freitag,September
Friday,9,21,32.0,Freitag,September
Friday,9,22,43.0,Freitag,September
Friday,9,23,24.25,Freitag,September
Friday,10,0,3.75,Freitag,October
Friday,10,1,4.25,Freitag,October
Friday,10,2,2.75,Freitag,October
Friday,10,3,1.0,Freitag,October
Friday,10,4,1.25,Freitag,October
Friday,10,5,10.5,Freitag,October
Friday,10,6,37.75,Freitag,October
Friday,10,7,76.75,Freitag,October
