weekday,month,hour,vehicles,weekday_de,month_name
Friday,1,0,6.75,Freitag,January
Friday,1,1,3.5,Freitag,January
Friday,1,2,3.0,Freitag,January
Friday,1,3,1.25,Freitag,January
Friday,1,4,5.0,Freitag,January
Friday,1,5,39.0,Freitag,January
Friday,1,6,238.5,Freitag,January
Friday,1,7,204.25,Freitag,January
Friday,1,8,192.5,Freitag,January
Friday,1,9,190.25,Freitag,January
Friday,1,10,165.5,Freitag,January
Friday,1,11,141.0,Freitag,January
Friday,1,12,144.5,Freitag,January
Friday,1,13,141.0,Freitag,January
Friday,1,14,132.25,Freitag,January
Friday,1,15,104.5,Freitag,January
Friday,1,16,102.75,Freitag,January
Friday,1,17,82.75,Freitag,January
Friday,1,18,79.0,Freitag,January
Friday,1,19,48.5,Freitag,January
Friday,1,20,26.75,Freitag,January
Friday,1,21,40.0,Freitag,January
Friday,1,22,25.0,Freitag,January
Friday,1,23,11.5,Freitag,January
Friday,2,0,4.5,Freitag,February
Friday,2,1,3.5,Freitag,February
Friday,2,2,2.25,Freitag,February
Friday,2,3,1.0,Freitag,February
Friday,2,4,5.0,Freitag,February
Friday,2,5,40.0,Freitag,February
Friday,2,6,235.25,Freitag,February
Friday,2,7,207.5,Freitag,February
Friday,2,8,196.75,Freitag,February
Friday,2,9,180.25,Freitag,February
Friday,2,10,188.5,Freitag,February
Friday,2,11,125.5,Freitag,February
Friday,2,12,146.5,Freitag,February
Friday,2,13,143.75,Freitag,February
Friday,2,14,121.5,Freitag,February
Friday,2,15,111.0,Freitag,February
Friday,2,16,95.75,Freitag,February
Friday,2,17,84.0,Freitag,February
Friday,2,18,73.5,Freitag,February
Friday,2,19,53.5,Freitag,February
Friday,2,20,29.0,Freitag,February
Friday,2,21,32.0,Freitag,February
Friday,2,22,21.75,Freitag,February
Friday,2,23,7.25,Freitag,February
Friday,3,0,4.0,Freitag,March
Friday,3,1,5.0,Freitag,March
Friday,3,2,2.0,Freitag,March
Friday,3,3,0.75,Freitag,March
Friday,3,4,4.5,Freitag,March
Friday,3,5,41.5,Freitag,March
Friday,3,6,248.5,Freitag,March
Friday,3,7,218.0,Freitag,March
Friday,3,8,210.5,Freitag,March
Friday,3,9,199.5,Freitag,March
Friday,3,10,188.75,Freitag,March
Friday,3,11,140.5,Freitag,March
Friday,3,12,145.25,Freitag,March
Friday,3,13,160.75,Freitag,March
Friday,3,14,134.75,Freitag,March
Friday,3,15,117.75,Freitag,March
Friday,3,16,114.5,Freitag,March
Friday,3,17,81.75,Freitag,March
Friday,3,18,81.0,Freitag,March
Friday,3,19,54.5,Freitag,March
Friday,3,20,30.5,Freitag,March
Friday,3,21,43.75,Freitag,March
Friday,3,22,27.25,Freitag,March
Friday,3,23,12.5,Freitag,March
Friday,4,0,3.5,Freitag,April
Friday,4,1,3.75,Freitag,April
Friday,4,2,1.25,Freitag,April
Friday,4,3,2.0,Freitag,April
Friday,4,4,3.25,Freitag,April
Friday,4,5,37.25,Freitag,April
